tag,place,user
"""been""","Pigeon Forge, TN, USA",cgkochel
"""been""","Daytona Beach, FL, USA",cgkochel
"""been""","Columbia, SC, USA",cgkochel
"""been""","Minneapolis, MN, USA",cgkochel
"""been""","Biloxi, MS, USA",cgkochel
"""been""","Washington DC, DC, USA",cgkochel
"""been""","Kansas City, MO, USA",cgkochel
"""been""","Boston, MA, USA",cgkochel
"""been""","New Orleans, LA, USA",cgkochel
"""been""","Topanga, CA, USA",cgkochel
"""been""","St. Petersburg, FL, USA",cgkochel
"""been""","Piggott, AR, USA",cgkochel
"""been""","Cambria, CA, USA",cgkochel
"""been"",""fave""","Calistoga, CA, USA",cgkochel
"""been""","Arlington, VA, USA",cgkochel
"""been""","West Hollywood, CA, USA",cgkochel
"""been""","San Diego, CA, USA",cgkochel
"""been""","Charleston, SC, USA",cgkochel
"""been""","Scottsdale, AZ, USA",cgkochel
"""been"",""fave""","Saint Louis, MO, USA",cgkochel
"""been""","Newark, NJ, USA",cgkochel
"""been""","Charlotte, NC, USA",cgkochel
"""been""","Redondo Beach, CA, USA",cgkochel
"""been"",""fave""","Sarasota, FL, USA",cgkochel
"""been""","Hartford, CT, USA",cgkochel
"""been""","Rose Hall, Jamaica",cgkochel
"""been"",""fave""","Malibu, CA, USA",cgkochel
"""been""","Indianapolis, IN, USA",cgkochel
"""been""","Manhattan Beach, CA, USA",cgkochel
"""been""","Madrid, Spain",cgkochel
"""been""","Eureka Springs, AR, USA",cgkochel
"""been""","West Palm Beach, FL, USA",cgkochel
"""been""","Colorado Springs, CO, USA",cgkochel
"""been""","Knoxville, TN, USA",cgkochel
"""been""","Birmingham, AL, USA",cgkochel
"""been""","Fort Myers Beach, FL, USA",cgkochel
"""been""","Carmel, CA, USA",cgkochel
"""been""","Detroit, MI, USA",cgkochel
"""been""","Fort Myers, FL, USA",cgkochel
"""been"",""fave""","Carlsbad, CA, USA",cgkochel
"""been""","Greensboro, NC, USA",cgkochel
"""been"",""fave""","Biarritz, France",cgkochel
"""been""","Gatlinburg, TN, USA",cgkochel
"""been""","Mobile, AL, USA",cgkochel
"""been""","Santander, Spain",cgkochel
"""been""","Palm Springs, CA, USA",cgkochel
"""been""","Steamboat Springs, CO, USA",cgkochel
"""been""","Fort Lauderdale, FL, USA",cgkochel
"""been""","Naples, FL, USA",cgkochel
"""been"",""fave""","Marina del Rey, CA, USA",cgkochel
"""been"",""fave""","Hot Springs, AR, USA",cgkochel
"""been""","Reydell, AR, USA",cgkochel
"""been""","Orlando, FL, USA",cgkochel
"""been""","Houston, TX, USA",cgkochel
"""been""","Ocho Rios, Jamaica",cgkochel
"""been""","Denver, CO, USA",cgkochel
"""been""","Dallas, TX, USA",cgkochel
"""been""","St. Augustine, FL, USA",cgkochel
"""been"",""fave""","San Pedro, Belize",cgkochel
"""been""","Fort Walton Beach, FL, USA",cgkochel
"""been""","Beverly Hills, CA, USA",cgkochel
"""been""","Memphis, TN, USA",cgkochel
"""been"",""fave""","Estes Park, CO, USA",cgkochel
"""been"",""fave""","Tulum, Mexico",cgkochel
"""been""","Playa del Carmen, Mexico",cgkochel
"""been""","Pittsburgh, PA, USA",cgkochel
"""been""","Cancun, Mexico",cgkochel
"""been"",""fave""","Lyon, France",cgkochel
"""been""","Nashville, TN, USA",cgkochel
"""been""","Pebble Beach, CA, USA",cgkochel
"""been"",""fave""","Brooklyn, NY, USA",cgkochel
"""been"",""fave""","Vail, CO, USA",cgkochel
"""been""","Rogers, AR, USA",cgkochel
"""been""","Santa Rosa, CA, USA",cgkochel
