tag,place,user
"""been""","San Juan, Puerto Rico",cher211
"""been""","St. John's, Antigua and Barbuda",cher211
"""been""","Cabo San Lucas, Mexico",cher211
"""been""","Ashtabula, OH, USA",cher211
"""been""","West Palm Beach, FL, USA",cher211
"""been""","New Orleans, LA, USA",cher211
"""been""","Niagara Falls, NY, USA",cher211
"""been""","Ixtapa, Mexico",cher211
"""been""","Fernandina Beach, FL, USA",cher211
"""been""","Maggie Valley, NC, USA",cher211
"""been""","Clyde, NC, USA",cher211
"""been"",""want""","Dublin, Ireland",cher211
"""been""","Asheville, NC, USA",cher211
"""been""","West Yellowstone, MT, USA",cher211
"""want""","Molokai, HI, USA",cher211
"""been""","Washington DC, DC, USA",cher211
"""been""","Paris, France",cher211
"""been""","Hot Springs, NC, USA",cher211
"""been""","London, UK",cher211
"""been""","Bellingham, WA, USA",cher211
"""been""","Limestone, TN, USA",cher211
"""been""","Amelia Island, FL, USA",cher211
"""been""","Ketchikan, AK, USA",cher211
"""been""","Clearwater, FL, USA",cher211
"""been""","Hilton Head, SC, USA",cher211
"""been""","Holetown, Barbados",cher211
"""been""","Panama City Beach, FL, USA",cher211
"""been""","Manchester, UK",cher211
"""been""","Jekyll Island, GA, USA",cher211
"""been""","Savannah, GA, USA",cher211
"""been""","Fort Lauderdale, FL, USA",cher211
"""been""","Acapulco, Mexico",cher211
"""been""","Greenville, SC, USA",cher211
"""been""","Bermuda, Caribbean",cher211
"""been""","Buffalo, NY, USA",cher211
"""been""","Atlanta, GA, USA",cher211
"""been""","Napa, CA, USA",cher211
"""been""","Marshall, NC, USA",cher211
"""been""","Dingle, Ireland",cher211
"""been""","Erie, PA, USA",cher211
"""been""","Cambridge, UK",cher211
"""been""","Pensacola Beach, FL, USA",cher211
"""been""","Pensacola, FL, USA",cher211
"""been""","Sandusky, OH, USA",cher211
"""been""","Columbus, OH, USA",cher211
"""been""","Helen, GA, USA",cher211
"""been""","Columbia, SC, USA",cher211
"""been""","Rome, Italy",cher211
"""been""","Las Terrenas, Dominican Republic",cher211
"""been""","Denver, CO, USA",cher211
"""been""","Tallahassee, FL, USA",cher211
"""been""","Prince Rupert, British Columbia, Canada",cher211
"""been""","Fort Walton Beach, FL, USA",cher211
"""been""","Los Angeles, CA, USA",cher211
"""been""","Cape Coral, FL, USA",cher211
"""been""","Tampa, FL, USA",cher211
"""been""","Cape Canaveral, FL, USA",cher211
"""been""","Niagara Falls, Ontario, Canada",cher211
"""been""","Jacksonville, FL, USA",cher211
"""been""","St. Augustine, FL, USA",cher211
"""been""","Niagara-on-the-Lake, Ontario, Canada",cher211
"""been""","Puerto Vallarta, Mexico",cher211
"""been""","Zihuatanejo, Mexico",cher211
"""been""","Orlando, FL, USA",cher211
"""been""","London, Ontario, Canada",cher211
"""been""","Miami, FL, USA",cher211
"""been""","Philipsburg, St Martin \u002F St Maarten",cher211
"""been""","New York City, NY, USA",cher211
"""been""","Black Mountain, NC, USA",cher211
"""been""","Las Vegas, NV, USA",cher211
"""been""","Waynesville, NC, USA",cher211
"""been""","Gainesville, FL, USA",cher211
"""been""","Charleston, SC, USA",cher211
"""been""","Lancaster, PA, USA",cher211
"""been""","Geneva, Switzerland",cher211
"""been""","St. Pete Beach, FL, USA",cher211
"""been""","Gettysburg, PA, USA",cher211
"""been""","Toronto, Ontario, Canada",cher211
"""been""","Skagway, AK, USA",cher211
"""been""","San Francisco, CA, USA",cher211
"""been""","Seattle, WA, USA",cher211
"""been""","Jacksonville Beach, FL, USA",cher211
"""been""","Cherokee, NC, USA",cher211
"""been""","Boone, NC, USA",cher211
"""been""","Lake Junaluska, NC, USA",cher211
"""been""","Florence, Italy",cher211
"""been""","Cleveland, OH, USA",cher211
"""been""","Daytona Beach, FL, USA",cher211
"""been""","Montreux, Switzerland",cher211
"""been""","Isle of Palms, SC, USA",cher211
"""been""","Oxford, UK",cher211
"""been""","Greeneville, TN, USA",cher211
"""been""","Juneau, AK, USA",cher211
"""been""","Colorado Springs, CO, USA",cher211
"""been""","Ponte Vedra Beach, FL, USA",cher211
