tag,place,user
"""been""","Diego Garcia, Asia",chrisbE9674MQ
"""been""","Fort Lauderdale, FL, USA",chrisbE9674MQ
"""been""","Myrtle Beach, SC, USA",chrisbE9674MQ
"""been""","Bremerhaven, Germany",chrisbE9674MQ
"""been""","Toronto, Ontario, Canada",chrisbE9674MQ
"""been""","Longyearbyen, Norway",chrisbE9674MQ
"""been""","Sydney, Australia",chrisbE9674MQ
"""been""","Seville, Spain",chrisbE9674MQ
"""been""","Puerto de la Cruz, Spain",chrisbE9674MQ
"""been"",""fave""","Cairns, Australia",chrisbE9674MQ
"""been""","Normal, IL, USA",chrisbE9674MQ
"""been""","Denver, CO, USA",chrisbE9674MQ
"""been""","San Francisco, CA, USA",chrisbE9674MQ
"""been""","Seattle, WA, USA",chrisbE9674MQ
"""been""","Auckland Central, New Zealand",chrisbE9674MQ
"""been""","Auckland, New Zealand",chrisbE9674MQ
"""been"",""fave""","Tel Aviv, Israel",chrisbE9674MQ
"""been""","Edinburgh, UK",chrisbE9674MQ
"""been""","Jerusalem, Israel",chrisbE9674MQ
"""been""","Valletta, Malta",chrisbE9674MQ
"""been"",""fave""","Florence, Italy",chrisbE9674MQ
"""been"",""fave""","Haifa, Israel",chrisbE9674MQ
"""been""","Barcelona, Spain",chrisbE9674MQ
"""been""","Elk Grove Village, IL, USA",chrisbE9674MQ
"""been""","Rota, Spain",chrisbE9674MQ
"""been""","Grand Canyon National Park, AZ, USA",chrisbE9674MQ
"""been""","George Town, Malaysia",chrisbE9674MQ
"""been""","Salt Lake City, UT, USA",chrisbE9674MQ
"""been""","Valencia, Spain",chrisbE9674MQ
"""been""","Milan, Italy",chrisbE9674MQ
"""been""","Alton, IL, USA",chrisbE9674MQ
"""been""","Nashville, TN, USA",chrisbE9674MQ
"""been""","Montreal, Quebec, Canada",chrisbE9674MQ
"""been""","Karachi, Pakistan",chrisbE9674MQ
"""been""","Paris, France",chrisbE9674MQ
"""been"",""fave""","Naples, Italy",chrisbE9674MQ
"""been"",""fave""","Pompeii, Italy",chrisbE9674MQ
"""been""","Plymouth, UK",chrisbE9674MQ
"""been"",""fave""","Coeur d'Alene, ID, USA",chrisbE9674MQ
"""been""","Suez, Egypt",chrisbE9674MQ
"""been""","Kuala Lumpur, Malaysia",chrisbE9674MQ
"""been"",""fave""","Queenstown, New Zealand",chrisbE9674MQ
"""been""","Colorado Springs, CO, USA",chrisbE9674MQ
"""been""","Oak Lawn, IL, USA",chrisbE9674MQ
"""been""","Madrid, Spain",chrisbE9674MQ
"""been""","Miami Beach, FL, USA",chrisbE9674MQ
"""been""","Orlando, FL, USA",chrisbE9674MQ
"""been""","Miami, FL, USA",chrisbE9674MQ
"""been""","Washington DC, DC, USA",chrisbE9674MQ
"""been""","Cartagena, Spain",chrisbE9674MQ
"""been""","Gibraltar, Europe",chrisbE9674MQ
"""been""","Los Angeles, CA, USA",chrisbE9674MQ
"""been""","Mombasa, Kenya",chrisbE9674MQ
"""been""","Saint Louis, MO, USA",chrisbE9674MQ
"""been""","Venice, Italy",chrisbE9674MQ
"""been""","Peoria, IL, USA",chrisbE9674MQ
"""been""","Nice, France",chrisbE9674MQ
"""been"",""fave""","Port Douglas, Australia",chrisbE9674MQ
"""been""","Chicago, IL, USA",chrisbE9674MQ
"""been""","Rome, Italy",chrisbE9674MQ
"""been""","Grafton, IL, USA",chrisbE9674MQ
"""been""","Bloomington, IL, USA",chrisbE9674MQ
"""been""","Lincoln, IL, USA",chrisbE9674MQ
"""been""","Estes Park, CO, USA",chrisbE9674MQ
