tag,place,user
"""been""","Denton, TX, USA",christim840
"""been""","Webster, TX, USA",christim840
"""been""","Miami Beach, FL, USA",christim840
"""been""","Los Angeles, CA, USA",christim840
"""been""","Madisonville, TX, USA",christim840
"""been""","Fort Worth, TX, USA",christim840
"""been""","College Station, TX, USA",christim840
"""been""","Sant'Agata sui Due Golfi, Italy",christim840
"""been""","West Hollywood, CA, USA",christim840
"""been""","Cabo San Lucas, Mexico",christim840
"""been""","Austin, TX, USA",christim840
"""been""","Texas City, TX, USA",christim840
"""been""","Houston, TX, USA",christim840
"""been""","Florence, Italy",christim840
"""been""","Sorrento, Italy",christim840
"""been""","New York City, NY, USA",christim840
