tag,place,user
"""been""","Singapore, Singapore",christinecO7889FG
"""been""","Vienna, Austria",christinecO7889FG
"""been""","Glacier Bay National Park and Preserve, AK, USA",christinecO7889FG
"""been""","Milan, Italy",christinecO7889FG
"""been""","Beverly Hills, CA, USA",christinecO7889FG
"""been""","Juneau, AK, USA",christinecO7889FG
"""been""","Santa Barbara, CA, USA",christinecO7889FG
"""been""","Honolulu, HI, USA",christinecO7889FG
"""been""","Niagara Falls, Ontario, Canada",christinecO7889FG
"""been""","Banff, Alberta, Canada",christinecO7889FG
"""been""","Lake Louise, Alberta, Canada",christinecO7889FG
"""been""","Brisbane, Australia",christinecO7889FG
"""been""","Melbourne, Australia",christinecO7889FG
"""been""","Huntington Beach, CA, USA",christinecO7889FG
"""been""","Jasper, Alberta, Canada",christinecO7889FG
"""been""","Malaga, Spain",christinecO7889FG
"""been""","Madrid, Spain",christinecO7889FG
"""been""","Algarve, Portugal",christinecO7889FG
"""been""","Anaheim, CA, USA",christinecO7889FG
"""been""","Lisbon, Portugal",christinecO7889FG
"""been""","Nice, France",christinecO7889FG
"""been""","Nuremberg, Germany",christinecO7889FG
"""been""","Budapest, Hungary",christinecO7889FG
"""been""","Doncaster East, Australia",christinecO7889FG
"""been""","Echuca, Australia",christinecO7889FG
"""been""","Canmore, Alberta, Canada",christinecO7889FG
"""been""","Blairgowrie, Australia",christinecO7889FG
"""been""","Munich, Germany",christinecO7889FG
"""been""","Amsterdam, The Netherlands",christinecO7889FG
"""been""","Portsea, Australia",christinecO7889FG
"""been""","London, UK",christinecO7889FG
"""been""","Rancho Palos Verdes, CA, USA",christinecO7889FG
"""been""","Paris, France",christinecO7889FG
"""been""","Capri, Italy",christinecO7889FG
"""been""","Skagway, AK, USA",christinecO7889FG
"""been""","Bangkok, Thailand",christinecO7889FG
"""been""","San Francisco, CA, USA",christinecO7889FG
"""been""","New York City, NY, USA",christinecO7889FG
"""been""","Hamilton Island, Australia",christinecO7889FG
"""been""","Anchorage, AK, USA",christinecO7889FG
"""been""","Sun Peaks, British Columbia, Canada",christinecO7889FG
"""been""","Los Angeles, CA, USA",christinecO7889FG
"""been""","Kuala Lumpur, Malaysia",christinecO7889FG
"""been""","Frankfurt, Germany",christinecO7889FG
"""been""","Rome, Italy",christinecO7889FG
"""been""","Venice, Italy",christinecO7889FG
"""been""","Hamburg, Germany",christinecO7889FG
"""been""","McKinley Village, AK, USA",christinecO7889FG
"""been""","Cologne, Germany",christinecO7889FG
"""been""","Newcastle, Australia",christinecO7889FG
"""been""","Prague, Czech Republic",christinecO7889FG
"""been""","Hong Kong, China",christinecO7889FG
"""been""","Pokolbin, Australia",christinecO7889FG
"""been""","Vancouver, British Columbia, Canada",christinecO7889FG
"""been""","Victoria, British Columbia, Canada",christinecO7889FG
"""been""","Santa Monica, CA, USA",christinecO7889FG
"""been""","West Hollywood, CA, USA",christinecO7889FG
"""been""","Valencia, Spain",christinecO7889FG
"""been""","Yanuca Island, Fiji",christinecO7889FG
"""been""","Denali National Park and Preserve, AK, USA",christinecO7889FG
"""been""","Niagara Falls, NY, USA",christinecO7889FG
"""been""","Monte-Carlo, Monaco",christinecO7889FG
"""been""","Doncaster, Australia",christinecO7889FG
"""been""","Central Saanich, British Columbia, Canada",christinecO7889FG
"""been""","Whistler, British Columbia, Canada",christinecO7889FG
"""been""","Berlin, Germany",christinecO7889FG
