tag,place,user
"""been""","Laughlin, NV, USA",conniehar
"""been""","Las Vegas, NV, USA",conniehar
"""been""","Grand Teton National Park, WY, USA",conniehar
"""been""","Grand Canyon National Park, AZ, USA",conniehar
"""been""","Grand Rapids, MI, USA",conniehar
"""been""","Livonia, MI, USA",conniehar
"""been""","Detroit, MI, USA",conniehar
"""been""","Kissimmee, FL, USA",conniehar
"""been""","Carlsbad, CA, USA",conniehar
"""been""","Novi, MI, USA",conniehar
"""been""","Longboat Key, FL, USA",conniehar
"""been""","Provo, UT, USA",conniehar
"""been""","San Francisco, CA, USA",conniehar
"""been""","Page, AZ, USA",conniehar
"""been""","Yellowstone National Park, WY, USA",conniehar
"""been""","Phoenix, AZ, USA",conniehar
"""been""","Santa Fe, NM, USA",conniehar
"""been""","Lahaina, HI, USA",conniehar
"""been""","Fort Lauderdale, FL, USA",conniehar
"""been""","Tucson, AZ, USA",conniehar
"""been""","Cincinnati, OH, USA",conniehar
"""been""","Carlsbad Caverns National Park, NM, USA",conniehar
"""been""","Jackson, WY, USA",conniehar
"""been""","Arches National Park, UT, USA",conniehar
"""been""","Cocoa Beach, FL, USA",conniehar
"""been""","Sedona, AZ, USA",conniehar
"""been""","Gurnee, IL, USA",conniehar
"""been""","Zion National Park, UT, USA",conniehar
"""been""","Bellwood, IL, USA",conniehar
"""been""","Clearwater, FL, USA",conniehar
"""been""","Tusayan, AZ, USA",conniehar
"""been""","Fort Davis, TX, USA",conniehar
"""been""","Salt Lake City, UT, USA",conniehar
"""been""","Moab, UT, USA",conniehar
"""been""","Sycamore, IL, USA",conniehar
"""been""","Birmingham, AL, USA",conniehar
"""been""","West Palm Beach, FL, USA",conniehar
"""been""","Fort Worth, TX, USA",conniehar
"""been""","Wisconsin Dells, WI, USA",conniehar
"""been""","Springfield, IL, USA",conniehar
"""been""","Raton, NM, USA",conniehar
"""been""","New York City, NY, USA",conniehar
"""been""","Kenosha, WI, USA",conniehar
"""been""","Lares, Puerto Rico",conniehar
"""been""","Saint Joseph, MI, USA",conniehar
"""been""","Warren, MI, USA",conniehar
"""been""","Rosemont, IL, USA",conniehar
"""been""","South Haven, MI, USA",conniehar
"""been""","Colorado Springs, CO, USA",conniehar
"""been""","Park City, UT, USA",conniehar
"""been""","Daytona Beach, FL, USA",conniehar
"""been""","San Juan, Puerto Rico",conniehar
"""been""","Washington DC, DC, USA",conniehar
"""been""","Niagara Falls, NY, USA",conniehar
"""been""","Schaumburg, IL, USA",conniehar
"""been""","Celebration, FL, USA",conniehar
"""been""","Baltimore, MD, USA",conniehar
"""been""","Terlingua, TX, USA",conniehar
"""been""","Atlanta, GA, USA",conniehar
"""been""","Tuscaloosa, AL, USA",conniehar
"""been""","Flagstaff, AZ, USA",conniehar
"""been""","West Yellowstone, MT, USA",conniehar
"""been""","Reno, NV, USA",conniehar
"""been""","Skokie, IL, USA",conniehar
"""been""","St. Petersburg, FL, USA",conniehar
"""been""","Henderson, NV, USA",conniehar
"""been""","Troy, MI, USA",conniehar
"""been""","Anaheim, CA, USA",conniehar
"""been""","Duluth, MN, USA",conniehar
"""been""","Southfield, MI, USA",conniehar
"""been""","Trinidad, CO, USA",conniehar
"""been""","Bowling Green, KY, USA",conniehar
"""been""","Williamsburg, VA, USA",conniehar
"""been""","Baraboo, WI, USA",conniehar
"""been""","Virginia Beach, VA, USA",conniehar
"""been""","Des Plaines, IL, USA",conniehar
"""been"",""want""","Orlando, FL, USA",conniehar
"""been""","Miami, FL, USA",conniehar
"""been""","Denver, CO, USA",conniehar
"""been""","Mattoon, IL, USA",conniehar
"""want""","Dallas, TX, USA",conniehar
"""been""","Los Angeles, CA, USA",conniehar
"""been""","Tampa, FL, USA",conniehar
"""been""","Cape Canaveral, FL, USA",conniehar
"""been""","Honolulu, HI, USA",conniehar
"""been""","Dearborn, MI, USA",conniehar
"""been""","Chicago, IL, USA",conniehar
"""been""","Annapolis, MD, USA",conniehar
"""been""","Aurora, IL, USA",conniehar
