tag,place,user
"""been""","Miami Beach, FL, USA",copperking
"""been""","Prague, Czech Republic",copperking
"""been""","Chicago, IL, USA",copperking
"""been""","Mesquite, NV, USA",copperking
"""been""","New York City, NY, USA",copperking
"""been""","Charleston, SC, USA",copperking
"""been"",""fave""","Moscow, Russia",copperking
"""been""","Jackson, WY, USA",copperking
"""been"",""fave""","Paris, France",copperking
"""been""","Orangeburg, SC, USA",copperking
"""been""","Kingman, AZ, USA",copperking
"""been""","Mexico City, Mexico",copperking
"""been""","Lahaina, HI, USA",copperking
"""been""","San Antonio, TX, USA",copperking
"""been""","Melbourne, Australia",copperking
"""been""","San Francisco, CA, USA",copperking
"""been""","Seattle, WA, USA",copperking
"""been""","Philadelphia, PA, USA",copperking
"""been""","Valencia, Spain",copperking
"""been""","Playa Blanca, Spain",copperking
"""been""","Barcelona, Spain",copperking
"""been""","Vienna, Austria",copperking
"""been""","Portland, OR, USA",copperking
"""been""","Santa Barbara, CA, USA",copperking
"""been""","Ho Chi Minh City, Vietnam",copperking
"""been""","Hanoi, Vietnam",copperking
"""been""","Vacaville, CA, USA",copperking
"""been""","Puerto Vallarta, Mexico",copperking
"""been""","Red Cloud, NE, USA",copperking
"""been""","Boston, MA, USA",copperking
"""been""","Madrid, Spain",copperking
"""been""","West Yellowstone, MT, USA",copperking
"""been""","Reno, NV, USA",copperking
"""been""","Washington DC, DC, USA",copperking
"""been""","Honolulu, HI, USA",copperking
"""been""","Henderson, NV, USA",copperking
"""been""","New Orleans, LA, USA",copperking
"""been"",""fave""","Hong Kong, China",copperking
"""been""","Budapest, Hungary",copperking
"""been""","Clearwater, FL, USA",copperking
"""been""","Grand Bahama Island, Bahamas",copperking
"""been""","Torremolinos, Spain",copperking
"""been""","Granada, Spain",copperking
"""been""","Scottsdale, AZ, USA",copperking
"""been""","Seville, Spain",copperking
"""been"",""fave""","Singapore, Singapore",copperking
"""been""","Phoenix, AZ, USA",copperking
"""been""","Vancouver, British Columbia, Canada",copperking
"""been""","Snowmass Village, CO, USA",copperking
"""been""","Myrtle Beach, SC, USA",copperking
"""been""","Tokyo, Japan",copperking
"""been""","Nashville, TN, USA",copperking
"""been""","Taipei, Taiwan",copperking
"""been""","Rossland, British Columbia, Canada",copperking
"""been""","Savannah, GA, USA",copperking
"""been""","Palm Springs, CA, USA",copperking
"""been""","Atlanta, GA, USA",copperking
"""been""","London, UK",copperking
"""been""","Fukuoka, Japan",copperking
"""been""","Munich, Germany",copperking
"""been""","Las Vegas, NV, USA",copperking
"""been""","Anaheim, CA, USA",copperking
"""been""","Kissimmee, FL, USA",copperking
"""been""","Nice, France",copperking
"""been""","Cabo San Lucas, Mexico",copperking
"""been""","San Jose del Cabo, Mexico",copperking
"""been""","Los Angeles, CA, USA",copperking
"""been""","Austin, TX, USA",copperking
"""been""","Orlando, FL, USA",copperking
"""been""","Denver, CO, USA",copperking
"""been"",""fave""","Petropavlovsk-Kamchatsky, Russia",copperking
