tag,place,user
"""been""","Vourvourou, Greece",cristinad568
"""been""","Tourlos, Greece",cristinad568
"""been""","Bucharest, Romania",cristinad568
"""been""","Istanbul, Turkey",cristinad568
"""been""","Honolulu, HI, USA",cristinad568
"""been""","Grand Canyon National Park, AZ, USA",cristinad568
"""been""","Sarti, Greece",cristinad568
"""been""","Sibiu, Romania",cristinad568
"""been""","Brasov, Romania",cristinad568
"""been""","Las Vegas, NV, USA",cristinad568
"""want""","St Martin \u002F St Maarten, Caribbean",cristinad568
"""been""","Los Angeles, CA, USA",cristinad568
