tag,place,user
"""been""","Torquay, UK",d123265
"""been""","San Bartolome de Tirajana, Spain",d123265
"""been""","Nairobi, Kenya",d123265
"""been""","Blackpool, UK",d123265
"""been""","Southampton, UK",d123265
"""been""","Paris, France",d123265
"""been""","Tunis, Tunisia",d123265
"""been""","Windermere, UK",d123265
"""been""","Exeter, UK",d123265
"""been""","Alvor, Portugal",d123265
"""been""","Dawlish, UK",d123265
"""been""","Windsor, UK",d123265
"""been""","London, UK",d123265
"""been""","Canmore, Alberta, Canada",d123265
"""been""","Playa de las Americas, Spain",d123265
"""been""","Cardiff, UK",d123265
"""been""","Bournemouth, UK",d123265
"""been""","Bangkok, Thailand",d123265
"""been""","Thornton Cleveleys, UK",d123265
"""been""","Chiang Mai, Thailand",d123265
"""been""","Honolulu, HI, USA",d123265
"""been""","St Minver, UK",d123265
"""been""","Fort William, UK",d123265
"""been""","Tenerife, Spain",d123265
"""been""","Llandudno, UK",d123265
"""been""","Hong Kong, China",d123265
"""been""","Newton Abbot, UK",d123265
"""been""","Bristol, UK",d123265
"""been""","Krabi Town, Thailand",d123265
"""been""","Whitstable, UK",d123265
"""been""","Dubai, United Arab Emirates",d123265
"""been""","Los Cristianos, Spain",d123265
"""been""","San Agustin, Spain",d123265
"""been""","Victoria, British Columbia, Canada",d123265
"""been""","Bridgetown, Barbados",d123265
"""been""","Barmouth, UK",d123265
"""been""","Hollywood, FL, USA",d123265
"""been"",""want""","Barbados, Caribbean",d123265
"""been""","Hounslow, UK",d123265
"""been""","Brighton, UK",d123265
"""been""","Provincetown, MA, USA",d123265
"""been""","Hastings, UK",d123265
"""been""","Puerto de la Cruz, Spain",d123265
"""been""","Worthing, UK",d123265
"""been""","Vancouver, British Columbia, Canada",d123265
"""been""","Paignton, UK",d123265
"""been""","San Francisco, CA, USA",d123265
"""been""","Benidorm, Spain",d123265
"""been""","Kewstoke, UK",d123265
"""been""","Swindon, UK",d123265
"""been""","Dover, UK",d123265
"""been""","Ao Nang, Thailand",d123265
"""been""","Sydney, Australia",d123265
"""been""","Singapore, Singapore",d123265
"""been""","Newquay, UK",d123265
"""been""","Fort Lauderdale, FL, USA",d123265
"""been""","Hayes, UK",d123265
"""been""","Las Vegas, NV, USA",d123265
"""been""","Calgary, Alberta, Canada",d123265
"""been""","West Drayton, UK",d123265
"""been""","Jasper, Alberta, Canada",d123265
"""been""","Algarve, Portugal",d123265
"""been""","Perranporth, UK",d123265
"""been""","New York City, NY, USA",d123265
"""been""","Niagara Falls, Ontario, Canada",d123265
"""been""","Porthmadog, UK",d123265
"""been""","Crawley, UK",d123265
"""been""","Skegness, UK",d123265
"""been""","Haleiwa, HI, USA",d123265
"""been""","Birmingham, UK",d123265
"""been""","Orlando, FL, USA",d123265
"""been""","Coventry, UK",d123265
"""been""","Folkestone, UK",d123265
"""been""","Niagara Falls, NY, USA",d123265
"""been""","Kingsteignton, UK",d123265
"""been""","Puerto Del Carmen, Spain",d123265
"""been""","Matera, Italy",d123265
"""been""","Lisbon, Portugal",d123265
"""been""","Faro, Portugal",d123265
"""been""","Lagos, Portugal",d123265
"""been""","Santa Maria, Cape Verde",d123265
"""been"",""want""","Los Angeles, CA, USA",d123265
"""been""","Tampa, FL, USA",d123265
"""been""","Croydon, UK",d123265
"""been""","Ao Phang Nga National Park, Thailand",d123265
"""been""","Stockport, UK",d123265
"""been""","Funchal, Portugal",d123265
"""been""","Costa Adeje, Spain",d123265
"""been""","Toronto, Ontario, Canada",d123265
"""been""","Bath, UK",d123265
"""been""","St Austell, UK",d123265
"""been""","Barnstaple, UK",d123265
"""been""","Mestre, Italy",d123265
