tag,place,user
"""been""","San Diego, CA, USA",dandksmommy
"""been""","Healdsburg, CA, USA",dandksmommy
"""been""","Anaheim, CA, USA",dandksmommy
"""been""","Truckee, CA, USA",dandksmommy
"""been""","San Simeon, CA, USA",dandksmommy
"""been""","Clovis, CA, USA",dandksmommy
"""been""","Folsom, CA, USA",dandksmommy
"""been""","Lewiston, ID, USA",dandksmommy
"""been""","Napa, CA, USA",dandksmommy
"""been""","Kingsburg, CA, USA",dandksmommy
"""been""","Saratoga, CA, USA",dandksmommy
"""been""","Capitola, CA, USA",dandksmommy
"""been""","Burbank, CA, USA",dandksmommy
"""been""","Geyserville, CA, USA",dandksmommy
"""been""","Roseville, CA, USA",dandksmommy
"""been""","Morro Bay, CA, USA",dandksmommy
"""been""","Wailuku, HI, USA",dandksmommy
"""been""","Paia, HI, USA",dandksmommy
"""been""","Lahaina, HI, USA",dandksmommy
"""been""","Maui, HI, USA",dandksmommy
"""been""","Avalon, CA, USA",dandksmommy
"""been""","Kula, HI, USA",dandksmommy
"""been""","Kahului, HI, USA",dandksmommy
"""been""","St. Helena, CA, USA",dandksmommy
"""been""","Cupertino, CA, USA",dandksmommy
"""been""","Petaluma, CA, USA",dandksmommy
"""been""","Lathrop, CA, USA",dandksmommy
"""been""","El Dorado Hills, CA, USA",dandksmommy
"""been""","Bakersfield, CA, USA",dandksmommy
"""been""","Fresno, CA, USA",dandksmommy
"""been""","Los Angeles, CA, USA",dandksmommy
"""been""","Santa Clara, CA, USA",dandksmommy
"""been""","Chula Vista, CA, USA",dandksmommy
"""been""","Santa Cruz, CA, USA",dandksmommy
"""been""","Sunnyvale, CA, USA",dandksmommy
"""been""","Rancho Cordova, CA, USA",dandksmommy
"""been""","Sacramento, CA, USA",dandksmommy
"""been""","Friant, CA, USA",dandksmommy
