tag,place,user
"""been""","Dunfanaghy, Ireland",davidkerrni
"""been""","Toronto, Ontario, Canada",davidkerrni
"""been""","Dusseldorf, Germany",davidkerrni
"""been""","Boston, MA, USA",davidkerrni
"""been""","Lisbon, Portugal",davidkerrni
"""been""","Barcelona, Spain",davidkerrni
"""been""","Newcastle upon Tyne, UK",davidkerrni
"""been""","Brighton, UK",davidkerrni
"""been""","Honolulu, HI, USA",davidkerrni
"""been""","Portnablagh, Ireland",davidkerrni
"""been""","Buncrana, Ireland",davidkerrni
"""been""","Newark, NJ, USA",davidkerrni
"""been""","Navan, Ireland",davidkerrni
"""been""","Carlingford, Ireland",davidkerrni
"""been""","Galway, Ireland",davidkerrni
"""been""","Dublin, Ireland",davidkerrni
"""been""","Calistoga, CA, USA",davidkerrni
"""been""","Copenhagen, Denmark",davidkerrni
"""been""","Glenties, Ireland",davidkerrni
"""been""","Ballybofey, Ireland",davidkerrni
"""been""","Geneva, Switzerland",davidkerrni
"""want""","Cork, Ireland",davidkerrni
"""been""","Perth, UK",davidkerrni
"""want""","Chicago, IL, USA",davidkerrni
"""been""","Carrigart, Ireland",davidkerrni
"""been""","Sonoma, CA, USA",davidkerrni
"""been""","Sequoia and Kings Canyon National Park, CA, USA",davidkerrni
"""been""","Los Angeles, CA, USA",davidkerrni
"""been""","South Lake Tahoe, CA, USA",davidkerrni
"""been""","Seal Beach, CA, USA",davidkerrni
"""been""","Carrickfergus, UK",davidkerrni
"""been""","Glasgow, UK",davidkerrni
"""been""","Nice, France",davidkerrni
"""been""","Strabane, UK",davidkerrni
"""been""","Holywood, UK",davidkerrni
"""been""","Truckee, CA, USA",davidkerrni
"""been""","Tenerife, Spain",davidkerrni
"""been""","Anaheim, CA, USA",davidkerrni
"""been""","Madrid, Spain",davidkerrni
"""been""","Las Vegas, NV, USA",davidkerrni
"""been""","Budapest, Hungary",davidkerrni
"""been""","New York City, NY, USA",davidkerrni
"""been""","Gweedore, Ireland",davidkerrni
"""been""","Bundoran, Ireland",davidkerrni
"""been""","Castlefinn, Ireland",davidkerrni
"""been""","Malin Head, Ireland",davidkerrni
"""been""","Napa, CA, USA",davidkerrni
"""been""","Phoenix, AZ, USA",davidkerrni
"""been""","Preston, UK",davidkerrni
"""been""","Eureka, CA, USA",davidkerrni
"""been""","Rossnowlagh, Ireland",davidkerrni
"""been""","Rhodes Town, Greece",davidkerrni
"""been""","Newry, UK",davidkerrni
"""been""","Palma de Mallorca, Spain",davidkerrni
"""been""","Menorca, Spain",davidkerrni
"""been""","Manchester, UK",davidkerrni
"""been""","Saint-Malo, France",davidkerrni
"""been""","Oslo, Norway",davidkerrni
"""been""","Lisnaskea, UK",davidkerrni
"""been""","Redwood National Park, CA, USA",davidkerrni
"""been""","Long Beach, CA, USA",davidkerrni
"""been""","Brooklyn, NY, USA",davidkerrni
"""been""","Limavady, UK",davidkerrni
"""been""","Portstewart, UK",davidkerrni
"""been""","Santa Barbara, CA, USA",davidkerrni
"""been""","Narin-Portnoo, Ireland",davidkerrni
"""been""","Algarve, Portugal",davidkerrni
"""been""","Crescent City, CA, USA",davidkerrni
"""been""","Newcastle, UK",davidkerrni
"""been""","Downpatrick, UK",davidkerrni
"""been""","Frankfurt, Germany",davidkerrni
"""been""","Stranorlar, Ireland",davidkerrni
"""been""","Clones, Ireland",davidkerrni
"""been""","Ballycastle, UK",davidkerrni
"""been""","Belfast, UK",davidkerrni
"""been""","Bangor, UK",davidkerrni
"""been""","Prague, Czech Republic",davidkerrni
"""been""","Ballyliffin, Ireland",davidkerrni
"""been""","Portrush, UK",davidkerrni
"""been""","Groomsport, UK",davidkerrni
"""been""","Stansted Mountfitchet, UK",davidkerrni
"""been""","Tokyo, Japan",davidkerrni
"""been""","Lisburn, UK",davidkerrni
"""been""","Muff, Ireland",davidkerrni
"""been""","Portsalon, Ireland",davidkerrni
"""been""","Johannesburg, South Africa",davidkerrni
"""been""","Edinburgh, UK",davidkerrni
"""been""","San Francisco, CA, USA",davidkerrni
"""been""","Birmingham, UK",davidkerrni
"""been""","Berlin, Germany",davidkerrni
"""been""","Yosemite National Park, CA, USA",davidkerrni
"""been""","Istanbul, Turkey",davidkerrni
"""been""","Derry, UK",davidkerrni
"""been""","Glencolmcille, Ireland",davidkerrni
"""been""","Milan, Italy",davidkerrni
"""been""","Falcarragh, Ireland",davidkerrni
"""been""","Letterkenny, Ireland",davidkerrni
"""been""","Denver, CO, USA",davidkerrni
"""been""","Rome, Italy",davidkerrni
"""been""","London, UK",davidkerrni
"""been""","San Jose, CA, USA",davidkerrni
"""been""","Liverpool, UK",davidkerrni
"""been""","Brussels, Belgium",davidkerrni
"""been""","Ayr, UK",davidkerrni
"""been""","Hong Kong, China",davidkerrni
"""been""","Rathmullan, Ireland",davidkerrni
"""been""","Orlando, FL, USA",davidkerrni
"""been""","Ardara, Ireland",davidkerrni
"""been""","Charlotte, NC, USA",davidkerrni
"""been""","Amsterdam, The Netherlands",davidkerrni
"""been""","Scottsdale, AZ, USA",davidkerrni
"""been""","Zurich, Switzerland",davidkerrni
"""been""","York, UK",davidkerrni
"""been""","Paris, France",davidkerrni
"""been""","Warsaw, Poland",davidkerrni
"""been""","Antwerp, Belgium",davidkerrni
"""been""","Cardiff, UK",davidkerrni
"""been""","Downings, Ireland",davidkerrni
"""been""","Enniskillen, UK",davidkerrni
