tag,place,user
"""been""","Oceanside, CA, USA",daybreak04
"""been""","Yachats, OR, USA",daybreak04
"""want""","Manchester, UK",daybreak04
"""been""","Chicago, IL, USA",daybreak04
"""been""","Quartzsite, AZ, USA",daybreak04
"""been""","Glasgow, UK",daybreak04
"""been""","Miami, FL, USA",daybreak04
"""been""","Tampa, FL, USA",daybreak04
"""been""","Los Angeles, CA, USA",daybreak04
"""been""","Skelton, UK",daybreak04
"""been""","Portland, OR, USA",daybreak04
"""been""","Placencia, Belize",daybreak04
"""been""","Dangriga, Belize",daybreak04
"""been""","Cabazon, CA, USA",daybreak04
"""been""","Stehekin, WA, USA",daybreak04
"""been""","Ixtapa, Mexico",daybreak04
"""been""","Orange Walk, Belize",daybreak04
"""been""","Lanark, UK",daybreak04
"""want""","Strasbourg, France",daybreak04
"""been""","Cabo San Lucas, Mexico",daybreak04
"""been""","Kelowna, British Columbia, Canada",daybreak04
"""been""","Flagstaff, AZ, USA",daybreak04
"""been""","Eugene, OR, USA",daybreak04
"""want""","Frankfurt, Germany",daybreak04
"""been""","Friday Harbor, WA, USA",daybreak04
"""been""","Long Beach, CA, USA",daybreak04
"""been""","San Antonio, TX, USA",daybreak04
"""been""","Phoenix, AZ, USA",daybreak04
"""been""","Imperial Beach, CA, USA",daybreak04
"""been""","Edinburgh, UK",daybreak04
"""been""","Tacoma, WA, USA",daybreak04
"""been""","Gulf Shores, AL, USA",daybreak04
"""been""","Cocoa, FL, USA",daybreak04
"""been""","Belize City, Belize",daybreak04
"""been""","Sagle, ID, USA",daybreak04
"""been""","Biloxi, MS, USA",daybreak04
"""been""","Luray, VA, USA",daybreak04
"""been""","Butte, MT, USA",daybreak04
"""been""","Kansas City, MO, USA",daybreak04
"""want""","Antigua, Spain",daybreak04
"""been""","Cody, WY, USA",daybreak04
"""want""","Pamplona, Spain",daybreak04
"""want""","Cape Town Central, South Africa",daybreak04
"""been""","Vacaville, CA, USA",daybreak04
"""been""","White Salmon, WA, USA",daybreak04
"""been""","Huntington Beach, CA, USA",daybreak04
"""been""","Stratford-upon-Avon, UK",daybreak04
"""want""","Houston, TX, USA",daybreak04
"""want""","Tangier, Morocco",daybreak04
"""been""","Dallas, TX, USA",daybreak04
"""been""","Lake Havasu City, AZ, USA",daybreak04
"""been""","Newport, OR, USA",daybreak04
"""been""","Wenatchee, WA, USA",daybreak04
"""been""","Thorp, WA, USA",daybreak04
"""been""","Tehachapi, CA, USA",daybreak04
"""been""","Puerto Vallarta, Mexico",daybreak04
"""been""","Mazatlan, Mexico",daybreak04
"""been""","Zihuatanejo, Mexico",daybreak04
"""been""","Beverly Hills, CA, USA",daybreak04
"""been""","Seattle, WA, USA",daybreak04
"""been""","Choteau, MT, USA",daybreak04
"""been"",""want""","Reno, NV, USA",daybreak04
"""been""","Calgary, Alberta, Canada",daybreak04
"""been""","Lake Louise, Alberta, Canada",daybreak04
"""been""","San Diego, CA, USA",daybreak04
"""been""","Yuma, AZ, USA",daybreak04
"""been""","Billings, MT, USA",daybreak04
"""want""","Bordeaux, France",daybreak04
"""been""","Bend, OR, USA",daybreak04
"""want""","Myrtle Beach, SC, USA",daybreak04
"""been""","Venice, Italy",daybreak04
"""been""","Central Point, OR, USA",daybreak04
"""been""","Yakima, WA, USA",daybreak04
"""want""","Newport, RI, USA",daybreak04
"""been""","San Simeon, CA, USA",daybreak04
"""been""","Paso Robles, CA, USA",daybreak04
"""want""","Bardolino, Italy",daybreak04
"""want""","Madrid, Spain",daybreak04
"""been""","Cathedral City, CA, USA",daybreak04
"""been""","Ritzville, WA, USA",daybreak04
"""want""","Nassau, Bahamas",daybreak04
"""been""","Tukwila, WA, USA",daybreak04
"""want""","Boston, MA, USA",daybreak04
"""want""","New Orleans, LA, USA",daybreak04
"""been""","Honolulu, HI, USA",daybreak04
"""want""","Lindos, Greece",daybreak04
"""been""","Zurich, Switzerland",daybreak04
"""been""","Astoria, OR, USA",daybreak04
"""been""","Corpus Christi, TX, USA",daybreak04
"""want""","Paris, France",daybreak04
"""want""","Pompeii, Italy",daybreak04
"""want""","Versailles, France",daybreak04
"""want""","Naples, Italy",daybreak04
"""been""","Roslyn, WA, USA",daybreak04
"""been""","Cape Canaveral, FL, USA",daybreak04
"""want""","Montreal, Quebec, Canada",daybreak04
"""want""","Killarney, Ireland",daybreak04
"""been"",""want""","London, UK",daybreak04
"""been""","Denver, CO, USA",daybreak04
"""want""","Kilkenny, Ireland",daybreak04
"""been""","Munich, Germany",daybreak04
"""been""","Carmel, CA, USA",daybreak04
