tag,place,user
"""been""","Tampa, FL, USA",dojodan
"""been""","Springerville, AZ, USA",dojodan
"""been""","Los Angeles, CA, USA",dojodan
"""been""","Oxon Hill, MD, USA",dojodan
"""been""","Sonoma, CA, USA",dojodan
"""been""","Oakland, CA, USA",dojodan
"""want""","Chicago, IL, USA",dojodan
"""been""","Ventura, CA, USA",dojodan
"""been""","Orlando, FL, USA",dojodan
"""been""","Vientiane, Laos",dojodan
"""been""","National Harbor, MD, USA",dojodan
"""been""","Taipei, Taiwan",dojodan
"""been""","Austin, TX, USA",dojodan
"""been""","Bangkok, Thailand",dojodan
"""been"",""want""","Las Vegas, NV, USA",dojodan
"""been""","Tulare, CA, USA",dojodan
"""been"",""want""","Nakhon Ratchasima, Thailand",dojodan
"""been""","Surin, Thailand",dojodan
"""been""","Mooresville, NC, USA",dojodan
"""want""","New York City, NY, USA",dojodan
"""want""","Wenzhou, China",dojodan
"""been""","Hua Hin, Thailand",dojodan
"""been""","San Francisco, CA, USA",dojodan
"""want""","Seattle, WA, USA",dojodan
"""been""","Page, AZ, USA",dojodan
"""want""","Beijing, China",dojodan
"""want""","Tamuning, Mariana Islands",dojodan
"""been""","Eagar, AZ, USA",dojodan
"""been""","Tumon, Mariana Islands",dojodan
"""been"",""want""","Hong Kong, China",dojodan
"""been""","Charlotte, NC, USA",dojodan
"""been""","Ayutthaya, Thailand",dojodan
"""been""","San Antonio, TX, USA",dojodan
"""want""","Madrid, Spain",dojodan
"""been""","Benson, AZ, USA",dojodan
"""been""","Bisbee, AZ, USA",dojodan
"""want""","Visalia, CA, USA",dojodan
"""been""","Khon Kaen, Thailand",dojodan
"""been""","Grover Beach, CA, USA",dojodan
"""been""","Vang Vieng, Laos",dojodan
"""want""","Shanghai, China",dojodan
"""been""","Kanab, UT, USA",dojodan
"""been""","Yosemite National Park, CA, USA",dojodan
"""been""","Tucson, AZ, USA",dojodan
"""been""","Yokohama, Japan",dojodan
"""been""","San Diego, CA, USA",dojodan
"""been""","Washington DC, DC, USA",dojodan
"""been""","Guam, Mariana Islands",dojodan
"""been""","Houston, TX, USA",dojodan
"""been""","New Orleans, LA, USA",dojodan
"""been""","Malibu, CA, USA",dojodan
"""been""","Grand Canyon National Park, AZ, USA",dojodan
"""been""","Cedar Park, TX, USA",dojodan
"""been""","Udon Thani, Thailand",dojodan
"""been""","Biloxi, MS, USA",dojodan
"""been""","Pranburi, Thailand",dojodan
"""been""","Simi Valley, CA, USA",dojodan
"""been""","Asheville, NC, USA",dojodan
"""want""","Seville, Spain",dojodan
"""been""","Tokyo, Japan",dojodan
"""want""","Honolulu, HI, USA",dojodan
"""been""","Phoenix, AZ, USA",dojodan
"""been""","Sierra Vista, AZ, USA",dojodan
"""been""","Chaloem Phra Kiat, Thailand",dojodan
"""been""","Napa, CA, USA",dojodan
"""been""","Long Beach, CA, USA",dojodan
"""been""","Anaheim, CA, USA",dojodan
"""been""","San Bruno, CA, USA",dojodan
"""been""","Commerce, CA, USA",dojodan
"""been""","Nashville, TN, USA",dojodan
"""been""","Banning, CA, USA",dojodan
"""been""","Scottsdale, AZ, USA",dojodan
"""been""","Globe, AZ, USA",dojodan
"""been""","Sedona, AZ, USA",dojodan
"""been""","Nong Khai, Thailand",dojodan
"""been""","Flagstaff, AZ, USA",dojodan
