tag,place,user
"""been""","Lihue, HI, USA",doranb1984
"""been""","Houston, TX, USA",doranb1984
"""been""","New Orleans, LA, USA",doranb1984
"""been""","Indianapolis, IN, USA",doranb1984
"""been""","Norfolk, VA, USA",doranb1984
"""been""","Boston, MA, USA",doranb1984
"""been""","Brussels, Belgium",doranb1984
"""been""","Budapest, Hungary",doranb1984
"""been""","Waimea, HI, USA",doranb1984
"""been""","Honolulu, HI, USA",doranb1984
"""been""","Kansas City, MO, USA",doranb1984
"""been""","Washington DC, DC, USA",doranb1984
"""been""","Minneapolis, MN, USA",doranb1984
"""been""","Shinjuku, Japan",doranb1984
"""been""","Montreal, Quebec, Canada",doranb1984
"""been""","Dallas, TX, USA",doranb1984
"""been""","Everglades City, FL, USA",doranb1984
"""been""","Birmingham, AL, USA",doranb1984
"""been""","New Delhi, India",doranb1984
"""been""","Williamsburg, VA, USA",doranb1984
"""been""","Seattle, WA, USA",doranb1984
"""been""","Natchez, MS, USA",doranb1984
"""been""","Singapore, Singapore",doranb1984
"""been""","Virginia Beach, VA, USA",doranb1984
"""been""","Cincinnati, OH, USA",doranb1984
"""been""","Sydney, Australia",doranb1984
"""been""","Saint Louis, MO, USA",doranb1984
"""been""","Sioux City, IA, USA",doranb1984
"""been""","Milan, Italy",doranb1984
"""been""","Covina, CA, USA",doranb1984
"""been""","Turlock, CA, USA",doranb1984
"""been""","Vienna, Austria",doranb1984
"""been""","Morgantown, WV, USA",doranb1984
"""been""","Meeker, CO, USA",doranb1984
"""been""","Siesta Key, FL, USA",doranb1984
"""been""","Orlando, FL, USA",doranb1984
"""been""","Monterey, CA, USA",doranb1984
"""been""","Lisbon, Portugal",doranb1984
"""been""","Anniston, AL, USA",doranb1984
"""been""","Tulsa, OK, USA",doranb1984
"""been""","State College, PA, USA",doranb1984
"""been""","Carmel, CA, USA",doranb1984
"""been""","Kissimmee, FL, USA",doranb1984
"""been""","Portland, OR, USA",doranb1984
"""been""","Denver, CO, USA",doranb1984
"""been""","Naples, FL, USA",doranb1984
"""been""","Paris, France",doranb1984
"""been""","Warsaw, Poland",doranb1984
"""been""","Fort Lauderdale, FL, USA",doranb1984
"""been""","Kapaa, HI, USA",doranb1984
"""been""","London, UK",doranb1984
"""been""","Modesto, CA, USA",doranb1984
"""been""","Charlotte, NC, USA",doranb1984
"""been""","Palm Springs, CA, USA",doranb1984
"""been""","Fargo, ND, USA",doranb1984
"""been""","Lyon, France",doranb1984
"""been""","Woods Hole, MA, USA",doranb1984
"""been""","Darrow, LA, USA",doranb1984
"""been""","Moscow, Russia",doranb1984
"""been""","Gonzales, LA, USA",doranb1984
"""been""","Reno, NV, USA",doranb1984
"""been""","Cabo San Lucas, Mexico",doranb1984
"""been""","Eugene, OR, USA",doranb1984
"""been""","West Covina, CA, USA",doranb1984
"""been""","Key West, FL, USA",doranb1984
"""been""","Kent, OH, USA",doranb1984
"""been""","Maui, HI, USA",doranb1984
"""been""","Providence, RI, USA",doranb1984
"""been""","Hong Kong, China",doranb1984
"""been""","Bucharest, Romania",doranb1984
"""been""","Sacramento, CA, USA",doranb1984
"""been""","Memphis, TN, USA",doranb1984
"""been""","Brooklyn, NY, USA",doranb1984
"""been""","South Lake Tahoe, CA, USA",doranb1984
"""been""","Nice, France",doranb1984
"""been""","White Castle, LA, USA",doranb1984
"""been""","Vancouver, British Columbia, Canada",doranb1984
"""been""","Santa Barbara, CA, USA",doranb1984
"""been""","San Francisco, CA, USA",doranb1984
"""been""","Oklahoma City, OK, USA",doranb1984
"""been""","San Antonio, TX, USA",doranb1984
"""been""","Kauai, HI, USA",doranb1984
"""been""","Philadelphia, PA, USA",doranb1984
"""been""","Ocean City, MD, USA",doranb1984
"""been""","Syracuse, NY, USA",doranb1984
"""been""","Salt Lake City, UT, USA",doranb1984
"""been""","Austin, TX, USA",doranb1984
"""been""","Los Angeles, CA, USA",doranb1984
"""been""","Louisville, KY, USA",doranb1984
"""been""","Tampa, FL, USA",doranb1984
"""been""","Miami Beach, FL, USA",doranb1984
"""been""","Miami, FL, USA",doranb1984
"""been""","Chicago, IL, USA",doranb1984
"""been""","Jacksonville, FL, USA",doranb1984
"""been""","Las Vegas, NV, USA",doranb1984
"""been""","New York City, NY, USA",doranb1984
"""been""","Cleveland, OH, USA",doranb1984
"""been""","Toronto, Ontario, Canada",doranb1984
"""been""","Perth, Australia",doranb1984
"""been""","Brisbane, Australia",doranb1984
"""been""","Anaheim, CA, USA",doranb1984
"""been""","Atlanta, GA, USA",doranb1984
"""been""","Long Beach, CA, USA",doranb1984
"""been""","Ozark, AR, USA",doranb1984
"""been""","Akron, OH, USA",doranb1984
"""been""","Rouen, France",doranb1984
"""been""","Jackson, WY, USA",doranb1984
"""been""","Nashville, TN, USA",doranb1984
"""been""","Clearwater, FL, USA",doranb1984
"""been""","Santa Monica, CA, USA",doranb1984
"""been""","Grand Junction, CO, USA",doranb1984
"""been""","Lodi, CA, USA",doranb1984
"""been""","Phoenix, AZ, USA",doranb1984
"""been""","Greenville, SC, USA",doranb1984
