tag,place,user
"""been""","Las Vegas, NV, USA",drjees2018
"""been""","Sausalito, CA, USA",drjees2018
"""been""","Commerce, CA, USA",drjees2018
"""been""","Santa Monica, CA, USA",drjees2018
"""been""","Sydney, Australia",drjees2018
"""been""","Franz Josef, New Zealand",drjees2018
"""been""","San Francisco, CA, USA",drjees2018
"""been""","Moss Vale, Australia",drjees2018
"""been""","Kaikoura, New Zealand",drjees2018
"""been""","Queenstown, New Zealand",drjees2018
"""been""","Rotorua, New Zealand",drjees2018
"""been""","Los Angeles, CA, USA",drjees2018
"""been""","Hokitika, New Zealand",drjees2018
"""been""","Chino, CA, USA",drjees2018
"""been""","Mittagong, Australia",drjees2018
"""been""","San Diego, CA, USA",drjees2018
