tag,place,user
"""been""","Weaverville, NC, USA",ducka62
"""been""","Long Beach, CA, USA",ducka62
"""want""","Killarney, Ireland",ducka62
"""been""","Las Vegas, NV, USA",ducka62
"""been""","Trinidad, CA, USA",ducka62
"""been""","Seal Beach, CA, USA",ducka62
"""been""","Tucson, AZ, USA",ducka62
"""want""","Louisville, KY, USA",ducka62
"""been""","Coronado, CA, USA",ducka62
"""been""","Tracy, CA, USA",ducka62
"""been""","San Francisco, CA, USA",ducka62
"""been""","Portland, OR, USA",ducka62
"""been""","Los Gatos, CA, USA",ducka62
"""been""","Sonoma, CA, USA",ducka62
"""been""","Newcastle, CA, USA",ducka62
"""been""","Los Angeles, CA, USA",ducka62
"""been""","Los Altos, CA, USA",ducka62
"""been""","Fremont, CA, USA",ducka62
"""want""","Rome, Italy",ducka62
"""been""","Felton, CA, USA",ducka62
"""been"",""fave""","Pismo Beach, CA, USA",ducka62
"""been""","Shasta Lake, CA, USA",ducka62
"""been""","Calistoga, CA, USA",ducka62
"""been""","Newport Beach, CA, USA",ducka62
"""been""","Vancouver, WA, USA",ducka62
"""been""","Maui, HI, USA",ducka62
"""been""","Tillamook, OR, USA",ducka62
"""been""","Trinidad, Trinidad and Tobago",ducka62
"""been""","Crescent City, CA, USA",ducka62
"""been""","Big Sur, CA, USA",ducka62
"""been"",""fave""","Cambria, CA, USA",ducka62
"""want""","Oklahoma City, OK, USA",ducka62
"""been""","Garden Grove, CA, USA",ducka62
"""want""","Arlington, VA, USA",ducka62
"""been""","Kaneohe, HI, USA",ducka62
"""been""","Santa Barbara, CA, USA",ducka62
"""been""","Kapolei, HI, USA",ducka62
"""been""","Laie, HI, USA",ducka62
"""been"",""fave""","Anaheim, CA, USA",ducka62
"""been""","Albuquerque, NM, USA",ducka62
"""want""","Brisbane, Australia",ducka62
"""been""","Wahiawa, HI, USA",ducka62
"""been""","Livermore, CA, USA",ducka62
"""been""","Union City, CA, USA",ducka62
"""been""","Mount Hamilton, CA, USA",ducka62
"""been""","Santa Cruz, CA, USA",ducka62
"""want""","Sydney, Australia",ducka62
"""been""","Santa Clara, CA, USA",ducka62
"""been""","Colfax, CA, USA",ducka62
"""been""","Sparks, NV, USA",ducka62
"""been""","Sacramento, CA, USA",ducka62
"""been""","Corvallis, OR, USA",ducka62
"""been""","Verdi, NV, USA",ducka62
"""been""","Kahuku, HI, USA",ducka62
"""been""","Stateline, NV, USA",ducka62
"""want""","New York City, NY, USA",ducka62
"""been""","Santa Rosa, CA, USA",ducka62
"""been""","Healdsburg, CA, USA",ducka62
"""been""","Santa Monica, CA, USA",ducka62
"""been""","Haleiwa, HI, USA",ducka62
