tag,place,user
"""been""","Kogarah, Australia",elanor03
"""been""","Blue Mountains National Park, Australia",elanor03
"""been""","Leura, Australia",elanor03
"""been""","Tanjung Benoa, Indonesia",elanor03
"""been""","London, UK",elanor03
"""been""","Katoomba, Australia",elanor03
"""been""","Bondi, Australia",elanor03
"""been""","Sydney, Australia",elanor03
"""been""","Blackheath, Australia",elanor03
"""been""","Nusa Dua, Indonesia",elanor03
"""been""","Seoul, South Korea",elanor03
"""been""","Ohakune, New Zealand",elanor03
"""been""","Los Angeles, CA, USA",elanor03
"""been""","Mascot, Australia",elanor03
"""been""","Springbrook, Australia",elanor03
"""been""","Wellington, New Zealand",elanor03
