tag,place,user
"""been""","San Francisco, CA, USA",ericg166
"""been"",""fave""","Atlantic City, NJ, USA",ericg166
"""want""","Paris, France",ericg166
"""want""","Singapore, Singapore",ericg166
"""been"",""fave""","Palm Springs, CA, USA",ericg166
"""want""","Osaka, Japan",ericg166
"""been""","Scottsdale, AZ, USA",ericg166
"""been"",""fave""","Anaheim, CA, USA",ericg166
"""been""","Quebec City, Quebec, Canada",ericg166
"""been""","Sedona, AZ, USA",ericg166
"""been""","Montreal, Quebec, Canada",ericg166
"""want""","Naples, FL, USA",ericg166
"""been""","Myrtle Beach, SC, USA",ericg166
"""been""","Phoenix, AZ, USA",ericg166
"""want""","Taipei, Taiwan",ericg166
"""been""","Las Vegas, NV, USA",ericg166
"""want""","Negril, Jamaica",ericg166
"""been""","Puerto Vallarta, Mexico",ericg166
"""been"",""fave""","Charleston, SC, USA",ericg166
"""want""","Kuala Lumpur, Malaysia",ericg166
"""been"",""fave""","Honolulu, HI, USA",ericg166
"""been""","New York City, NY, USA",ericg166
"""been"",""fave""","Orlando, FL, USA",ericg166
"""want""","Miami, FL, USA",ericg166
"""want""","Dubai, United Arab Emirates",ericg166
"""want""","Sao Paulo, Brazil",ericg166
"""been""","Los Angeles, CA, USA",ericg166
"""been""","Chicago, IL, USA",ericg166
"""want""","Miami Beach, FL, USA",ericg166
"""want""","Beijing, China",ericg166
"""been""","Kissimmee, FL, USA",ericg166
"""want""","Hong Kong, China",ericg166
"""been"",""fave""","Santa Barbara, CA, USA",ericg166
"""want""","San Juan, Puerto Rico",ericg166
"""want""","Vancouver, British Columbia, Canada",ericg166
"""been""","Toronto, Ontario, Canada",ericg166
"""want""","Moscow, Russia",ericg166
"""want""","Rio de Janeiro, Brazil",ericg166
"""want""","Amsterdam, The Netherlands",ericg166
"""been""","Philadelphia, PA, USA",ericg166
"""want""","Tokyo, Japan",ericg166
