tag,place,user
"""been""","Big Sur, CA, USA",flights
"""been""","St. John's, Newfoundland and Labrador, Canada",flights
"""been""","Galena, IL, USA",flights
"""been""","Milwaukee, WI, USA",flights
"""been""","Jackson, WY, USA",flights
"""been""","Ridgedale, MO, USA",flights
"""been""","Baltimore, MD, USA",flights
"""been""","Atlanta, GA, USA",flights
"""been""","Richmond Heights, MO, USA",flights
"""been""","Richmond, VA, USA",flights
"""been""","Monterey, CA, USA",flights
"""been""","Fort Worth, TX, USA",flights
"""want""","Florence, Italy",flights
"""been""","Pasadena, CA, USA",flights
"""been""","Haines, AK, USA",flights
"""been""","La Jolla, CA, USA",flights
"""been""","Savannah, GA, USA",flights
"""been""","Orlando, FL, USA",flights
"""been""","Cape Canaveral, FL, USA",flights
"""been""","Denver, CO, USA",flights
"""been""","St. Augustine, FL, USA",flights
"""been""","Kissimmee, FL, USA",flights
"""been""","Anchorage, AK, USA",flights
"""been""","Hyannis, MA, USA",flights
"""been""","San Jose, CA, USA",flights
"""been""","Carmel, CA, USA",flights
"""been""","Wisconsin Dells, WI, USA",flights
"""been""","Neenah, WI, USA",flights
"""been""","New York City, NY, USA",flights
"""been""","Des Peres, MO, USA",flights
"""been""","Tunica, MS, USA",flights
"""been""","Jacksonville, FL, USA",flights
"""been""","Niagara Falls, NY, USA",flights
"""been""","Fort Lauderdale, FL, USA",flights
"""been""","Key West, FL, USA",flights
"""been""","Philipsburg, St Martin \u002F St Maarten",flights
"""been""","Scottsdale, AZ, USA",flights
"""been""","Key Largo, FL, USA",flights
"""been""","Grand Teton National Park, WY, USA",flights
"""been""","Beaufort, SC, USA",flights
"""been""","Vancouver, British Columbia, Canada",flights
"""been""","Yosemite National Park, CA, USA",flights
"""been""","Gettysburg, PA, USA",flights
"""been"",""want""","Rome, Italy",flights
"""been""","Philadelphia, PA, USA",flights
"""been""","Peggy's Cove, Nova Scotia, Canada",flights
"""been""","West Yellowstone, MT, USA",flights
"""been""","Victoria, British Columbia, Canada",flights
"""been""","Vatican City, Vatican City",flights
"""been""","San Antonio, TX, USA",flights
"""been""","San Francisco, CA, USA",flights
"""been""","Indianapolis, IN, USA",flights
"""been""","Malibu, CA, USA",flights
"""been""","Memphis, TN, USA",flights
"""been""","Stowe, VT, USA",flights
"""been""","Louisville, KY, USA",flights
"""been""","Maplewood, MO, USA",flights
"""been""","San Juan, Puerto Rico",flights
"""been""","Las Vegas, NV, USA",flights
"""been""","University City, MO, USA",flights
"""been""","San Jose del Cabo, Mexico",flights
"""been""","Cabo San Lucas, Mexico",flights
"""been""","Washington DC, DC, USA",flights
"""been""","Trussville, AL, USA",flights
"""been""","Providence, RI, USA",flights
"""been""","Estes Park, CO, USA",flights
"""been""","London, UK",flights
"""been""","Newport Beach, CA, USA",flights
"""been""","Oklahoma City, OK, USA",flights
"""been""","Anaheim, CA, USA",flights
"""been""","Montego Bay, Jamaica",flights
"""want""","Providenciales, Turks and Caicos",flights
"""been""","Ocho Rios, Jamaica",flights
"""been""","Maryland Heights, MO, USA",flights
"""been""","Charleston, SC, USA",flights
"""been""","Annapolis, MD, USA",flights
"""been""","Saint Louis, MO, USA",flights
"""been""","Clayton, MO, USA",flights
"""been""","Tulsa, OK, USA",flights
"""been""","Chicago, IL, USA",flights
"""been""","Miami Beach, FL, USA",flights
"""been""","Los Angeles, CA, USA",flights
"""been""","Newport, RI, USA",flights
"""been""","Miami, FL, USA",flights
"""been""","Portland, OR, USA",flights
"""been""","Bridgetown, Barbados",flights
"""been""","Puerto Vallarta, Mexico",flights
"""been""","Niagara Falls, Ontario, Canada",flights
"""been""","Coronado, CA, USA",flights
"""been""","Kansas City, MO, USA",flights
"""been""","Mazatlan, Mexico",flights
"""been""","Biloxi, MS, USA",flights
"""been""","Gatlinburg, TN, USA",flights
"""been""","Long Beach, CA, USA",flights
"""been""","Napa, CA, USA",flights
