tag,place,user
"""been""","Carlsbad, CA, USA",fxsam
"""been""","Tulum, Mexico",fxsam
"""been""","Carmel, CA, USA",fxsam
"""been""","Kissimmee, FL, USA",fxsam
"""been""","Boonville, CA, USA",fxsam
"""been""","San Jose, CA, USA",fxsam
"""been""","New York City, NY, USA",fxsam
"""been""","Udaipur, India",fxsam
"""been""","Las Vegas, NV, USA",fxsam
"""been""","Portland, OR, USA",fxsam
"""been""","Coleford, UK",fxsam
"""been""","Los Angeles, CA, USA",fxsam
"""been""","La Jolla, CA, USA",fxsam
"""been""","Chepstow, UK",fxsam
"""been""","Marseille, France",fxsam
"""been""","Miami Beach, FL, USA",fxsam
"""been""","Orlando, FL, USA",fxsam
"""been""","Miami, FL, USA",fxsam
"""been""","Santa Monica, CA, USA",fxsam
"""been""","Anaheim, CA, USA",fxsam
"""been""","Cambridge, MA, USA",fxsam
"""been""","Amesbury, UK",fxsam
"""been""","Alton, UK",fxsam
"""been""","Sedona, AZ, USA",fxsam
"""been""","Atlanta, GA, USA",fxsam
"""want""","Cusco, Peru",fxsam
"""been""","Kapaa, HI, USA",fxsam
"""been""","Munich, Germany",fxsam
"""been""","Palm Springs, CA, USA",fxsam
"""been""","London, UK",fxsam
"""been""","Paris, France",fxsam
"""been""","Phoenix, AZ, USA",fxsam
"""been""","Manchester, UK",fxsam
"""want""","Windermere, UK",fxsam
"""been""","Fort Lauderdale, FL, USA",fxsam
"""been""","Lakeshore, CA, USA",fxsam
"""been""","Bath, UK",fxsam
"""been""","Amsterdam, The Netherlands",fxsam
"""been""","Hilo, HI, USA",fxsam
"""been""","Santa Barbara, CA, USA",fxsam
"""been""","Waimea, HI, USA",fxsam
"""want""","Vienna, Austria",fxsam
"""been""","Honolulu, HI, USA",fxsam
"""been""","Boston, MA, USA",fxsam
"""been""","Poipu, HI, USA",fxsam
"""been""","New Delhi, India",fxsam
"""been""","New Orleans, LA, USA",fxsam
"""been""","Shanghai, China",fxsam
"""been""","Medina-Sidonia, Spain",fxsam
"""been""","Dallas, TX, USA",fxsam
"""been""","York, UK",fxsam
"""been""","Whitby, UK",fxsam
"""been""","Niagara Falls, Ontario, Canada",fxsam
"""been""","Nice, France",fxsam
"""been""","Santa Cruz, CA, USA",fxsam
"""been""","Bristol, UK",fxsam
"""want""","Venice, Italy",fxsam
"""been""","Columbia, CA, USA",fxsam
"""been""","Cardiff, UK",fxsam
"""been""","Bournemouth, UK",fxsam
"""been""","Rome, Italy",fxsam
"""been""","Suzhou, China",fxsam
"""been""","Kailua-Kona, HI, USA",fxsam
"""been""","Philadelphia, PA, USA",fxsam
"""been""","San Francisco, CA, USA",fxsam
"""been""","Seattle, WA, USA",fxsam
"""been""","Big Sur, CA, USA",fxsam
"""want""","Santa Fe, NM, USA",fxsam
"""been""","Milan, Italy",fxsam
"""been""","Washington DC, DC, USA",fxsam
"""been""","Montreal, Quebec, Canada",fxsam
"""been""","Nottingham, UK",fxsam
"""been""","Berlin, Germany",fxsam
"""been""","Vancouver, British Columbia, Canada",fxsam
"""been""","Celebration, FL, USA",fxsam
"""been""","Seville, Spain",fxsam
"""been""","Laguna Beach, CA, USA",fxsam
"""been""","Granada, Spain",fxsam
"""want""","Isla Verde, Puerto Rico",fxsam
"""been""","Brighton, UK",fxsam
"""been""","Mendocino, CA, USA",fxsam
