tag,place,user
"""been""","Southampton, NY, USA",g8trman
"""been""","Wichita, KS, USA",g8trman
"""been""","Lake Worth, FL, USA",g8trman
"""been""","Nashville, TN, USA",g8trman
"""been""","Lakeland, FL, USA",g8trman
"""been""","San Juan, Puerto Rico",g8trman
"""been""","Palm Beach, FL, USA",g8trman
"""been""","Greenville, SC, USA",g8trman
"""been""","Longwood, FL, USA",g8trman
"""been""","Casselberry, FL, USA",g8trman
"""been""","Frisco, TX, USA",g8trman
"""been""","Atlanta, GA, USA",g8trman
"""been""","Kenner, LA, USA",g8trman
"""been""","Pomona, NY, USA",g8trman
"""been""","Cambridge, MA, USA",g8trman
"""been""","Jericho, NY, USA",g8trman
"""been""","Asbury Park, NJ, USA",g8trman
"""been""","Goddard, KS, USA",g8trman
"""been""","Jacksonville, FL, USA",g8trman
"""been""","Santa Monica, CA, USA",g8trman
"""been""","Fort Worth, TX, USA",g8trman
"""been""","Westminster, CO, USA",g8trman
"""been""","Alpharetta, GA, USA",g8trman
"""been""","Palm Beach Shores, FL, USA",g8trman
"""been""","Maitland, FL, USA",g8trman
"""been""","Macon, GA, USA",g8trman
"""been""","Forio, Italy",g8trman
"""been""","Irving, TX, USA",g8trman
"""been""","Waukesha, WI, USA",g8trman
"""been""","New York City, NY, USA",g8trman
"""been""","East Elmhurst, NY, USA",g8trman
"""been""","Long Beach, CA, USA",g8trman
"""been""","Sausalito, CA, USA",g8trman
"""been""","Huntsville, AL, USA",g8trman
"""been""","Coral Gables, FL, USA",g8trman
"""been""","Phoenix, AZ, USA",g8trman
"""been""","Philipsburg, St Martin \u002F St Maarten",g8trman
"""been""","Austin, TX, USA",g8trman
"""been""","New Haven, CT, USA",g8trman
"""been""","Waterville, ME, USA",g8trman
"""been""","Portland, ME, USA",g8trman
"""been""","San Antonio, TX, USA",g8trman
"""been""","San Francisco, CA, USA",g8trman
"""been""","Sea Bright, NJ, USA",g8trman
"""been""","Vero Beach, FL, USA",g8trman
"""been""","Linthicum Heights, MD, USA",g8trman
"""been""","Lebanon, MO, USA",g8trman
"""been""","Philadelphia, PA, USA",g8trman
"""been""","Saint Louis, MO, USA",g8trman
"""been""","Alcoa, TN, USA",g8trman
"""been""","Los Angeles, CA, USA",g8trman
"""been""","Hiawassee, GA, USA",g8trman
"""been""","Merritt Island, FL, USA",g8trman
"""been""","Pinecrest, FL, USA",g8trman
"""been""","Miami, FL, USA",g8trman
"""been""","Miami Beach, FL, USA",g8trman
"""been""","Port Jefferson, NY, USA",g8trman
"""been""","Las Vegas, NV, USA",g8trman
"""been""","Charlotte Amalie, U.S. Virgin Islands",g8trman
"""been""","Newark, NJ, USA",g8trman
"""been""","Tuscaloosa, AL, USA",g8trman
"""been""","Daytona Beach, FL, USA",g8trman
"""been""","Plainfield, IN, USA",g8trman
"""been""","St. Thomas, U.S. Virgin Islands",g8trman
"""been""","Ponte Vedra Beach, FL, USA",g8trman
"""been""","South Lake Tahoe, CA, USA",g8trman
"""been""","Houston, TX, USA",g8trman
"""been""","Singer Island, FL, USA",g8trman
"""been""","Lakewood, CO, USA",g8trman
"""been""","Coeur d'Alene, ID, USA",g8trman
"""been""","Eustis, FL, USA",g8trman
"""been""","Greenwood, MS, USA",g8trman
"""been""","East Setauket, NY, USA",g8trman
"""been""","East Syracuse, NY, USA",g8trman
"""been""","Cancun, Mexico",g8trman
"""been""","Deltona, FL, USA",g8trman
