tag,place,user
"""been""","Bora Bora, French Polynesia",georgiosp515
"""been""","Santa Fe, NM, USA",georgiosp515
"""been""","Sheffield, MA, USA",georgiosp515
"""been""","Vienna, Austria",georgiosp515
"""been""","Athens, Greece",georgiosp515
"""been""","Solana Beach, CA, USA",georgiosp515
"""been""","Marina del Rey, CA, USA",georgiosp515
"""been""","Encinitas, CA, USA",georgiosp515
"""been""","Malibu, CA, USA",georgiosp515
"""been""","Los Angeles, CA, USA",georgiosp515
"""been""","La Jolla, CA, USA",georgiosp515
"""been""","Waltham, MA, USA",georgiosp515
"""been""","Honolulu, HI, USA",georgiosp515
"""been""","Kahuku, HI, USA",georgiosp515
"""been""","San Diego, CA, USA",georgiosp515
"""been""","Kapolei, HI, USA",georgiosp515
"""been""","Laie, HI, USA",georgiosp515
"""been""","Las Vegas, NV, USA",georgiosp515
"""been""","Haleiwa, HI, USA",georgiosp515
"""been""","Princeton, NJ, USA",georgiosp515
