tag,place,user
"""been""","Nordhorn, Germany",gerard601
"""been""","Bonaire, Caribbean",gerard601
"""been""","Kralendijk, Bonaire",gerard601
"""been""","Palm Springs, CA, USA",gerard601
"""been""","Borne, The Netherlands",gerard601
"""been""","Redondo Beach, CA, USA",gerard601
"""been""","Kingman, AZ, USA",gerard601
"""been""","Bad Bentheim, Germany",gerard601
"""been""","Fish Hoek, South Africa",gerard601
"""been""","Paarl, South Africa",gerard601
"""been""","Sedona, AZ, USA",gerard601
"""been""","Apache Junction, AZ, USA",gerard601
"""been""","Badhoevedorp, The Netherlands",gerard601
"""been""","Kalk Bay, South Africa",gerard601
"""been""","Amsterdam, The Netherlands",gerard601
"""been""","Hermanus, South Africa",gerard601
"""been""","Wernigerode, Germany",gerard601
