tag,place,user
"""been"",""want""","San Diego, CA, USA",getgoingCanada
"""been""","Cranbrook, British Columbia, Canada",getgoingCanada
"""want""","Varadero, Cuba",getgoingCanada
"""want""","Cincinnati, OH, USA",getgoingCanada
"""been""","Bloomington, IN, USA",getgoingCanada
"""been""","La Mesa, CA, USA",getgoingCanada
"""want""","Los Angeles, CA, USA",getgoingCanada
"""want""","San Francisco, CA, USA",getgoingCanada
"""been""","Pescadero, CA, USA",getgoingCanada
"""been""","Dana Point, CA, USA",getgoingCanada
"""been""","Hudson, WI, USA",getgoingCanada
"""want""","Portland, OR, USA",getgoingCanada
"""want""","West Palm Beach, FL, USA",getgoingCanada
"""been"",""want""","Whitehorse, Yukon, Canada",getgoingCanada
"""been""","Cape Canaveral, FL, USA",getgoingCanada
"""been""","Tulum, Mexico",getgoingCanada
"""been""","Calgary, Alberta, Canada",getgoingCanada
"""been""","Edmonton, Alberta, Canada",getgoingCanada
"""been""","Avalon, CA, USA",getgoingCanada
"""been""","Hague, Saskatchewan, Canada",getgoingCanada
"""been""","Palm Desert, CA, USA",getgoingCanada
"""been""","Medford, OR, USA",getgoingCanada
"""been""","Half Moon Bay, CA, USA",getgoingCanada
"""been""","Julian, CA, USA",getgoingCanada
"""been""","Riomaggiore, Italy",getgoingCanada
"""been"",""want""","Doha, Qatar",getgoingCanada
"""been""","Salem, OR, USA",getgoingCanada
"""been""","London, UK",getgoingCanada
"""been""","Saskatoon, Saskatchewan, Canada",getgoingCanada
"""been""","Istanbul, Turkey",getgoingCanada
"""been""","Thermal, CA, USA",getgoingCanada
