tag,place,user
"""been""","Oronoco, MN, USA",greenwalleye
"""been""","Santa Monica, CA, USA",greenwalleye
"""been""","Edina, MN, USA",greenwalleye
"""been""","Manitowoc, WI, USA",greenwalleye
"""been""","Atlanta, GA, USA",greenwalleye
"""been""","London, UK",greenwalleye
"""been""","Chino, CA, USA",greenwalleye
"""been""","Chino Hills, CA, USA",greenwalleye
"""been""","Palm Springs, CA, USA",greenwalleye
"""been""","Saint Charles, MN, USA",greenwalleye
"""been""","Loveland, CO, USA",greenwalleye
"""been""","Tacoma, WA, USA",greenwalleye
"""been""","Des Moines, IA, USA",greenwalleye
"""been""","Marina del Rey, CA, USA",greenwalleye
"""been""","Minneapolis, MN, USA",greenwalleye
"""been""","Rochester, MN, USA",greenwalleye
"""been""","Lanesboro, MN, USA",greenwalleye
"""been""","Sioux Center, IA, USA",greenwalleye
"""been""","Mantorville, MN, USA",greenwalleye
"""been""","Le Mars, IA, USA",greenwalleye
"""been""","Harmony, MN, USA",greenwalleye
"""been""","Two Rivers, WI, USA",greenwalleye
"""been""","Asheville, NC, USA",greenwalleye
"""been""","Manhattan Beach, CA, USA",greenwalleye
"""been""","Los Angeles, CA, USA",greenwalleye
"""been""","Dunwoody, GA, USA",greenwalleye
"""been""","Sioux Falls, SD, USA",greenwalleye
