tag,place,user
"""been""","Edgartown, MA, USA",hlev
"""been""","Provincetown, MA, USA",hlev
"""been""","Milford Sound, New Zealand",hlev
"""been""","Sydney, Australia",hlev
"""been""","London, UK",hlev
"""been""","Placencia, Belize",hlev
"""been""","Brisbane, Australia",hlev
"""been""","Te Anau, New Zealand",hlev
"""been""","Marsh Harbour, Bahamas",hlev
"""been""","Procida, Italy",hlev
"""been""","Newport, RI, USA",hlev
"""been""","Paris, France",hlev
"""been""","Naples, Italy",hlev
"""been""","Lugano, Switzerland",hlev
"""been""","Gorham, NH, USA",hlev
"""been""","Amalfi, Italy",hlev
"""been""","Hyannis, MA, USA",hlev
"""been""","Lexington, MA, USA",hlev
"""been""","Rotorua, New Zealand",hlev
"""been""","Dana Point, CA, USA",hlev
"""been""","Jaffa, Israel",hlev
"""been""","Norfolk, VA, USA",hlev
"""been""","Auckland, New Zealand",hlev
"""been""","Los Angeles, CA, USA",hlev
"""been""","Jerusalem, Israel",hlev
"""been""","Tel Aviv, Israel",hlev
"""been""","Glen, NH, USA",hlev
"""been""","Conway, NH, USA",hlev
"""been""","Swanage, UK",hlev
"""been""","York, UK",hlev
"""been""","Lausanne, Switzerland",hlev
"""been""","Orlando, FL, USA",hlev
"""been""","Brooklyn, NY, USA",hlev
"""been""","Sainte-Honorine-des-Pertes, France",hlev
"""been""","Boston, MA, USA",hlev
"""been""","New York City, NY, USA",hlev
"""been""","Wareham, MA, USA",hlev
