tag,place,user
"""want""","Berlin, Germany",iTami75
"""want""","Singapore, Singapore",iTami75
"""been"",""fave""","Miami, FL, USA",iTami75
"""want""","Nuku'alofa, Tonga",iTami75
"""been"",""want""","Miami Beach, FL, USA",iTami75
"""been""","Seville, Spain",iTami75
"""want""","Chicago, IL, USA",iTami75
"""been""","Torremolinos, Spain",iTami75
"""been""","Granada, Spain",iTami75
"""want""","Rio de Janeiro, Brazil",iTami75
"""been""","Zermatt, Switzerland",iTami75
"""been""","Vienna, Austria",iTami75
"""been""","Val Thorens, France",iTami75
"""want""","Melbourne, Australia",iTami75
"""want""","Havana, Cuba",iTami75
"""want""","Sydney, Australia",iTami75
"""want""","Buenos Aires, Argentina",iTami75
"""want""","Auckland Central, New Zealand",iTami75
"""been"",""fave""","Newport Beach, CA, USA",iTami75
"""been""","Marbella, Spain",iTami75
"""been""","Vyborg, Russia",iTami75
"""been""","Malaga, Spain",iTami75
"""been""","Long Beach, CA, USA",iTami75
"""been""","Napa, CA, USA",iTami75
"""been""","Hurghada, Egypt",iTami75
"""been""","Stockholm, Sweden",iTami75
"""been"",""fave""","Levi, Finland",iTami75
"""been""","Cordoba, Spain",iTami75
"""been""","Puerto Del Carmen, Spain",iTami75
"""been"",""fave""","Rome, Italy",iTami75
"""been""","Jersey City, NJ, USA",iTami75
"""been""","Val d'Isere, France",iTami75
"""been"",""fave""","Las Vegas, NV, USA",iTami75
"""been""","Anaheim, CA, USA",iTami75
"""been""","Akumal, Mexico",iTami75
"""been""","Los Angeles, CA, USA",iTami75
"""been""","London, UK",iTami75
"""been""","Sharm El Sheikh, Egypt",iTami75
"""been""","Marsa Alam, Egypt",iTami75
"""been""","Kittila, Finland",iTami75
"""been""","Calangute, India",iTami75
"""been""","Brooklyn, NY, USA",iTami75
"""been""","Rhodes Town, Greece",iTami75
"""been""","Faliraki, Greece",iTami75
"""been""","Death Valley Junction, CA, USA",iTami75
"""been""","West Hollywood, CA, USA",iTami75
"""been""","Antalya, Turkey",iTami75
"""been""","Belek, Turkey",iTami75
"""been""","Alanya, Turkey",iTami75
"""been""","Valletta, Malta",iTami75
"""been"",""fave""","Dubai, United Arab Emirates",iTami75
"""been""","Frankfurt, Germany",iTami75
"""want""","Sliema, Malta",iTami75
"""been""","Side, Turkey",iTami75
"""been""","Newark, NJ, USA",iTami75
"""been""","Verbier, Switzerland",iTami75
"""been""","San Francisco, CA, USA",iTami75
"""been""","Innsbruck, Austria",iTami75
"""been""","Playa de las Americas, Spain",iTami75
"""been""","Benalmadena, Spain",iTami75
"""been""","Playa del Ingles, Spain",iTami75
"""want""","Port Louis, Africa",iTami75
"""want""","Mauritius, Africa",iTami75
"""been""","Mikkeli, Finland",iTami75
"""been""","Icmeler, Turkey",iTami75
"""want""","Nusa Dua, Indonesia",iTami75
"""been""","Malibu, CA, USA",iTami75
"""been"",""fave""","Grand Canyon National Park, AZ, USA",iTami75
"""want""","Orlando, FL, USA",iTami75
"""been""","Ventura, CA, USA",iTami75
"""been""","Monterey, CA, USA",iTami75
"""been""","Geneva, Switzerland",iTami75
"""been""","Santa Cruz de Tenerife, Spain",iTami75
"""been""","Alicante, Spain",iTami75
"""been""","Puerto de la Cruz, Spain",iTami75
"""been""","New York City, NY, USA",iTami75
"""been""","Boca Raton, FL, USA",iTami75
"""been""","Marmaris, Turkey",iTami75
"""want""","Ho Chi Minh City, Vietnam",iTami75
"""been""","Umea, Sweden",iTami75
"""been"",""want""","Lahti, Finland",iTami75
"""been"",""want""","Phuket, Thailand",iTami75
"""want""","Hong Kong, China",iTami75
"""been""","Laguna Beach, CA, USA",iTami75
"""want""","Suva, Fiji",iTami75
"""been""","Helsinki, Finland",iTami75
"""been""","Tenerife, Spain",iTami75
"""been""","Riga, Latvia",iTami75
"""been""","Gibraltar, Europe",iTami75
"""been""","Palm Springs, CA, USA",iTami75
"""want""","Venice, Italy",iTami75
"""been""","Utsjoki, Finland",iTami75
"""been""","San Jose, CA, USA",iTami75
"""been""","Lakselv, Norway",iTami75
"""been""","Bangkok, Thailand",iTami75
"""want""","Sapporo, Japan",iTami75
"""been""","Sunny Beach, Bulgaria",iTami75
"""want""","South Pole, Antarctica",iTami75
"""been""","Kuusamo, Finland",iTami75
"""been""","Cancun, Mexico",iTami75
"""been""","La Jolla, CA, USA",iTami75
"""want""","Cozumel, Mexico",iTami75
"""want""","Osaka, Japan",iTami75
"""been""","Koli, Finland",iTami75
"""been""","Salla, Finland",iTami75
"""want""","Paris, France",iTami75
"""been""","Huntington Beach, CA, USA",iTami75
"""been""","Barstow, CA, USA",iTami75
"""been""","Zurich, Switzerland",iTami75
"""been""","Khao Lak, Thailand",iTami75
"""been""","Tallinn, Estonia",iTami75
"""been""","Pyhatunturi, Finland",iTami75
"""been""","Chamonix, France",iTami75
"""want""","Honolulu, HI, USA",iTami75
"""want""","Holguin, Cuba",iTami75
"""been""","Ayia Napa, Cyprus",iTami75
"""been""","Kata Beach, Thailand",iTami75
"""been""","Santa Monica, CA, USA",iTami75
"""been""","Tijuana, Mexico",iTami75
"""been""","Playa del Carmen, Mexico",iTami75
"""been""","Tulum, Mexico",iTami75
"""been"",""fave""","Male, Asia",iTami75
"""want""","Manila, Philippines",iTami75
"""been""","Fuengirola, Spain",iTami75
"""want""","Lima, Peru",iTami75
"""been""","Muir Beach, CA, USA",iTami75
"""been"",""fave""","Ischgl, Austria",iTami75
"""been""","Pebble Beach, CA, USA",iTami75
"""been""","Morro Bay, CA, USA",iTami75
"""been""","Rasdhoo, Asia",iTami75
"""been""","Barcelona, Spain",iTami75
"""want""","Monte-Carlo, Monaco",iTami75
"""been"",""fave""","San Diego, CA, USA",iTami75
"""been""","Beverly Hills, CA, USA",iTami75
"""been""","Mahibadhoo Island, Asia",iTami75
"""been""","Big Sur, CA, USA",iTami75
"""been""","Laguna Niguel, CA, USA",iTami75
"""been""","Santa Cruz, CA, USA",iTami75
"""been""","Harmony, CA, USA",iTami75
"""been""","Saariselka, Finland",iTami75
"""want""","Santiago, Chile",iTami75
"""been""","Santa Barbara, CA, USA",iTami75
"""been""","Istanbul, Turkey",iTami75
"""been""","Benidorm, Spain",iTami75
"""been""","Patong, Thailand",iTami75
"""want""","Nagoya, Japan",iTami75
