tag,place,user
"""been""","Paris, France",jb552
"""been""","Manhattan Beach, CA, USA",jb552
"""been""","Charlotte, NC, USA",jb552
"""been""","Riverside, CA, USA",jb552
"""been""","Rome, Italy",jb552
"""been""","West Hollywood, CA, USA",jb552
"""been""","Simpson Bay, St Martin \u002F St Maarten",jb552
"""been""","Beverly Hills, CA, USA",jb552
"""been""","Los Angeles, CA, USA",jb552
"""been""","Laguna Beach, CA, USA",jb552
"""been""","El Segundo, CA, USA",jb552
"""been""","London, UK",jb552
"""been""","Newport Beach, CA, USA",jb552
