tag,place,user
"""been""","Kihei, HI, USA",jeannecass
"""been""","Lahaina, HI, USA",jeannecass
"""been""","San Diego, CA, USA",jeannecass
"""been""","Salem, OR, USA",jeannecass
"""been""","Paia, HI, USA",jeannecass
"""been""","Chelan, WA, USA",jeannecass
"""been""","Bend, OR, USA",jeannecass
"""been""","Scotts Mills, OR, USA",jeannecass
"""been""","Keizer, OR, USA",jeannecass
"""been""","Steamboat Springs, CO, USA",jeannecass
"""been""","Mojave, CA, USA",jeannecass
"""been""","Chiriaco Summit, CA, USA",jeannecass
"""been""","John Day, OR, USA",jeannecass
"""been""","Colorado Springs, CO, USA",jeannecass
"""been""","Eureka Springs, AR, USA",jeannecass
"""been""","Cedar City, UT, USA",jeannecass
"""been""","Boulder City, NV, USA",jeannecass
"""been""","Wailea, HI, USA",jeannecass
"""been""","Leavenworth, WA, USA",jeannecass
"""been""","Traverse City, MI, USA",jeannecass
"""been""","Turner, OR, USA",jeannecass
"""been""","St. George, UT, USA",jeannecass
"""been""","Tucumcari, NM, USA",jeannecass
"""been""","Haleakala National Park, HI, USA",jeannecass
"""been""","Silverton, OR, USA",jeannecass
"""been""","Visalia, CA, USA",jeannecass
"""been""","Fruita, CO, USA",jeannecass
"""been""","Middlebury, IN, USA",jeannecass
"""been""","Aurora, OR, USA",jeannecass
"""been""","Covington, IN, USA",jeannecass
"""been""","Council Bluffs, IA, USA",jeannecass
"""been""","Brooks, OR, USA",jeannecass
"""been""","Albuquerque, NM, USA",jeannecass
"""been""","Tulare, CA, USA",jeannecass
"""been""","North Platte, NE, USA",jeannecass
"""been""","Sisters, OR, USA",jeannecass
"""been""","Canyon, TX, USA",jeannecass
"""been""","Central Lake, MI, USA",jeannecass
"""been""","Azalea, OR, USA",jeannecass
"""been""","Lincoln City, OR, USA",jeannecass
"""been""","Des Moines, IA, USA",jeannecass
"""been""","Madisonville, KY, USA",jeannecass
"""been""","Coeur d'Alene, ID, USA",jeannecass
"""been""","Sublimity, OR, USA",jeannecass
"""been""","Irvine, CA, USA",jeannecass
"""been""","Grand Canyon National Park, AZ, USA",jeannecass
"""been""","Hermosa Beach, CA, USA",jeannecass
"""been""","Torrance, CA, USA",jeannecass
"""been""","Madras, OR, USA",jeannecass
"""been""","Taos, NM, USA",jeannecass
"""been""","Dayton, OR, USA",jeannecass
"""been""","Dallas, OR, USA",jeannecass
"""been""","Oregon City, OR, USA",jeannecass
"""been""","Las Vegas, NV, USA",jeannecass
"""been""","Sonoma, CA, USA",jeannecass
"""been""","Los Angeles, CA, USA",jeannecass
"""been""","Anderson, CA, USA",jeannecass
"""been""","Angels Camp, CA, USA",jeannecass
"""been""","The Dalles, OR, USA",jeannecass
"""been""","Tucson, AZ, USA",jeannecass
"""been""","Eureka, CA, USA",jeannecass
"""been""","Marana, AZ, USA",jeannecass
"""been""","Danville, IL, USA",jeannecass
"""been""","Yermo, CA, USA",jeannecass
"""been""","Murphys, CA, USA",jeannecass
"""been""","Harrison, ID, USA",jeannecass
"""been""","Canmore, Alberta, Canada",jeannecass
"""been""","Santa Fe, NM, USA",jeannecass
"""been""","Osoyoos, British Columbia, Canada",jeannecass
"""been""","Tigard, OR, USA",jeannecass
"""been""","Zion National Park, UT, USA",jeannecass
"""been""","Medford, OR, USA",jeannecass
"""been""","McMinnville, OR, USA",jeannecass
"""been""","Red River, NM, USA",jeannecass
"""been""","Shipshewana, IN, USA",jeannecass
"""been""","Portland, OR, USA",jeannecass
"""been""","East Jordan, MI, USA",jeannecass
"""been""","Albany, OR, USA",jeannecass
"""been""","Wilsonville, OR, USA",jeannecass
"""been""","Kanab, UT, USA",jeannecass
"""been""","Windsor, CA, USA",jeannecass
"""been""","Central City, KY, USA",jeannecass
"""been""","Molalla, OR, USA",jeannecass
"""been""","Monmouth, OR, USA",jeannecass
"""been""","Pueblo, CO, USA",jeannecass
"""been""","Santa Rosa, NM, USA",jeannecass
"""been""","Saint Ignace, MI, USA",jeannecass
"""been""","Woodburn, OR, USA",jeannecass
"""been""","Hildale, UT, USA",jeannecass
"""been""","Groom, TX, USA",jeannecass
"""been""","Kennewick, WA, USA",jeannecass
"""been""","Amarillo, TX, USA",jeannecass
"""been""","Redmond, OR, USA",jeannecass
"""been""","Gold Bar, WA, USA",jeannecass
"""been""","Prineville, OR, USA",jeannecass
"""been""","Falls City, OR, USA",jeannecass
"""been""","Orondo, WA, USA",jeannecass
"""been""","Kingman, AZ, USA",jeannecass
"""been""","Waterville, WA, USA",jeannecass
"""been""","Branson, MO, USA",jeannecass
"""been""","San Leandro, CA, USA",jeannecass
"""been""","San Juan Capistrano, CA, USA",jeannecass
"""been""","Cashmere, WA, USA",jeannecass
"""been""","Newberg, OR, USA",jeannecass
"""been""","Lake Ann, MI, USA",jeannecass
"""been""","Oroville, WA, USA",jeannecass
"""been""","Gaston, OR, USA",jeannecass
"""been""","Point Lookout, MO, USA",jeannecass
"""been""","Independence, OR, USA",jeannecass
"""been""","La Jolla, CA, USA",jeannecass
"""been""","Banff, Alberta, Canada",jeannecass
"""been""","Banff National Park, Alberta, Canada",jeannecass
