tag,place,user
"""been""","Utrecht, The Netherlands",jessicabH5954MF
"""been""","Los Angeles, CA, USA",jessicabH5954MF
"""been""","La Jolla, CA, USA",jessicabH5954MF
"""been""","Kuta, Indonesia",jessicabH5954MF
"""been""","Lille, France",jessicabH5954MF
"""been""","Ieper (Ypres), Belgium",jessicabH5954MF
"""been""","Semarang, Indonesia",jessicabH5954MF
"""been""","Ubud, Indonesia",jessicabH5954MF
"""been""","Paraza, France",jessicabH5954MF
"""been""","Beziers, France",jessicabH5954MF
"""been""","La Roche-sur-Yon, France",jessicabH5954MF
"""been""","Trebes, France",jessicabH5954MF
"""been""","San Diego, CA, USA",jessicabH5954MF
"""been""","Porto, Portugal",jessicabH5954MF
