tag,place,user
"""been""","London, UK",jessjoyt
"""been""","Stroudsburg, PA, USA",jessjoyt
"""been""","Madrid, Spain",jessjoyt
"""been""","Cape May, NJ, USA",jessjoyt
"""been""","Chicago, IL, USA",jessjoyt
"""been""","Ashland, OH, USA",jessjoyt
"""been""","Dubai, United Arab Emirates",jessjoyt
"""been""","Roatan, Honduras",jessjoyt
"""been""","St. John, U.S. Virgin Islands",jessjoyt
"""been""","New York City, NY, USA",jessjoyt
"""been""","Philadelphia, PA, USA",jessjoyt
"""been""","St. Thomas, U.S. Virgin Islands",jessjoyt
"""been""","Rome, Italy",jessjoyt
"""been""","Los Angeles, CA, USA",jessjoyt
"""been""","La Jolla, CA, USA",jessjoyt
"""been""","West Palm Beach, FL, USA",jessjoyt
"""been""","Portland, ME, USA",jessjoyt
"""been""","Kochi (Cochin), India",jessjoyt
"""been""","Dallas, TX, USA",jessjoyt
"""been""","San Juan, Puerto Rico",jessjoyt
"""been""","Paris, France",jessjoyt
"""been""","Santa Barbara, CA, USA",jessjoyt
