tag,place,user
"""been""","Penkridge, UK",jillf562
"""been""","Atherstone, UK",jillf562
"""been""","Ashbourne, UK",jillf562
"""been""","Beaconsfield, UK",jillf562
"""been""","Los Angeles, CA, USA",jillf562
"""been""","Hayes, UK",jillf562
"""been""","Stafford, UK",jillf562
"""been""","Malibu, CA, USA",jillf562
"""been""","The Royal Town of Sutton Coldfield, UK",jillf562
"""been""","Birmingham, UK",jillf562
"""been""","Dover, UK",jillf562
"""been""","Warwick, UK",jillf562
"""been""","Copenhagen, Denmark",jillf562
"""been""","Knowle, UK",jillf562
