tag,place,user
"""been""","Kissimmee, FL, USA",jkrejcir
"""been""","Prague, Czech Republic",jkrejcir
"""been""","Paris, France",jkrejcir
"""been""","Stockholm, Sweden",jkrejcir
"""been""","Fort Lauderdale, FL, USA",jkrejcir
"""been""","Barcelona, Spain",jkrejcir
"""been""","Los Angeles, CA, USA",jkrejcir
"""been""","Miami Beach, FL, USA",jkrejcir
"""been""","Long Beach, CA, USA",jkrejcir
"""been""","San Pedro, Belize",jkrejcir
"""been""","Tikal National Park, Guatemala",jkrejcir
"""been""","Spindleruv Mlyn, Czech Republic",jkrejcir
"""been""","Tulum, Mexico",jkrejcir
"""been""","Isola di Favignana, Italy",jkrejcir
"""been""","Belize City, Belize",jkrejcir
"""been""","Palermo, Italy",jkrejcir
"""been""","Hopkins, Belize",jkrejcir
"""been""","Sant Boi de Llobregat, Spain",jkrejcir
