tag,place,user
"""been""","Dallas, TX, USA",jliu3
"""been""","Houston, TX, USA",jliu3
"""been""","Honolulu, HI, USA",jliu3
"""been""","Boston, MA, USA",jliu3
"""been""","Leonia, NJ, USA",jliu3
"""been""","Tokyo, Japan",jliu3
"""been""","Hilo, HI, USA",jliu3
"""been""","Arlandastad, Sweden",jliu3
"""been""","Istanbul, Turkey",jliu3
"""want""","Marrakech, Morocco",jliu3
"""been""","Ibiza Town, Spain",jliu3
"""want""","Rome, Italy",jliu3
"""been""","Koror, Palau",jliu3
"""been""","Jersey City, NJ, USA",jliu3
"""been""","San Diego, CA, USA",jliu3
"""been""","Hagatna, Mariana Islands",jliu3
"""been""","Kailua-Kona, HI, USA",jliu3
"""been""","Philadelphia, PA, USA",jliu3
"""been""","Rota, Mariana Islands",jliu3
"""been""","Stockholm, Sweden",jliu3
"""been""","Tamuning, Mariana Islands",jliu3
"""want""","Venice, Italy",jliu3
"""been""","Ho Chi Minh City, Vietnam",jliu3
"""been""","Marbella, Spain",jliu3
"""been""","Madrid, Spain",jliu3
"""been""","Malaga, Spain",jliu3
"""been""","Ayia Napa, Cyprus",jliu3
"""been""","Lansdale, PA, USA",jliu3
"""been""","Dubai, United Arab Emirates",jliu3
"""been""","Long Island City, NY, USA",jliu3
"""been""","Hanoi, Vietnam",jliu3
"""been"",""fave""","Ibiza, Spain",jliu3
"""been""","Kyoto, Japan",jliu3
"""been"",""want""","Miami, FL, USA",jliu3
"""been""","Miami Beach, FL, USA",jliu3
"""been""","Bath, UK",jliu3
"""been""","Kuwait City, Kuwait",jliu3
"""been"",""want""","New York City, NY, USA",jliu3
"""been"",""fave""","Paris, France",jliu3
"""been"",""fave""","London, UK",jliu3
"""been""","Taichung, Taiwan",jliu3
"""been""","Souderton, PA, USA",jliu3
"""been""","Manama, Bahrain",jliu3
"""been""","Los Angeles, CA, USA",jliu3
"""want""","Ulaanbaatar, Mongolia",jliu3
"""been""","Tainan, Taiwan",jliu3
"""been"",""want"",""fave""","Taipei, Taiwan",jliu3
"""been""","Palm Desert, CA, USA",jliu3
"""want""","Cancun, Mexico",jliu3
"""been""","Inarajan, Mariana Islands",jliu3
"""been""","Barcelona, Spain",jliu3
"""been""","Kaohsiung, Taiwan",jliu3
"""been""","West Hollywood, CA, USA",jliu3
"""been""","Jerusalem, Israel",jliu3
"""been"",""fave""","Tel Aviv, Israel",jliu3
"""want""","Lima, Peru",jliu3
