tag,place,user
"""been""","Manly, Australia",jodiaa
"""been""","Andorra la Vella, Andorra",jodiaa
"""been""","Puno, Peru",jodiaa
"""been""","Panama City, Panama",jodiaa
"""been""","Lyon, France",jodiaa
"""been""","Zurich, Switzerland",jodiaa
"""been""","Santa Rosa, Argentina",jodiaa
"""been""","Paris, France",jodiaa
"""been""","Leicester, UK",jodiaa
"""been""","Trujillo, Peru",jodiaa
"""been""","Cartagena, Colombia",jodiaa
"""been""","London, UK",jodiaa
"""been""","La Spezia, Italy",jodiaa
"""been""","Fira, Greece",jodiaa
"""been""","Noosa, Australia",jodiaa
"""been""","Interlaken, Switzerland",jodiaa
"""been""","La Paz, Bolivia",jodiaa
"""been""","Leon, Spain",jodiaa
"""been""","Lucerne, Switzerland",jodiaa
"""been""","Lisbon, Portugal",jodiaa
"""been""","Bogota, Colombia",jodiaa
"""been""","Barcelona, Spain",jodiaa
"""been""","Florence, Italy",jodiaa
"""been""","Ingapirca, Ecuador",jodiaa
"""been""","Salta, Argentina",jodiaa
"""been""","Chiclayo, Peru",jodiaa
"""been""","Pisa, Italy",jodiaa
"""been""","Dublin, Ireland",jodiaa
"""been""","Santa Monica, CA, USA",jodiaa
"""been""","Bern, Switzerland",jodiaa
"""been""","Brighton, UK",jodiaa
"""been""","Geneva, Switzerland",jodiaa
"""been""","Rethymnon, Greece",jodiaa
"""been""","Istanbul, Turkey",jodiaa
"""been""","Selcuk, Turkey",jodiaa
"""been""","Quito, Ecuador",jodiaa
"""been""","Valencia, Spain",jodiaa
"""been""","Santiago, Chile",jodiaa
"""been""","Cuenca, Ecuador",jodiaa
"""been""","Uyuni, Bolivia",jodiaa
"""been""","Hervey Bay, Australia",jodiaa
"""been""","Venice, Italy",jodiaa
"""been""","Verona, Italy",jodiaa
"""been""","Nice, France",jodiaa
"""been""","Puerto Iguazu, Argentina",jodiaa
"""been""","Damascus, Syria",jodiaa
"""been""","Salvador, Brazil",jodiaa
"""been""","Heraklion, Greece",jodiaa
"""been""","Cordoba, Argentina",jodiaa
"""been""","Alicante, Spain",jodiaa
"""been""","Bath, UK",jodiaa
"""been""","Necochea, Argentina",jodiaa
"""been""","Mooloolaba, Australia",jodiaa
"""been""","Athens, Greece",jodiaa
"""been""","Olympia, Greece",jodiaa
"""been""","Cairo, Egypt",jodiaa
"""been""","Aswan, Egypt",jodiaa
"""been""","Luxor, Egypt",jodiaa
"""been""","Giza, Egypt",jodiaa
"""been""","Bangkok, Thailand",jodiaa
"""been""","Chiang Mai, Thailand",jodiaa
"""been""","Airlie Beach, Australia",jodiaa
"""been""","Rouen, France",jodiaa
"""been""","Buenos Aires, Argentina",jodiaa
"""been""","Thessaloniki, Greece",jodiaa
"""been""","Mar del Plata, Argentina",jodiaa
"""been""","Bilbao, Spain",jodiaa
"""been""","Toowoomba, Australia",jodiaa
"""been""","Darwin, Australia",jodiaa
"""been""","Lagos, Portugal",jodiaa
"""been""","San Sebastian - Donostia, Spain",jodiaa
"""been""","Cusco, Peru",jodiaa
"""been""","Dahab, Egypt",jodiaa
"""been""","Melbourne, Australia",jodiaa
"""been""","Brisbane, Australia",jodiaa
"""been""","Machu Picchu, Peru",jodiaa
"""been""","Amman, Jordan",jodiaa
"""been""","Lima, Peru",jodiaa
"""been""","Surfers Paradise, Australia",jodiaa
"""been""","Townsville, Australia",jodiaa
"""been""","Huanchaco, Peru",jodiaa
"""been""","Granada, Spain",jodiaa
"""been""","Sucre, Bolivia",jodiaa
"""been""","Seville, Spain",jodiaa
"""been""","Nottingham, UK",jodiaa
"""been""","Potosi, Bolivia",jodiaa
"""been""","La Rochelle, France",jodiaa
"""been""","Coffs Harbour, Australia",jodiaa
"""been""","Banos, Ecuador",jodiaa
"""been""","Naxos Town, Greece",jodiaa
"""been""","Sydney, Australia",jodiaa
"""been""","Playa del Ingles, Spain",jodiaa
"""been""","Rome, Italy",jodiaa
"""been""","Salzburg, Austria",jodiaa
"""been""","Ankara, Turkey",jodiaa
"""been""","Antalya, Turkey",jodiaa
"""been""","Alanya, Turkey",jodiaa
"""been""","York, UK",jodiaa
"""been""","Bodrum City, Turkey",jodiaa
"""been""","Las Vegas, NV, USA",jodiaa
"""been""","Ko Pha Ngan, Thailand",jodiaa
"""been""","Byron Bay, Australia",jodiaa
"""been""","Rio de Janeiro, Brazil",jodiaa
"""been""","Porto, Portugal",jodiaa
