tag,place,user
"""been""","Calgary, Alberta, Canada",johngerard3
"""been""","Miami, FL, USA",johngerard3
"""want""","Washington DC, DC, USA",johngerard3
"""been""","Los Angeles, CA, USA",johngerard3
"""been""","Edmonton, Alberta, Canada",johngerard3
"""been""","Chicago, IL, USA",johngerard3
"""been""","Toronto, Ontario, Canada",johngerard3
"""been""","Niagara Falls, Ontario, Canada",johngerard3
"""been""","Cebu City, Philippines",johngerard3
"""been""","Hinton, Alberta, Canada",johngerard3
"""been""","New York City, NY, USA",johngerard3
"""been""","Boracay, Philippines",johngerard3
"""been""","Coronado, CA, USA",johngerard3
"""been""","Iloilo City, Philippines",johngerard3
"""been""","Tinton Falls, NJ, USA",johngerard3
"""been""","San Diego, CA, USA",johngerard3
"""been""","National City, CA, USA",johngerard3
