tag,place,user
"""been""","Adelaide, Australia",johnhN5574ZN
"""been""","Bicheno, Australia",johnhN5574ZN
"""been""","Whitsunday Island, Australia",johnhN5574ZN
"""been""","Roma, Australia",johnhN5574ZN
"""been""","Niagara Falls, Ontario, Canada",johnhN5574ZN
"""been""","Hong Kong, China",johnhN5574ZN
"""been""","Palm Desert, CA, USA",johnhN5574ZN
"""been""","Palm Springs, CA, USA",johnhN5574ZN
"""been""","Port Augusta, Australia",johnhN5574ZN
"""been""","Port Macquarie, Australia",johnhN5574ZN
"""been""","Newcastle, Australia",johnhN5574ZN
"""been""","New York City, NY, USA",johnhN5574ZN
"""been""","Shanghai, China",johnhN5574ZN
"""been""","Dubai, United Arab Emirates",johnhN5574ZN
"""been""","Beijing, China",johnhN5574ZN
"""been""","Queenstown, New Zealand",johnhN5574ZN
"""been""","Bondi, Australia",johnhN5574ZN
"""been""","Waikoloa, HI, USA",johnhN5574ZN
"""been""","Santa Monica, CA, USA",johnhN5574ZN
"""been""","Hamilton Island, Australia",johnhN5574ZN
"""been""","Yamba, Australia",johnhN5574ZN
"""been""","Toronto, Ontario, Canada",johnhN5574ZN
"""been""","Luxor, Egypt",johnhN5574ZN
"""been""","Miles, Australia",johnhN5574ZN
"""been""","Barcaldine, Australia",johnhN5574ZN
"""been""","Malibu, CA, USA",johnhN5574ZN
"""been""","Swansea, Australia",johnhN5574ZN
"""been""","Washington DC, DC, USA",johnhN5574ZN
"""been""","Devonport, Australia",johnhN5574ZN
"""been""","Broken Hill, Australia",johnhN5574ZN
"""been""","Philadelphia, PA, USA",johnhN5574ZN
"""been""","Ballina, Australia",johnhN5574ZN
"""been""","Dunedin, New Zealand",johnhN5574ZN
"""been""","Wellington, New Zealand",johnhN5574ZN
"""been""","Aswan, Egypt",johnhN5574ZN
"""been""","Giza, Egypt",johnhN5574ZN
"""been""","Townsville, Australia",johnhN5574ZN
"""been""","Rockhampton, Australia",johnhN5574ZN
"""been""","Pittsburgh, PA, USA",johnhN5574ZN
"""been""","Longreach, Australia",johnhN5574ZN
"""been""","Hilo, HI, USA",johnhN5574ZN
"""been""","Honolulu, HI, USA",johnhN5574ZN
"""been""","Perth, Australia",johnhN5574ZN
"""been""","Brisbane, Australia",johnhN5574ZN
"""want""","Boston, MA, USA",johnhN5574ZN
"""been""","Cairns, Australia",johnhN5574ZN
"""been""","Launceston, Australia",johnhN5574ZN
"""been""","Melbourne, Australia",johnhN5574ZN
"""been""","Auckland, New Zealand",johnhN5574ZN
"""been""","Brooklyn, NY, USA",johnhN5574ZN
"""been""","Los Angeles, CA, USA",johnhN5574ZN
"""been""","Mackay, Australia",johnhN5574ZN
"""been""","Canberra, Australia",johnhN5574ZN
"""been""","Baltimore, MD, USA",johnhN5574ZN
"""been""","Singapore, Singapore",johnhN5574ZN
"""been""","Hobart, Australia",johnhN5574ZN
"""been""","Whangarei, New Zealand",johnhN5574ZN
