tag,place,user
"""been""","Solon, OH, USA",joyceTL4
"""been""","Galveston, TX, USA",joyceTL4
"""been""","Mystic, CT, USA",joyceTL4
"""been""","Bar Harbor, ME, USA",joyceTL4
"""been""","Franconia, NH, USA",joyceTL4
"""been""","Elkins, WV, USA",joyceTL4
"""been""","Balboa Island, CA, USA",joyceTL4
"""been""","Kennett Square, PA, USA",joyceTL4
"""been""","Juneau, AK, USA",joyceTL4
"""been""","Frankfort, KY, USA",joyceTL4
"""been""","Mohnton, PA, USA",joyceTL4
"""been""","Stowe, VT, USA",joyceTL4
"""been""","Punxsutawney, PA, USA",joyceTL4
"""been"",""fave""","Assisi, Italy",joyceTL4
"""been""","San Antonio, TX, USA",joyceTL4
"""been""","Sturgeon Bay, WI, USA",joyceTL4
"""been"",""fave""","Gettysburg, PA, USA",joyceTL4
"""been""","San Francisco, CA, USA",joyceTL4
"""been""","Mifflinburg, PA, USA",joyceTL4
"""been""","Philadelphia, PA, USA",joyceTL4
"""been""","Tucson, AZ, USA",joyceTL4
"""been""","Las Vegas, NV, USA",joyceTL4
"""been""","Baileys Harbor, WI, USA",joyceTL4
"""been""","Hershey, PA, USA",joyceTL4
"""been""","Kleinfeltersville, PA, USA",joyceTL4
"""been""","Fiumicino, Italy",joyceTL4
"""been""","Laguna Beach, CA, USA",joyceTL4
"""been""","Davis, WV, USA",joyceTL4
"""been""","Northumberland, PA, USA",joyceTL4
"""been""","Ellison Bay, WI, USA",joyceTL4
"""been""","Orlando, FL, USA",joyceTL4
"""been""","Pasadena, CA, USA",joyceTL4
"""been""","Saint Louis, MO, USA",joyceTL4
"""been""","Harpers Ferry, WV, USA",joyceTL4
"""been""","Wyomissing, PA, USA",joyceTL4
"""been""","Hector, NY, USA",joyceTL4
"""been""","Plymouth, MA, USA",joyceTL4
"""been""","Rome, Italy",joyceTL4
"""been""","San Jose, CA, USA",joyceTL4
"""been""","Kutztown, PA, USA",joyceTL4
"""been""","Reading, PA, USA",joyceTL4
"""been""","Punta Cana, Dominican Republic",joyceTL4
"""been""","State College, PA, USA",joyceTL4
"""been""","Harrisburg, PA, USA",joyceTL4
"""been""","Selinsgrove, PA, USA",joyceTL4
"""been""","Pottsville, PA, USA",joyceTL4
"""been""","Newport, RI, USA",joyceTL4
"""been""","Madison, WI, USA",joyceTL4
"""been""","Bretton Woods, NH, USA",joyceTL4
"""been""","Meredith, NH, USA",joyceTL4
"""been""","Cooperstown, NY, USA",joyceTL4
"""been"",""fave""","Amelia Island, FL, USA",joyceTL4
"""been""","Spring Green, WI, USA",joyceTL4
"""been"",""fave""","Sedona, AZ, USA",joyceTL4
"""been""","Lahaska, PA, USA",joyceTL4
"""been""","Scottsdale, AZ, USA",joyceTL4
"""been""","Ephraim, WI, USA",joyceTL4
"""been""","Winchester, KY, USA",joyceTL4
"""been""","Central Saanich, British Columbia, Canada",joyceTL4
"""been""","Fort Lauderdale, FL, USA",joyceTL4
"""been""","Paradise, PA, USA",joyceTL4
"""been""","Naples, FL, USA",joyceTL4
"""been"",""fave""","Sanibel Island, FL, USA",joyceTL4
"""been""","Charles Town, WV, USA",joyceTL4
"""been""","Washington DC, DC, USA",joyceTL4
"""been""","Strasburg, PA, USA",joyceTL4
"""been""","New Orleans, LA, USA",joyceTL4
"""been""","Boston, MA, USA",joyceTL4
"""been""","Moultonborough, NH, USA",joyceTL4
"""been""","Clarkdale, AZ, USA",joyceTL4
"""been""","Honolulu, HI, USA",joyceTL4
"""been""","Margate City, NJ, USA",joyceTL4
"""been"",""fave""","Asheville, NC, USA",joyceTL4
"""been""","Geneva, NY, USA",joyceTL4
"""been""","Lexington, KY, USA",joyceTL4
"""been""","Portsmouth, NH, USA",joyceTL4
"""been""","Hollywood, FL, USA",joyceTL4
"""been""","Glen Mills, PA, USA",joyceTL4
"""been""","Wilmington, DE, USA",joyceTL4
"""been""","Florence, Italy",joyceTL4
"""been""","Houston, TX, USA",joyceTL4
"""been""","Birdsboro, PA, USA",joyceTL4
"""been""","Wayne, PA, USA",joyceTL4
"""been""","Dallas, TX, USA",joyceTL4
"""been""","Sahuarita, AZ, USA",joyceTL4
"""been""","St. Pete Beach, FL, USA",joyceTL4
"""been""","Lancaster, PA, USA",joyceTL4
"""been""","Burton, OH, USA",joyceTL4
"""been""","Green Bay, WI, USA",joyceTL4
"""been""","Seneca Falls, NY, USA",joyceTL4
