tag,place,user
"""been""","Rome, Italy",jt93664
"""been""","Los Angeles, CA, USA",jt93664
"""been""","San Marino, CA, USA",jt93664
"""been""","Windsor, CT, USA",jt93664
"""been""","Denver, CO, USA",jt93664
"""been""","Audubon, PA, USA",jt93664
"""been""","New York City, NY, USA",jt93664
"""been""","Fairfax, VA, USA",jt93664
"""been""","Norridge, IL, USA",jt93664
"""been""","Chicago, IL, USA",jt93664
"""been""","Miami Beach, FL, USA",jt93664
"""been""","Las Vegas, NV, USA",jt93664
"""been""","Bangkok, Thailand",jt93664
"""been""","Saint Paul, MN, USA",jt93664
"""been""","Timonium, MD, USA",jt93664
"""been""","Southborough, MA, USA",jt93664
"""been""","Irving, TX, USA",jt93664
"""been""","Oxon Hill, MD, USA",jt93664
"""been""","Westborough, MA, USA",jt93664
"""been""","Venice, Italy",jt93664
"""been""","Kuala Lumpur, Malaysia",jt93664
"""been""","East Norriton, PA, USA",jt93664
"""been""","Kapolei, HI, USA",jt93664
"""been""","Singapore, Singapore",jt93664
"""been""","Scottsdale, AZ, USA",jt93664
"""been""","George Town, Malaysia",jt93664
"""been""","Long Beach, CA, USA",jt93664
"""been""","Palm Desert, CA, USA",jt93664
"""been""","Wailea, HI, USA",jt93664
"""been""","Hunt Valley, MD, USA",jt93664
"""been""","Bloomington, MN, USA",jt93664
"""been""","Mesa, AZ, USA",jt93664
"""been""","Kapaa, HI, USA",jt93664
"""been""","Aurora, CO, USA",jt93664
"""been""","East Hartford, CT, USA",jt93664
"""been""","Arcadia, CA, USA",jt93664
"""been""","Dallas, TX, USA",jt93664
"""been""","Honolulu, HI, USA",jt93664
"""been""","Houston, TX, USA",jt93664
"""been""","Rosemont, IL, USA",jt93664
"""been""","Columbus, OH, USA",jt93664
"""been""","Minneapolis, MN, USA",jt93664
"""been""","Dublin, Ireland",jt93664
"""been""","Marlborough, MA, USA",jt93664
"""been""","Seattle, WA, USA",jt93664
"""been""","Tempe, AZ, USA",jt93664
"""been""","Chantilly, VA, USA",jt93664
"""been""","Herndon, VA, USA",jt93664
"""been""","Lahaina, HI, USA",jt93664
"""been""","Kihei, HI, USA",jt93664
"""been""","Amsterdam, The Netherlands",jt93664
"""been""","Tucson, AZ, USA",jt93664
"""been""","Norristown, PA, USA",jt93664
"""been""","San Diego, CA, USA",jt93664
"""been""","Melaka, Malaysia",jt93664
"""been""","King of Prussia, PA, USA",jt93664
"""been""","London, UK",jt93664
"""been""","Reston, VA, USA",jt93664
"""been""","Paris, France",jt93664
