tag,place,user
"""been""","Las Vegas, NV, USA",julianjaramillob
"""been""","Santa Marta, Colombia",julianjaramillob
"""been""","Park City, UT, USA",julianjaramillob
"""been""","Cali, Colombia",julianjaramillob
"""been""","San Agustin, Colombia",julianjaramillob
"""been""","Pasadena, CA, USA",julianjaramillob
"""been""","Mustafapasa, Turkey",julianjaramillob
"""been""","Buga, Colombia",julianjaramillob
"""been""","San Francisco, CA, USA",julianjaramillob
"""been""","Miami, FL, USA",julianjaramillob
"""been""","Jamundi, Colombia",julianjaramillob
"""been""","Goreme, Turkey",julianjaramillob
"""been""","Cartagena, Colombia",julianjaramillob
"""been""","Pereira, Colombia",julianjaramillob
"""been""","Palomino, Colombia",julianjaramillob
"""been""","Villavieja, Colombia",julianjaramillob
