tag,place,user
"""been""","Hoi An, Vietnam",karenmW1323BX
"""been""","Ho Chi Minh City, Vietnam",karenmW1323BX
"""been""","Barmera, Australia",karenmW1323BX
"""been""","Halong Bay, Vietnam",karenmW1323BX
"""been""","Hanoi, Vietnam",karenmW1323BX
"""been""","Wisconsin Dells, WI, USA",karenmW1323BX
"""been""","Monash, Australia",karenmW1323BX
"""been""","Canberra, Australia",karenmW1323BX
"""been""","Mildura, Australia",karenmW1323BX
"""been""","Sanur, Indonesia",karenmW1323BX
"""been""","Milwaukee, WI, USA",karenmW1323BX
"""been""","Kuta, Indonesia",karenmW1323BX
"""been""","Tanunda, Australia",karenmW1323BX
"""been""","McLaren Vale, Australia",karenmW1323BX
"""been""","Port Willunga, Australia",karenmW1323BX
"""been""","Sydney, Australia",karenmW1323BX
"""been""","Victor Harbor, Australia",karenmW1323BX
"""been""","Hahndorf, Australia",karenmW1323BX
"""been""","Robe, Australia",karenmW1323BX
"""been""","Loxton, Australia",karenmW1323BX
"""been""","La Crosse, WI, USA",karenmW1323BX
"""been""","Cobdogla, Australia",karenmW1323BX
"""been""","Naracoorte, Australia",karenmW1323BX
"""been""","Las Vegas, NV, USA",karenmW1323BX
"""been""","Legian, Indonesia",karenmW1323BX
"""been""","Seminyak, Indonesia",karenmW1323BX
"""been""","Brisbane, Australia",karenmW1323BX
"""been""","Glenelg, Australia",karenmW1323BX
"""been""","Kingston on Murray, Australia",karenmW1323BX
"""been""","Mount Gambier, Australia",karenmW1323BX
"""been""","Penola, Australia",karenmW1323BX
"""been""","Glossop, Australia",karenmW1323BX
"""been""","Paringa, Australia",karenmW1323BX
"""been""","Broken Hill, Australia",karenmW1323BX
"""been""","Aldinga Beach, Australia",karenmW1323BX
"""been""","Lyrup, Australia",karenmW1323BX
"""been""","Renmark, Australia",karenmW1323BX
"""been""","Encounter Bay, Australia",karenmW1323BX
"""been""","Berri, Australia",karenmW1323BX
"""been""","Port Lincoln, Australia",karenmW1323BX
"""been""","Los Angeles, CA, USA",karenmW1323BX
"""been""","Goolwa, Australia",karenmW1323BX
