tag,place,user
"""been""","Salt Lake City, UT, USA",karlt753
"""been""","Orlando, FL, USA",karlt753
"""been"",""fave""","Portland, OR, USA",karlt753
"""been""","Niagara Falls, Ontario, Canada",karlt753
"""been""","Chicago, IL, USA",karlt753
"""been"",""fave""","Saranac Lake, NY, USA",karlt753
"""been"",""fave""","Saratoga Springs, NY, USA",karlt753
"""been""","Coronado, CA, USA",karlt753
"""been""","Carmel, CA, USA",karlt753
"""been"",""fave""","New York City, NY, USA",karlt753
"""been""","Pittsford, NY, USA",karlt753
"""been""","Las Vegas, NV, USA",karlt753
"""been""","Madrid, Spain",karlt753
"""been""","Kissimmee, FL, USA",karlt753
"""been""","Denver, CO, USA",karlt753
"""been""","Cleveland, OH, USA",karlt753
"""been""","Niagara-on-the-Lake, Ontario, Canada",karlt753
"""been""","Louisville, KY, USA",karlt753
"""been""","Los Angeles, CA, USA",karlt753
"""been""","Anaheim, CA, USA",karlt753
"""been""","Tampa, FL, USA",karlt753
"""been""","San Antonio, TX, USA",karlt753
"""been""","Leland, NC, USA",karlt753
"""been"",""fave""","San Francisco, CA, USA",karlt753
"""been""","Seattle, WA, USA",karlt753
"""been""","Arlington, VA, USA",karlt753
"""been"",""fave""","Hilton Head, SC, USA",karlt753
"""been""","Rio Grande, Puerto Rico",karlt753
"""been""","Virginia Beach, VA, USA",karlt753
"""been""","Latham, NY, USA",karlt753
"""been"",""fave""","San Diego, CA, USA",karlt753
"""been""","Calabash, NC, USA",karlt753
"""been""","New City, NY, USA",karlt753
"""been""","Philadelphia, PA, USA",karlt753
"""been"",""fave""","Montreal, Quebec, Canada",karlt753
"""been""","Branchport, NY, USA",karlt753
"""been""","Ocean Isle Beach, NC, USA",karlt753
"""been""","Ocean City, MD, USA",karlt753
"""been"",""fave""","Granada, Spain",karlt753
"""been"",""fave""","Seville, Spain",karlt753
"""been""","Little River, SC, USA",karlt753
"""been""","North Redington Beach, FL, USA",karlt753
"""been""","Myrtle Beach, SC, USA",karlt753
"""been""","Washington DC, DC, USA",karlt753
"""been""","Indianapolis, IN, USA",karlt753
"""been""","Niagara Falls, NY, USA",karlt753
"""been""","Victor, NY, USA",karlt753
"""been"",""fave""","San Juan, Puerto Rico",karlt753
"""been""","Memphis, TN, USA",karlt753
"""been""","Sarasota, FL, USA",karlt753
"""been""","Brooklyn, NY, USA",karlt753
"""been""","Houston, TX, USA",karlt753
"""been""","Wilmington, NC, USA",karlt753
"""been""","Fairport, NY, USA",karlt753
"""been""","Webster, NY, USA",karlt753
"""been""","Hammondsport, NY, USA",karlt753
"""been""","Rochester, NY, USA",karlt753
"""been"",""fave""","Tupper Lake, NY, USA",karlt753
"""been""","Parsippany, NJ, USA",karlt753
"""been""","Bolton Landing, NY, USA",karlt753
"""been""","Minneapolis, MN, USA",karlt753
"""been"",""fave""","Barcelona, Spain",karlt753
"""been""","Redington Shores, FL, USA",karlt753
"""been""","Santa Barbara, CA, USA",karlt753
"""been""","Redondo Beach, CA, USA",karlt753
"""been""","Dallas, TX, USA",karlt753
"""been""","Cabo San Lucas, Mexico",karlt753
"""been"",""fave""","Tulum, Mexico",karlt753
"""been""","Playa del Carmen, Mexico",karlt753
"""been""","Columbus, OH, USA",karlt753
"""been""","Punta Cana, Dominican Republic",karlt753
"""been"",""fave""","Toronto, Ontario, Canada",karlt753
"""been""","Atlantic City, NJ, USA",karlt753
"""been""","Phoenix, AZ, USA",karlt753
"""been""","Sunset Beach, NC, USA",karlt753
"""been""","Selinsgrove, PA, USA",karlt753
"""been"",""fave""","Sedona, AZ, USA",karlt753
"""been""","Raleigh, NC, USA",karlt753
"""been""","Lenox, MA, USA",karlt753
"""been""","Scottsdale, AZ, USA",karlt753
"""been""","Portland, ME, USA",karlt753
"""been"",""fave""","Charleston, SC, USA",karlt753
"""been""","Penn Yan, NY, USA",karlt753
"""been""","Lake George, NY, USA",karlt753
"""been""","Buffalo, NY, USA",karlt753
"""been""","Cancun, Mexico",karlt753
"""been"",""fave""","Watkins Glen, NY, USA",karlt753
"""been""","Simi Valley, CA, USA",karlt753
"""been""","Clearwater, FL, USA",karlt753
"""been""","Pittsburgh, PA, USA",karlt753
"""been""","Naples, FL, USA",karlt753
"""been"",""fave""","Napa, CA, USA",karlt753
"""been""","Nashville, TN, USA",karlt753
"""been""","Fort Lauderdale, FL, USA",karlt753
