tag,place,user
"""been""","New Orleans, LA, USA",katherinevn
"""been""","Montreal, Quebec, Canada",katherinevn
"""been"",""fave""","London, UK",katherinevn
"""been""","Houston, TX, USA",katherinevn
"""been""","Asheville, NC, USA",katherinevn
"""been""","Boston, MA, USA",katherinevn
"""been""","Washington DC, DC, USA",katherinevn
"""been""","Colorado Springs, CO, USA",katherinevn
"""been""","Lexington, KY, USA",katherinevn
"""been"",""fave""","Zurich, Switzerland",katherinevn
"""been""","Oxnard, CA, USA",katherinevn
"""been""","Dallas, TX, USA",katherinevn
"""been"",""fave""","Paris, France",katherinevn
"""been""","Indianapolis, IN, USA",katherinevn
"""been""","Christiansted, U.S. Virgin Islands",katherinevn
"""been""","Charlotte Amalie, U.S. Virgin Islands",katherinevn
"""been""","Shenandoah National Park, VA, USA",katherinevn
"""been""","Reno, NV, USA",katherinevn
"""been"",""fave""","Rome, Italy",katherinevn
"""been""","Tivoli, Italy",katherinevn
"""been""","Hollywood, FL, USA",katherinevn
"""been""","Newport, RI, USA",katherinevn
"""been""","Kapaa, HI, USA",katherinevn
"""been""","West Hollywood, CA, USA",katherinevn
"""been""","Sedona, AZ, USA",katherinevn
"""been""","Charlotte, NC, USA",katherinevn
"""been""","Palo Alto, CA, USA",katherinevn
"""been""","Chapel Hill, NC, USA",katherinevn
"""been""","Kitty Hawk, NC, USA",katherinevn
"""been""","Minneapolis, MN, USA",katherinevn
"""been""","Toronto, Ontario, Canada",katherinevn
"""been"",""fave""","Charleston, SC, USA",katherinevn
"""been""","Greensboro, NC, USA",katherinevn
"""been""","Louisville, KY, USA",katherinevn
"""been""","Tampa, FL, USA",katherinevn
"""been"",""fave""","Chicago, IL, USA",katherinevn
"""been""","Kill Devil Hills, NC, USA",katherinevn
"""been""","Gloucester, UK",katherinevn
"""been""","Los Angeles, CA, USA",katherinevn
"""been""","Miami, FL, USA",katherinevn
"""been""","Miami Beach, FL, USA",katherinevn
"""been""","Saint Louis, MO, USA",katherinevn
"""been"",""fave""","Chatham, MA, USA",katherinevn
"""been""","San Antonio, TX, USA",katherinevn
"""been"",""fave""","San Francisco, CA, USA",katherinevn
"""been""","Isle of Palms, SC, USA",katherinevn
"""been""","Reston, VA, USA",katherinevn
"""been""","Gettysburg, PA, USA",katherinevn
"""been""","Hilton Head, SC, USA",katherinevn
"""been""","Portland, ME, USA",katherinevn
"""been""","Arlington, VA, USA",katherinevn
"""been""","Philadelphia, PA, USA",katherinevn
"""been""","Duck, NC, USA",katherinevn
"""been""","Anaheim, CA, USA",katherinevn
"""been""","Victoria, British Columbia, Canada",katherinevn
"""been""","Brooklyn, NY, USA",katherinevn
"""been"",""fave""","Vancouver, British Columbia, Canada",katherinevn
"""been""","Memphis, TN, USA",katherinevn
"""been""","Juneau, AK, USA",katherinevn
"""been""","Santa Barbara, CA, USA",katherinevn
"""been""","Galveston, TX, USA",katherinevn
"""been"",""fave""","Breckenridge, CO, USA",katherinevn
"""been""","Glasgow, UK",katherinevn
"""been""","West Yellowstone, MT, USA",katherinevn
"""been""","Lafayette, IN, USA",katherinevn
"""been""","Burbank, CA, USA",katherinevn
"""been""","New Haven, CT, USA",katherinevn
"""been"",""fave""","Edinburgh, UK",katherinevn
"""been""","Baltimore, MD, USA",katherinevn
"""been""","Atlanta, GA, USA",katherinevn
"""been""","Ketchikan, AK, USA",katherinevn
"""been""","Beckley, WV, USA",katherinevn
"""been""","Milwaukee, WI, USA",katherinevn
"""been""","Nashville, TN, USA",katherinevn
"""been""","Pittsburgh, PA, USA",katherinevn
"""been""","Jackson, WY, USA",katherinevn
"""been""","Lynchburg, VA, USA",katherinevn
"""been""","Lake George, NY, USA",katherinevn
"""been""","Santa Monica, CA, USA",katherinevn
"""been""","Salt Lake City, UT, USA",katherinevn
"""been""","Waynesboro, VA, USA",katherinevn
"""been""","Denver, CO, USA",katherinevn
"""been""","Omaha, NE, USA",katherinevn
"""been""","Wisconsin Dells, WI, USA",katherinevn
"""been""","West Lafayette, IN, USA",katherinevn
"""been"",""fave""","New York City, NY, USA",katherinevn
"""been""","Monterey, CA, USA",katherinevn
"""been""","Geneva, Switzerland",katherinevn
"""been""","Orlando, FL, USA",katherinevn
"""been""","Cleveland, OH, USA",katherinevn
"""been"",""fave""","Lucerne, Switzerland",katherinevn
"""been""","Seattle, WA, USA",katherinevn
"""been""","Charlottesville, VA, USA",katherinevn
"""been""","Williamsburg, VA, USA",katherinevn
"""been""","Chinle, AZ, USA",katherinevn
"""been""","Lahaina, HI, USA",katherinevn
"""been""","Bloomington, IN, USA",katherinevn
"""been""","Virginia Beach, VA, USA",katherinevn
"""been""","Groveland, CA, USA",katherinevn
"""been""","San Diego, CA, USA",katherinevn
"""been""","Berkeley, CA, USA",katherinevn
"""been""","Chantilly, VA, USA",katherinevn
"""been""","Bern, Switzerland",katherinevn
"""been""","Detroit, MI, USA",katherinevn
