tag,place,user
"""want""","Monterey, CA, USA",keelia_1221
"""want""","Fort Worth, TX, USA",keelia_1221
"""been""","Florence, Italy",keelia_1221
"""want""","Lisbon, Portugal",keelia_1221
"""been""","Matera, Italy",keelia_1221
"""been""","Reggio Calabria, Italy",keelia_1221
"""want""","Cape Coral, FL, USA",keelia_1221
"""want""","Wisconsin Dells, WI, USA",keelia_1221
"""want""","Omaha, NE, USA",keelia_1221
"""been"",""want""","New York City, NY, USA",keelia_1221
"""want""","Mexico City, Mexico",keelia_1221
"""want""","Anchorage, AK, USA",keelia_1221
"""want""","Carlsbad, CA, USA",keelia_1221
"""want""","San Jose, CA, USA",keelia_1221
"""want""","Fort Myers, FL, USA",keelia_1221
"""want""","Toronto, Ontario, Canada",keelia_1221
"""want""","Charlottesville, VA, USA",keelia_1221
"""want""","Carmel, CA, USA",keelia_1221
"""want""","Denver, CO, USA",keelia_1221
"""want""","Fort Walton Beach, FL, USA",keelia_1221
"""want""","Fort Myers Beach, FL, USA",keelia_1221
"""want""","Kissimmee, FL, USA",keelia_1221
"""been""","Naples, Italy",keelia_1221
"""been""","Capri, Italy",keelia_1221
"""been""","Riccione, Italy",keelia_1221
"""been""","Sorrento, Italy",keelia_1221
"""want""","Liverpool, UK",keelia_1221
"""want""","Seattle, WA, USA",keelia_1221
"""been""","Pompeii, Italy",keelia_1221
"""want""","Lahaina, HI, USA",keelia_1221
"""want""","Kihei, HI, USA",keelia_1221
"""been""","Salerno, Italy",keelia_1221
"""want""","Rhodes Town, Greece",keelia_1221
"""been""","Port Fairy, Australia",keelia_1221
"""want""","Kailua-Kona, HI, USA",keelia_1221
"""want""","Cincinnati, OH, USA",keelia_1221
"""been""","San Diego, CA, USA",keelia_1221
"""been""","Prahran, Australia",keelia_1221
"""want""","London, UK",keelia_1221
"""want""","Williamsburg, VA, USA",keelia_1221
"""want""","Doha, Qatar",keelia_1221
"""want""","Abu Dhabi, United Arab Emirates",keelia_1221
"""been""","Cefalu, Italy",keelia_1221
"""want""","Dallas, TX, USA",keelia_1221
"""want""","Sandusky, OH, USA",keelia_1221
"""been""","Venice, Italy",keelia_1221
"""want""","Madrid, Spain",keelia_1221
"""been""","Cattolica, Italy",keelia_1221
"""want""","Princeville, HI, USA",keelia_1221
"""want""","Poipu, HI, USA",keelia_1221
"""want""","Fernandina Beach, FL, USA",keelia_1221
"""want""","Boston, MA, USA",keelia_1221
"""want""","New Orleans, LA, USA",keelia_1221
"""want""","Asheville, NC, USA",keelia_1221
"""been""","Honolulu, HI, USA",keelia_1221
"""want""","Yokohama, Japan",keelia_1221
"""want""","Lexington, KY, USA",keelia_1221
"""been""","Daydream Island, Australia",keelia_1221
"""been""","Hamilton Island, Australia",keelia_1221
"""want""","Pigeon Forge, TN, USA",keelia_1221
"""want""","Houston, TX, USA",keelia_1221
"""want""","Quebec City, Quebec, Canada",keelia_1221
"""want""","Montreal, Quebec, Canada",keelia_1221
"""want""","Colorado Springs, CO, USA",keelia_1221
"""want""","Shanghai, China",keelia_1221
"""want""","Treasure Island, FL, USA",keelia_1221
"""want""","Palm Springs, CA, USA",keelia_1221
"""want""","Charlotte, NC, USA",keelia_1221
"""want""","Cape Town Central, South Africa",keelia_1221
"""been""","Catania, Italy",keelia_1221
"""want""","Kapaa, HI, USA",keelia_1221
"""want""","Newport, RI, USA",keelia_1221
"""been""","Sicily, Italy",keelia_1221
"""been""","Sentosa Island, Singapore",keelia_1221
"""want""","Hot Springs, AR, USA",keelia_1221
"""been""","Singapore, Singapore",keelia_1221
"""want""","Flagstaff, AZ, USA",keelia_1221
"""want""","Tokyo, Japan",keelia_1221
"""been""","Polignano a Mare, Italy",keelia_1221
"""want""","Niagara Falls, Ontario, Canada",keelia_1221
"""want""","Traverse City, MI, USA",keelia_1221
"""been""","Hobart, Australia",keelia_1221
"""want""","Port Aransas, TX, USA",keelia_1221
"""want""","Valencia, Spain",keelia_1221
