tag,place,user
"""been""","New Westminster, British Columbia, Canada",ketmars
"""been""","Whistler, British Columbia, Canada",ketmars
"""been""","Pattaya, Thailand",ketmars
"""been""","Lahaina, HI, USA",ketmars
"""been""","Ko Phi Phi Don, Thailand",ketmars
"""been""","Khon Kaen, Thailand",ketmars
"""want""","Ketchikan, AK, USA",ketmars
"""been""","Carlsbad, CA, USA",ketmars
"""been""","Kihei, HI, USA",ketmars
"""been""","Buena Park, CA, USA",ketmars
"""been""","Kahului, HI, USA",ketmars
"""want""","Juneau, AK, USA",ketmars
"""been""","Waipahu, HI, USA",ketmars
"""been""","Honolulu, HI, USA",ketmars
"""been""","Oahu, HI, USA",ketmars
"""been""","Los Angeles, CA, USA",ketmars
"""been""","Bangkok, Thailand",ketmars
"""been""","Maui, HI, USA",ketmars
