tag,place,user
"""been""","Brno, Czech Republic",l0rrink
"""been""","Salt Lake City, UT, USA",l0rrink
"""been""","Superior, CO, USA",l0rrink
"""been""","Denver, CO, USA",l0rrink
"""been""","Sendai, Japan",l0rrink
"""been""","Portland, OR, USA",l0rrink
"""been""","London, UK",l0rrink
"""been""","Austin, TX, USA",l0rrink
"""been""","Chicago, IL, USA",l0rrink
"""been""","Osaka, Japan",l0rrink
"""been""","Waikoloa, HI, USA",l0rrink
"""been""","Kyoto, Japan",l0rrink
"""been""","Kobe, Japan",l0rrink
"""been""","Kaunakakai, HI, USA",l0rrink
"""been""","New York City, NY, USA",l0rrink
"""been""","Tijuana, Mexico",l0rrink
"""been""","Las Vegas, NV, USA",l0rrink
"""been""","Bangkok, Thailand",l0rrink
"""been""","Pattaya, Thailand",l0rrink
"""been""","Los Angeles, CA, USA",l0rrink
"""been""","Claremont, CA, USA",l0rrink
"""been""","Munich, Germany",l0rrink
"""been""","Hanapepe, HI, USA",l0rrink
"""been""","Pearl City, HI, USA",l0rrink
"""been""","Kapaa, HI, USA",l0rrink
"""been""","Savannah, GA, USA",l0rrink
"""been""","Portland, ME, USA",l0rrink
"""been""","Nara, Japan",l0rrink
"""been""","Kailua, HI, USA",l0rrink
"""been""","Kapolei, HI, USA",l0rrink
"""been""","Atlanta, GA, USA",l0rrink
"""been""","Indianapolis, IN, USA",l0rrink
"""been""","Poipu, HI, USA",l0rrink
"""been""","College Park, GA, USA",l0rrink
"""been""","Washington DC, DC, USA",l0rrink
"""been""","Waimea, HI, USA",l0rrink
"""been""","Providence, RI, USA",l0rrink
"""been""","Aspen, CO, USA",l0rrink
"""been""","Vienna, Austria",l0rrink
"""been""","Waialua, HI, USA",l0rrink
"""been""","Hilo, HI, USA",l0rrink
"""been""","Waianae, HI, USA",l0rrink
"""been""","Waipahu, HI, USA",l0rrink
"""been""","Honolulu, HI, USA",l0rrink
"""been""","Koloa, HI, USA",l0rrink
"""been""","Lihue, HI, USA",l0rrink
"""been""","Newark, NJ, USA",l0rrink
"""been""","San Francisco, CA, USA",l0rrink
"""been""","Seattle, WA, USA",l0rrink
"""been""","Arlington, VA, USA",l0rrink
"""been""","Prague, Czech Republic",l0rrink
"""been""","San Diego, CA, USA",l0rrink
"""been""","Kailua-Kona, HI, USA",l0rrink
"""been""","Philadelphia, PA, USA",l0rrink
"""been""","Kula, HI, USA",l0rrink
"""been""","Salzburg, Austria",l0rrink
