tag,place,user
"""been""","West Hollywood, CA, USA",laurakW3061QN
"""been""","Belfast, UK",laurakW3061QN
"""been""","Cincinnati, OH, USA",laurakW3061QN
"""been""","Walla Walla, WA, USA",laurakW3061QN
"""been""","Del Mar, CA, USA",laurakW3061QN
"""been""","Portsmouth, NH, USA",laurakW3061QN
"""been""","Dubuque, IA, USA",laurakW3061QN
"""been""","Seattle, WA, USA",laurakW3061QN
"""been""","Yellowstone National Park, WY, USA",laurakW3061QN
"""been""","Iowa City, IA, USA",laurakW3061QN
"""been""","Williamsburg, VA, USA",laurakW3061QN
"""want""","Berlin, Germany",laurakW3061QN
"""been""","Wailuku, HI, USA",laurakW3061QN
"""been""","Champaign, IL, USA",laurakW3061QN
"""been""","Gurnee, IL, USA",laurakW3061QN
"""been""","Dallas, TX, USA",laurakW3061QN
"""been""","Ann Arbor, MI, USA",laurakW3061QN
"""been""","Sandusky, OH, USA",laurakW3061QN
"""been""","Kansas City, KS, USA",laurakW3061QN
"""been""","Reykjavik, Iceland",laurakW3061QN
"""been"",""want""","Honolulu, HI, USA",laurakW3061QN
"""been""","Lexington, KY, USA",laurakW3061QN
"""been""","Rosemont, IL, USA",laurakW3061QN
"""been""","Saint Paul, MN, USA",laurakW3061QN
"""been"",""want""","New Orleans, LA, USA",laurakW3061QN
"""been"",""want""","Boston, MA, USA",laurakW3061QN
"""been""","Topeka, KS, USA",laurakW3061QN
"""been""","White Plains, NY, USA",laurakW3061QN
"""been"",""want""","Munich, Germany",laurakW3061QN
"""been""","Albany, NY, USA",laurakW3061QN
"""been""","South San Francisco, CA, USA",laurakW3061QN
"""been""","Des Moines, IA, USA",laurakW3061QN
"""been""","Roscoe, IL, USA",laurakW3061QN
"""been""","Springfield, MO, USA",laurakW3061QN
"""been""","Naperville, IL, USA",laurakW3061QN
"""been""","Berkeley, CA, USA",laurakW3061QN
"""been""","Murfreesboro, TN, USA",laurakW3061QN
"""been""","Charleston, SC, USA",laurakW3061QN
"""been""","Plymouth, MA, USA",laurakW3061QN
"""been""","Buffalo, NY, USA",laurakW3061QN
"""been""","Grand Forks, ND, USA",laurakW3061QN
"""been""","Newport, RI, USA",laurakW3061QN
"""been""","Bloomingdale, IL, USA",laurakW3061QN
"""been""","Madison, WI, USA",laurakW3061QN
"""been""","Burlington, VT, USA",laurakW3061QN
"""been""","Athens, Greece",laurakW3061QN
"""been""","Bloomington, IL, USA",laurakW3061QN
"""been""","Newark, NJ, USA",laurakW3061QN
"""been""","Tulsa, OK, USA",laurakW3061QN
"""been""","Knoxville, TN, USA",laurakW3061QN
"""been""","Arachova, Greece",laurakW3061QN
"""been""","Harrisburg, PA, USA",laurakW3061QN
"""been""","Peoria, IL, USA",laurakW3061QN
"""been""","Columbia, MO, USA",laurakW3061QN
"""been""","Kennebunkport, ME, USA",laurakW3061QN
"""been""","Augusta, GA, USA",laurakW3061QN
"""been""","Charlotte, NC, USA",laurakW3061QN
"""been""","San Jose, CA, USA",laurakW3061QN
"""been""","Kissimmee, FL, USA",laurakW3061QN
"""been""","Denver, CO, USA",laurakW3061QN
"""been""","Cedar Rapids, IA, USA",laurakW3061QN
"""been""","Sitka, AK, USA",laurakW3061QN
"""been""","Moab, UT, USA",laurakW3061QN
"""been""","Greensboro, NC, USA",laurakW3061QN
"""been""","Springfield, MA, USA",laurakW3061QN
"""been""","Cooperstown, NY, USA",laurakW3061QN
"""been""","Bismarck, ND, USA",laurakW3061QN
"""been""","Athens, GA, USA",laurakW3061QN
"""been""","Rochester, NY, USA",laurakW3061QN
"""been""","Fort Lauderdale, FL, USA",laurakW3061QN
"""been""","Palm Springs, CA, USA",laurakW3061QN
"""been""","Philadelphia, PA, USA",laurakW3061QN
"""been""","Baton Rouge, LA, USA",laurakW3061QN
"""been""","New Haven, CT, USA",laurakW3061QN
"""been""","Henderson, NV, USA",laurakW3061QN
"""been""","South Bend, IN, USA",laurakW3061QN
"""been""","Phoenix, AZ, USA",laurakW3061QN
"""been""","Evansville, IN, USA",laurakW3061QN
"""been""","Cheyenne, WY, USA",laurakW3061QN
"""been""","Portland, ME, USA",laurakW3061QN
"""been""","Clearwater, FL, USA",laurakW3061QN
"""been""","Akron, OH, USA",laurakW3061QN
"""been"",""want""","Las Vegas, NV, USA",laurakW3061QN
"""been""","Huntington Beach, CA, USA",laurakW3061QN
"""been""","Sacramento, CA, USA",laurakW3061QN
"""been""","Dickinson, ND, USA",laurakW3061QN
"""been""","Lakeland, FL, USA",laurakW3061QN
"""been""","Santa Barbara, CA, USA",laurakW3061QN
"""been""","Dayton, OH, USA",laurakW3061QN
"""been""","Saint Charles, MO, USA",laurakW3061QN
"""been""","Death Valley Junction, CA, USA",laurakW3061QN
"""been""","Madrid, Spain",laurakW3061QN
"""been""","Bethlehem, PA, USA",laurakW3061QN
"""been""","Appleton, WI, USA",laurakW3061QN
"""been""","Portland, OR, USA",laurakW3061QN
"""been""","Beverly Hills, CA, USA",laurakW3061QN
"""been""","Wichita, KS, USA",laurakW3061QN
"""been""","Toledo, OH, USA",laurakW3061QN
"""been""","Poughkeepsie, NY, USA",laurakW3061QN
"""been""","Oahu, HI, USA",laurakW3061QN
"""been""","Schaumburg, IL, USA",laurakW3061QN
"""been""","Dover, DE, USA",laurakW3061QN
"""been""","Saint Louis, MO, USA",laurakW3061QN
"""been""","Saratoga Springs, NY, USA",laurakW3061QN
"""been""","Richmond, VA, USA",laurakW3061QN
"""been""","Laie, HI, USA",laurakW3061QN
"""been""","Atlanta, GA, USA",laurakW3061QN
"""been""","Michigan City, IN, USA",laurakW3061QN
"""been""","Snowbird, UT, USA",laurakW3061QN
"""been""","Rapid City, SD, USA",laurakW3061QN
"""been""","Arlington, VA, USA",laurakW3061QN
"""want""","London, UK",laurakW3061QN
"""been""","Wahiawa, HI, USA",laurakW3061QN
"""been""","San Juan, Puerto Rico",laurakW3061QN
"""been""","Holland, MI, USA",laurakW3061QN
"""been""","Los Angeles, CA, USA",laurakW3061QN
"""been""","Chicago, IL, USA",laurakW3061QN
"""been""","Annapolis, MD, USA",laurakW3061QN
"""been""","Idaho Falls, ID, USA",laurakW3061QN
"""been""","Omaha, NE, USA",laurakW3061QN
"""been""","Paducah, KY, USA",laurakW3061QN
"""been""","Louisville, KY, USA",laurakW3061QN
"""been""","Helen, GA, USA",laurakW3061QN
"""been""","New York City, NY, USA",laurakW3061QN
"""been""","Little Rock, AR, USA",laurakW3061QN
"""been""","Wisconsin Dells, WI, USA",laurakW3061QN
"""been""","Memphis, TN, USA",laurakW3061QN
"""been""","Torrance, CA, USA",laurakW3061QN
"""been""","East Glacier Park, MT, USA",laurakW3061QN
"""been""","Pittsburgh, PA, USA",laurakW3061QN
"""been""","Niagara Falls, Ontario, Canada",laurakW3061QN
"""been""","Alexandria, VA, USA",laurakW3061QN
"""been""","Niagara-on-the-Lake, Ontario, Canada",laurakW3061QN
"""been""","West Yellowstone, MT, USA",laurakW3061QN
"""been""","Saugatuck, MI, USA",laurakW3061QN
"""been""","Rockville, MD, USA",laurakW3061QN
"""been""","Linthicum Heights, MD, USA",laurakW3061QN
"""been""","Missoula, MT, USA",laurakW3061QN
"""been""","Cambridge, MA, USA",laurakW3061QN
"""been""","Milwaukee, WI, USA",laurakW3061QN
"""been""","Bangor, ME, USA",laurakW3061QN
"""been""","Cambridge, MD, USA",laurakW3061QN
"""been""","Boise, ID, USA",laurakW3061QN
"""been""","Billings, MT, USA",laurakW3061QN
"""been""","Big Sky, MT, USA",laurakW3061QN
"""been""","Charleston, WV, USA",laurakW3061QN
"""been""","Fayetteville, AR, USA",laurakW3061QN
"""been""","Grand Rapids, MI, USA",laurakW3061QN
"""been""","Manhattan Beach, CA, USA",laurakW3061QN
"""been""","Indianapolis, IN, USA",laurakW3061QN
"""been""","Dearborn, MI, USA",laurakW3061QN
"""been""","Erie, PA, USA",laurakW3061QN
"""been""","Hilo, HI, USA",laurakW3061QN
"""been""","Waimea, HI, USA",laurakW3061QN
"""been""","Detroit, MI, USA",laurakW3061QN
"""been""","Woodstock, NY, USA",laurakW3061QN
"""been""","Keystone, SD, USA",laurakW3061QN
"""been""","Green Bay, WI, USA",laurakW3061QN
"""been""","Bozeman, MT, USA",laurakW3061QN
"""been""","Myrtle Beach, SC, USA",laurakW3061QN
"""been""","Aurora, CO, USA",laurakW3061QN
"""been"",""want""","Washington DC, DC, USA",laurakW3061QN
"""been""","St. Pete Beach, FL, USA",laurakW3061QN
"""been""","St. Petersburg, FL, USA",laurakW3061QN
"""been""","Bloomington, IN, USA",laurakW3061QN
"""want""","Glasgow, UK",laurakW3061QN
"""been""","Galena, IL, USA",laurakW3061QN
"""been"",""fave""","St. John's, Antigua and Barbuda",laurakW3061QN
"""been""","Roanoke, VA, USA",laurakW3061QN
"""been""","Fargo, ND, USA",laurakW3061QN
"""been""","Bronx, NY, USA",laurakW3061QN
"""been""","Minneapolis, MN, USA",laurakW3061QN
"""been""","Biloxi, MS, USA",laurakW3061QN
"""want""","Orlando, FL, USA",laurakW3061QN
"""been""","North Las Vegas, NV, USA",laurakW3061QN
"""been""","Aurora, IL, USA",laurakW3061QN
"""been""","Teton Village, WY, USA",laurakW3061QN
"""been""","Cody, WY, USA",laurakW3061QN
"""been""","Victoria, British Columbia, Canada",laurakW3061QN
"""been""","Norfolk, VA, USA",laurakW3061QN
"""been""","Ottawa, Ontario, Canada",laurakW3061QN
"""been""","Deadwood, SD, USA",laurakW3061QN
"""been""","Bridgeview, IL, USA",laurakW3061QN
"""been""","Winter Park, FL, USA",laurakW3061QN
"""been""","Great Falls, MT, USA",laurakW3061QN
"""been""","Duluth, MN, USA",laurakW3061QN
"""been""","Tucson, AZ, USA",laurakW3061QN
"""been""","West Glacier, MT, USA",laurakW3061QN
"""been""","Grand Teton National Park, WY, USA",laurakW3061QN
"""been""","Grand Canyon National Park, AZ, USA",laurakW3061QN
"""want""","San Francisco, CA, USA",laurakW3061QN
"""been""","Salem, MA, USA",laurakW3061QN
"""been""","Eau Claire, WI, USA",laurakW3061QN
"""been""","Ketchikan, AK, USA",laurakW3061QN
"""been""","Oklahoma City, OK, USA",laurakW3061QN
"""been""","Columbus, OH, USA",laurakW3061QN
"""been""","Syracuse, NY, USA",laurakW3061QN
"""been""","Elizabeth, NJ, USA",laurakW3061QN
"""been""","Jersey City, NJ, USA",laurakW3061QN
"""been""","Lake Geneva, WI, USA",laurakW3061QN
"""been""","Crystal Lake, IL, USA",laurakW3061QN
"""been""","Vancouver, WA, USA",laurakW3061QN
"""been""","Brookfield, WI, USA",laurakW3061QN
"""been""","Providence, RI, USA",laurakW3061QN
"""been""","Brooklyn, NY, USA",laurakW3061QN
"""been""","Juneau, AK, USA",laurakW3061QN
"""been""","Spokane, WA, USA",laurakW3061QN
"""been""","Delphi, Greece",laurakW3061QN
"""been""","Sheboygan, WI, USA",laurakW3061QN
"""been""","Helena, MT, USA",laurakW3061QN
"""been""","Lake Ozark, MO, USA",laurakW3061QN
"""been""","La Crosse, WI, USA",laurakW3061QN
"""been""","Amsterdam, The Netherlands",laurakW3061QN
"""been""","South Burlington, VT, USA",laurakW3061QN
"""want""","Santo Domingo, Dominican Republic",laurakW3061QN
"""been"",""want""","Baltimore, MD, USA",laurakW3061QN
"""been""","Genoa, Italy",laurakW3061QN
"""been""","Joliet, IL, USA",laurakW3061QN
"""been"",""fave""","Paris, France",laurakW3061QN
"""been""","Versailles, France",laurakW3061QN
"""been""","Lansing, MI, USA",laurakW3061QN
"""been""","Lake George, NY, USA",laurakW3061QN
"""been""","Galway, Ireland",laurakW3061QN
"""been"",""want"",""fave""","Dublin, Ireland",laurakW3061QN
"""been""","Tampa, FL, USA",laurakW3061QN
"""been""","Oakland, CA, USA",laurakW3061QN
"""been""","Miami, FL, USA",laurakW3061QN
"""been""","Cleveland, OH, USA",laurakW3061QN
"""been""","Sioux Falls, SD, USA",laurakW3061QN
"""want""","Prague, Czech Republic",laurakW3061QN
"""been""","Raleigh, NC, USA",laurakW3061QN
"""been""","Mesa, AZ, USA",laurakW3061QN
"""been""","Park City, UT, USA",laurakW3061QN
"""been""","Macon, GA, USA",laurakW3061QN
"""been""","Hoboken, NJ, USA",laurakW3061QN
"""been""","Lincoln, NE, USA",laurakW3061QN
"""been""","Salt Lake City, UT, USA",laurakW3061QN
"""been""","Princeton, NJ, USA",laurakW3061QN
"""been""","Cork, Ireland",laurakW3061QN
"""been""","Hermosa Beach, CA, USA",laurakW3061QN
"""been""","Barcelona, Spain",laurakW3061QN
"""been""","Caracas, Venezuela",laurakW3061QN
"""been""","Greenville, SC, USA",laurakW3061QN
"""been""","Nashville, TN, USA",laurakW3061QN
"""been""","Davenport, IA, USA",laurakW3061QN
"""been""","Niagara Falls, NY, USA",laurakW3061QN
"""been""","Jackson, WY, USA",laurakW3061QN
"""been""","Lake Placid, NY, USA",laurakW3061QN
