tag,place,user
"""been""","Cabo San Lucas, Mexico",lindseyt453
"""been""","Oceanside, CA, USA",lindseyt453
"""been""","Williams, AZ, USA",lindseyt453
"""been""","Tucson, AZ, USA",lindseyt453
"""been""","Mesilla, NM, USA",lindseyt453
"""been""","San Diego, CA, USA",lindseyt453
"""been""","Teec Nos Pos, AZ, USA",lindseyt453
"""been""","Alamogordo, NM, USA",lindseyt453
"""been""","Amarillo, TX, USA",lindseyt453
"""been""","Brownwood, TX, USA",lindseyt453
"""been""","Estes Park, CO, USA",lindseyt453
"""been""","Durango, CO, USA",lindseyt453
"""been""","Southlake, TX, USA",lindseyt453
"""been""","Fredericksburg, TX, USA",lindseyt453
"""been""","Las Vegas, NV, USA",lindseyt453
"""been""","Beverly Hills, CA, USA",lindseyt453
"""been""","Las Cruces, NM, USA",lindseyt453
"""been""","New York City, NY, USA",lindseyt453
"""been""","Grand Canyon National Park, AZ, USA",lindseyt453
"""been""","Trophy Club, TX, USA",lindseyt453
"""been""","Lubbock, TX, USA",lindseyt453
"""been""","San Antonio, TX, USA",lindseyt453
"""been""","Roswell, NM, USA",lindseyt453
"""been""","Abilene, TX, USA",lindseyt453
"""been""","Anaheim, CA, USA",lindseyt453
"""been""","Tombstone, AZ, USA",lindseyt453
"""been""","Colorado Springs, CO, USA",lindseyt453
"""been""","Grapevine, TX, USA",lindseyt453
"""been""","Plano, TX, USA",lindseyt453
