tag,place,user
"""been""","Phoenix, AZ, USA",lionsden7613
"""been""","Tempe, AZ, USA",lionsden7613
"""been""","Portland, OR, USA",lionsden7613
"""been""","Tucson, AZ, USA",lionsden7613
"""been""","New York City, NY, USA",lionsden7613
"""been""","San Diego, CA, USA",lionsden7613
"""been""","Glendale, AZ, USA",lionsden7613
"""been""","Cathedral City, CA, USA",lionsden7613
"""been""","Bronx, NY, USA",lionsden7613
"""been""","Las Vegas, NV, USA",lionsden7613
"""been""","Las Vegas, NM, USA",lionsden7613
"""been""","Las Cruces, NM, USA",lionsden7613
"""been""","Inglewood, CA, USA",lionsden7613
"""been""","Los Angeles, CA, USA",lionsden7613
"""been""","Payson, AZ, USA",lionsden7613
"""been""","Fresno, CA, USA",lionsden7613
"""been""","Rancho Mirage, CA, USA",lionsden7613
"""been""","Roswell, NM, USA",lionsden7613
