tag,place,user
"""been""","Salta, Argentina",locomotion11
"""been""","Anaheim, CA, USA",locomotion11
"""been""","Buenos Aires, Argentina",locomotion11
"""been""","Gustine, CA, USA",locomotion11
"""been""","Kenner, LA, USA",locomotion11
"""been""","San Luis, Argentina",locomotion11
"""been""","June Lake, CA, USA",locomotion11
"""been""","Lima, Peru",locomotion11
"""been""","San Miguel de Tucuman, Argentina",locomotion11
"""been""","Tafi del Valle, Argentina",locomotion11
"""been""","Breaux Bridge, LA, USA",locomotion11
"""been""","Dublin, Ireland",locomotion11
"""been""","St. George, UT, USA",locomotion11
"""been""","Mendoza, Argentina",locomotion11
"""been""","Barcelona, Spain",locomotion11
"""been""","Tehachapi, CA, USA",locomotion11
"""been""","New York City, NY, USA",locomotion11
"""been""","Athens, Greece",locomotion11
"""been""","Bakersfield, CA, USA",locomotion11
"""been""","Santa Cruz, CA, USA",locomotion11
"""been""","Twin Falls, ID, USA",locomotion11
"""been""","Blue Springs, MO, USA",locomotion11
"""been""","Lexington, NE, USA",locomotion11
"""been""","Nashville, TN, USA",locomotion11
"""been""","Ventura, CA, USA",locomotion11
"""want""","Pompeii, Italy",locomotion11
"""been""","Santa Monica, CA, USA",locomotion11
"""been""","Bishop, CA, USA",locomotion11
"""been""","Mexico City, Mexico",locomotion11
"""been""","Santa Rosa, CA, USA",locomotion11
"""been""","Cordoba, Argentina",locomotion11
"""been""","San Diego, CA, USA",locomotion11
"""been""","Sedona, AZ, USA",locomotion11
"""been""","Marina, CA, USA",locomotion11
"""been"",""want""","Basel, Switzerland",locomotion11
"""been""","San Francisco, CA, USA",locomotion11
"""been""","Lone Pine, CA, USA",locomotion11
"""been""","Long Beach, CA, USA",locomotion11
"""been""","Needles, CA, USA",locomotion11
"""been""","Mammoth Lakes, CA, USA",locomotion11
"""been""","Arcata, CA, USA",locomotion11
"""been""","Carlsbad, CA, USA",locomotion11
"""been"",""fave""","San Fernando del Valle de Catamarca, Argentina",locomotion11
"""been""","Honolulu, HI, USA",locomotion11
"""been""","Los Angeles, CA, USA",locomotion11
"""been""","Rock Springs, WY, USA",locomotion11
"""been""","El Monte, CA, USA",locomotion11
"""been""","Chicago, IL, USA",locomotion11
"""been""","Orlando, FL, USA",locomotion11
"""been""","Santiago, Chile",locomotion11
"""been""","Miami Beach, FL, USA",locomotion11
"""been""","Williams, AZ, USA",locomotion11
"""been""","Rio de Janeiro, Brazil",locomotion11
"""been""","Valencia, Spain",locomotion11
"""been""","Clarksville, TN, USA",locomotion11
"""been""","Las Vegas, NV, USA",locomotion11
"""been""","Bowling Green, KY, USA",locomotion11
"""been""","Turlock, CA, USA",locomotion11
