tag,place,user
"""been""","Hackensack, NJ, USA",luxurytraveler_nk
"""been""","Muscat, Oman",luxurytraveler_nk
"""been""","Bangkok, Thailand",luxurytraveler_nk
"""been""","Chicago, IL, USA",luxurytraveler_nk
"""been""","Haridwar, India",luxurytraveler_nk
"""been""","Tangshan, China",luxurytraveler_nk
"""been""","Rishikesh, India",luxurytraveler_nk
"""been""","Ko Phi Phi Don, Thailand",luxurytraveler_nk
"""been""","Toronto, Ontario, Canada",luxurytraveler_nk
"""been""","Santa Monica, CA, USA",luxurytraveler_nk
"""been""","Chengdu, China",luxurytraveler_nk
"""been""","Dalian, China",luxurytraveler_nk
"""been""","Barcelona, Spain",luxurytraveler_nk
"""been""","Paris, France",luxurytraveler_nk
"""been""","Brussels, Belgium",luxurytraveler_nk
"""been""","Singapore, Singapore",luxurytraveler_nk
"""been""","Madrid, Spain",luxurytraveler_nk
"""been""","Casablanca, Morocco",luxurytraveler_nk
"""been""","San Francisco, CA, USA",luxurytraveler_nk
"""been""","New York City, NY, USA",luxurytraveler_nk
"""been""","Marrakech, Morocco",luxurytraveler_nk
"""been""","Bintan Island, Indonesia",luxurytraveler_nk
"""been""","Valencia, Spain",luxurytraveler_nk
"""been""","Hong Kong, China",luxurytraveler_nk
