tag,place,user
"""been""","St. Petersburg, Russia",marinaLACA
"""been""","Paris, France",marinaLACA
"""been""","Berlin, Germany",marinaLACA
"""been""","Istanbul, Turkey",marinaLACA
"""been""","Hohenschwangau, Germany",marinaLACA
"""been""","London, UK",marinaLACA
"""been""","Cambridge, MA, USA",marinaLACA
"""been""","Vienna, Austria",marinaLACA
"""been""","Munich, Germany",marinaLACA
"""been""","Washington DC, DC, USA",marinaLACA
"""been""","Philadelphia, PA, USA",marinaLACA
"""been""","Ellenville, NY, USA",marinaLACA
"""been""","Avalon, CA, USA",marinaLACA
"""been""","Vail, CO, USA",marinaLACA
"""been""","Berkeley, CA, USA",marinaLACA
"""been""","Brookline, MA, USA",marinaLACA
"""been""","Boston, MA, USA",marinaLACA
"""been""","Ensenada, Mexico",marinaLACA
"""been""","Rome, Italy",marinaLACA
"""been""","Newport Beach, CA, USA",marinaLACA
"""been""","Niagara Falls, Ontario, Canada",marinaLACA
"""been""","Barcelona, Spain",marinaLACA
"""been""","Lucerne, Switzerland",marinaLACA
"""been""","Playa del Carmen, Mexico",marinaLACA
"""been""","Punta Cana, Dominican Republic",marinaLACA
"""been""","Prague, Czech Republic",marinaLACA
"""been""","Hallstatt, Austria",marinaLACA
"""been""","Brussels, Belgium",marinaLACA
"""been""","Fussen, Germany",marinaLACA
"""been""","Lexington, MA, USA",marinaLACA
"""been""","Palo Alto, CA, USA",marinaLACA
"""been""","Dublin, Ireland",marinaLACA
"""been""","Catalina Island, CA, USA",marinaLACA
"""been""","Las Vegas, NV, USA",marinaLACA
"""been""","New York City, NY, USA",marinaLACA
"""been""","San Francisco, CA, USA",marinaLACA
"""been""","Los Angeles, CA, USA",marinaLACA
"""been""","Amsterdam, The Netherlands",marinaLACA
"""been""","Orlando, FL, USA",marinaLACA
"""been""","Redwood City, CA, USA",marinaLACA
"""been""","Zurich, Switzerland",marinaLACA
"""been""","Moscow, Russia",marinaLACA
"""been""","Tokyo, Japan",marinaLACA
