tag,place,user
"""been""","Valencia, Spain",mark232016
"""been""","Santa Barbara, CA, USA",mark232016
"""been""","St. Helena, CA, USA",mark232016
"""been""","Hounslow, UK",mark232016
"""been""","Geneva, Switzerland",mark232016
"""been""","Newberg, OR, USA",mark232016
"""been""","Silverton, CO, USA",mark232016
"""been""","Death Valley National Park, CA, USA",mark232016
"""been""","Cedar Creek, TX, USA",mark232016
"""been""","Santa Cruz, CA, USA",mark232016
"""been""","Sacramento, CA, USA",mark232016
"""been""","Schiphol, The Netherlands",mark232016
"""been""","Samcheok, South Korea",mark232016
"""been""","Erbusco, Italy",mark232016
"""been""","San Diego, CA, USA",mark232016
"""been""","Sartene, France",mark232016
"""been""","Calistoga, CA, USA",mark232016
"""been""","San Francisco, CA, USA",mark232016
"""been""","Seattle, WA, USA",mark232016
"""been""","Gateway, CO, USA",mark232016
"""been""","Crowley Lake, CA, USA",mark232016
"""been""","Laguna Beach, CA, USA",mark232016
"""been""","Rancho Santa Fe, CA, USA",mark232016
"""been""","Pebble Beach, CA, USA",mark232016
"""been""","Detroit, MI, USA",mark232016
"""been""","Munich, Germany",mark232016
"""been""","Las Vegas, NV, USA",mark232016
"""been""","Vancouver, British Columbia, Canada",mark232016
"""been""","Carmel, CA, USA",mark232016
"""been""","Salt Lake City, UT, USA",mark232016
"""been""","Moab, UT, USA",mark232016
"""been""","Ventura, CA, USA",mark232016
"""been""","Chicago, IL, USA",mark232016
"""been""","Stevenson, WA, USA",mark232016
"""been""","Los Angeles, CA, USA",mark232016
"""been""","San Marino, CA, USA",mark232016
"""been""","Yountville, CA, USA",mark232016
"""been""","Ojai, CA, USA",mark232016
"""been""","Pasadena, CA, USA",mark232016
"""been""","Monterey, CA, USA",mark232016
"""been""","Jackson, WY, USA",mark232016
"""been""","Farnborough, UK",mark232016
"""been""","West Hollywood, CA, USA",mark232016
"""been""","Alesund, Norway",mark232016
"""been""","Seoul, South Korea",mark232016
"""been""","Bishop, CA, USA",mark232016
"""been""","Westlake Village, CA, USA",mark232016
"""been""","Wanship, UT, USA",mark232016
"""been""","Palm Springs, CA, USA",mark232016
"""been""","Redstone, CO, USA",mark232016
"""been""","Long Beach, CA, USA",mark232016
"""been""","North Vancouver, British Columbia, Canada",mark232016
