tag,place,user
"""been""","Tullamarine, Australia",mars19532015
"""been""","Singapore, Singapore",mars19532015
"""been""","Warburton, Australia",mars19532015
"""been""","Red Cliffs, Australia",mars19532015
"""been""","Evans Head, Australia",mars19532015
"""been""","Fargo, ND, USA",mars19532015
"""been""","Siem Reap, Cambodia",mars19532015
"""been""","Hoi An, Vietnam",mars19532015
"""been""","Edenhope, Australia",mars19532015
"""been""","Murtoa, Australia",mars19532015
"""want""","Southampton, UK",mars19532015
"""been""","Moonambel, Australia",mars19532015
"""been""","Rupanyup, Australia",mars19532015
"""been""","Dublin, Ireland",mars19532015
"""been""","Geraldton, Australia",mars19532015
"""been""","Neerim South, Australia",mars19532015
"""been""","Los Angeles, CA, USA",mars19532015
"""been""","Port Macquarie, Australia",mars19532015
"""been""","Kaatsheuvel, The Netherlands",mars19532015
"""been""","Aldeburgh, UK",mars19532015
"""been""","St Arnaud, Australia",mars19532015
"""been""","Naracoorte, Australia",mars19532015
"""been""","Halls Gap, Australia",mars19532015
"""been""","Tilburg, The Netherlands",mars19532015
"""been""","Avoca, Australia",mars19532015
"""been""","Apsley, Australia",mars19532015
"""been""","Horsham, Australia",mars19532015
"""been""","Keystone, SD, USA",mars19532015
