tag,place,user
"""been""","Berlin, Germany",maryeileeno
"""been""","Beijing, China",maryeileeno
"""been""","Lyon, France",maryeileeno
"""been""","Buenos Aires, Argentina",maryeileeno
"""been""","Culver City, CA, USA",maryeileeno
"""been""","Albuquerque, NM, USA",maryeileeno
"""been""","Iowa City, IA, USA",maryeileeno
"""been""","Bucharest, Romania",maryeileeno
"""been""","Rome, Italy",maryeileeno
"""been""","Spoleto, Italy",maryeileeno
"""been""","Santiago, Chile",maryeileeno
"""been""","Milan, Italy",maryeileeno
