tag,place,user
"""been""","Edmonds, WA, USA",mcpcmp
"""been""","Benton, CA, USA",mcpcmp
"""been""","Pocatello, ID, USA",mcpcmp
"""been""","Sandy, UT, USA",mcpcmp
"""been""","Sutter Creek, CA, USA",mcpcmp
"""been""","Fruita, CO, USA",mcpcmp
"""been""","Berkeley, CA, USA",mcpcmp
"""been""","Yorktown, VA, USA",mcpcmp
"""been""","Tahoe City, CA, USA",mcpcmp
"""been""","Durango, CO, USA",mcpcmp
"""been""","Pine Bluffs, WY, USA",mcpcmp
"""been""","Tahoe Vista, CA, USA",mcpcmp
"""been""","Comox, British Columbia, Canada",mcpcmp
"""been""","Susanville, CA, USA",mcpcmp
"""been""","Mosfellsbaer, Iceland",mcpcmp
"""been""","Iskut, British Columbia, Canada",mcpcmp
"""been""","South Jordan, UT, USA",mcpcmp
"""been""","Desert Hot Springs, CA, USA",mcpcmp
"""been""","Arco, ID, USA",mcpcmp
"""been""","Spanish Fork, UT, USA",mcpcmp
"""been""","Everett, WA, USA",mcpcmp
"""been""","Death Valley Junction, CA, USA",mcpcmp
"""been""","Rock Springs, WY, USA",mcpcmp
"""been""","Denver, CO, USA",mcpcmp
"""been""","Diamond Springs, CA, USA",mcpcmp
"""been""","Springville, UT, USA",mcpcmp
"""been""","Sechelt, British Columbia, Canada",mcpcmp
"""been""","Smithers, British Columbia, Canada",mcpcmp
"""been""","Dallas, OR, USA",mcpcmp
"""been""","Beaver Creek, Yukon, Canada",mcpcmp
"""been""","Kitimat-Stikine District, British Columbia, Canada",mcpcmp
"""been""","Burnaby, British Columbia, Canada",mcpcmp
"""been""","Whitehorse, Yukon, Canada",mcpcmp
"""been""","108 Mile Ranch, British Columbia, Canada",mcpcmp
"""been""","Depoe Bay, OR, USA",mcpcmp
"""been""","Banning, CA, USA",mcpcmp
"""been""","Devils Tower, WY, USA",mcpcmp
"""been""","Forks, WA, USA",mcpcmp
"""been""","Stockton, CA, USA",mcpcmp
"""been""","Mammoth Lakes, CA, USA",mcpcmp
"""been""","Strawberry, CA, USA",mcpcmp
"""been""","Bass Lake, CA, USA",mcpcmp
"""been""","Grants, NM, USA",mcpcmp
"""been""","Sundance, UT, USA",mcpcmp
"""been""","Hudson's Hope, British Columbia, Canada",mcpcmp
"""been""","Dardanelle, CA, USA",mcpcmp
"""been""","Central Saanich, British Columbia, Canada",mcpcmp
"""been""","Bear Valley, CA, USA",mcpcmp
"""been""","South Lake Tahoe, CA, USA",mcpcmp
"""been""","Guaymas, Mexico",mcpcmp
"""been""","San Carlos, Mexico",mcpcmp
"""been""","Mountain Home, ID, USA",mcpcmp
"""been""","Casa Grande, AZ, USA",mcpcmp
"""been""","Teton Village, WY, USA",mcpcmp
"""been""","Burns Lake, British Columbia, Canada",mcpcmp
"""been""","Butte, MT, USA",mcpcmp
"""been""","Bowser, British Columbia, Canada",mcpcmp
"""been""","Cowichan Bay, British Columbia, Canada",mcpcmp
"""been""","Cache Creek, British Columbia, Canada",mcpcmp
"""been""","Clinton, British Columbia, Canada",mcpcmp
"""been""","Crows Landing, CA, USA",mcpcmp
"""been""","Dorrington, CA, USA",mcpcmp
"""been""","Dawson Creek, British Columbia, Canada",mcpcmp
"""been""","Powell River, British Columbia, Canada",mcpcmp
"""been""","West Point, NY, USA",mcpcmp
"""been""","Bear Lake, British Columbia, Canada",mcpcmp
"""been""","Stirling City, CA, USA",mcpcmp
"""been""","Bakersfield, CA, USA",mcpcmp
"""been""","Nampa, ID, USA",mcpcmp
"""been""","Anderson, CA, USA",mcpcmp
"""been""","Wendover, UT, USA",mcpcmp
"""been""","Angels Camp, CA, USA",mcpcmp
"""been""","Covina, CA, USA",mcpcmp
"""been""","Anaheim, CA, USA",mcpcmp
"""been""","Wamsutter, WY, USA",mcpcmp
"""been""","West Valley City, UT, USA",mcpcmp
"""been""","Carmacks, Yukon, Canada",mcpcmp
"""been""","Eugene, OR, USA",mcpcmp
"""been""","South Pasadena, CA, USA",mcpcmp
"""been""","Montpelier, ID, USA",mcpcmp
"""been""","South San Francisco, CA, USA",mcpcmp
"""been""","Amador City, CA, USA",mcpcmp
"""been""","Florence, OR, USA",mcpcmp
"""been""","Alturas, CA, USA",mcpcmp
"""been""","Pelly Crossing, Yukon, Canada",mcpcmp
"""been""","Wasilla, AK, USA",mcpcmp
"""been""","Coronado, CA, USA",mcpcmp
"""been""","Hesperia, CA, USA",mcpcmp
"""been""","Whittier, AK, USA",mcpcmp
"""been""","Cotati, CA, USA",mcpcmp
"""been""","Soledad, CA, USA",mcpcmp
"""been""","Norfolk, VA, USA",mcpcmp
"""been""","Willow, AK, USA",mcpcmp
"""been""","Solvang, CA, USA",mcpcmp
"""been""","Hollister, CA, USA",mcpcmp
"""been""","Soda Springs, CA, USA",mcpcmp
"""been""","Yakutat, AK, USA",mcpcmp
"""been""","Fort Macleod, Alberta, Canada",mcpcmp
"""been""","Gibsons, British Columbia, Canada",mcpcmp
"""been""","Sallisaw, OK, USA",mcpcmp
"""been""","Garibaldi, OR, USA",mcpcmp
"""been""","100 Mile House, British Columbia, Canada",mcpcmp
"""been""","Tampa, FL, USA",mcpcmp
"""been""","Rockford, IL, USA",mcpcmp
"""been""","Sonora, CA, USA",mcpcmp
"""been""","Tubac, AZ, USA",mcpcmp
"""been""","Sonoyta, Mexico",mcpcmp
"""been""","Tuba City, AZ, USA",mcpcmp
"""been""","Tusayan, AZ, USA",mcpcmp
"""been""","Valdez, AK, USA",mcpcmp
"""been""","Gleneden Beach, OR, USA",mcpcmp
"""been""","Gold Beach, OR, USA",mcpcmp
"""been""","Corning, CA, USA",mcpcmp
"""been""","Acampo, CA, USA",mcpcmp
"""been""","Tombstone, AZ, USA",mcpcmp
"""been""","Alta, CA, USA",mcpcmp
"""been""","Cold Springs, CA, USA",mcpcmp
"""been""","Hanford, CA, USA",mcpcmp
"""been""","Coleville, CA, USA",mcpcmp
"""been""","Ketchum, ID, USA",mcpcmp
"""been""","Tok, AK, USA",mcpcmp
"""been""","Esquimalt, British Columbia, Canada",mcpcmp
"""been""","Grants Pass, OR, USA",mcpcmp
"""been""","Hammond, OR, USA",mcpcmp
"""been""","Harbor, OR, USA",mcpcmp
"""been""","Haines Junction, Yukon, Canada",mcpcmp
"""been""","Watson Lake, Yukon, Canada",mcpcmp
"""been""","Trapper Creek, AK, USA",mcpcmp
"""been""","Coloma, CA, USA",mcpcmp
"""been""","Kennicott, AK, USA",mcpcmp
"""been""","Columbia, CA, USA",mcpcmp
"""been""","McCarthy, AK, USA",mcpcmp
"""been""","Colton, CA, USA",mcpcmp
"""been""","View Royal, British Columbia, Canada",mcpcmp
"""been""","Groveland, CA, USA",mcpcmp
"""been""","Clements, CA, USA",mcpcmp
"""been""","Teec Nos Pos, AZ, USA",mcpcmp
"""been""","Talkeetna, AK, USA",mcpcmp
"""been""","Clovis, CA, USA",mcpcmp
"""been""","Cloverdale, CA, USA",mcpcmp
"""been""","Tempe, AZ, USA",mcpcmp
"""been""","Half Moon Bay, CA, USA",mcpcmp
"""been""","Coalinga, CA, USA",mcpcmp
"""been""","Coachella, CA, USA",mcpcmp
"""been""","Boston Bar, British Columbia, Canada",mcpcmp
"""been""","Solomon, AZ, USA",mcpcmp
"""been""","Yountville, CA, USA",mcpcmp
"""been""","Greenfield, CA, USA",mcpcmp
"""been""","Chula Vista, CA, USA",mcpcmp
"""been""","Yreka, CA, USA",mcpcmp
"""been""","McArthur, CA, USA",mcpcmp
"""been""","Claremont, CA, USA",mcpcmp
"""been""","Scottsdale, AZ, USA",mcpcmp
"""been""","Yosemite National Park, CA, USA",mcpcmp
"""been""","Marina, CA, USA",mcpcmp
"""been""","Sedona, AZ, USA",mcpcmp
"""been""","Chico, CA, USA",mcpcmp
"""been""","Mariposa, CA, USA",mcpcmp
"""been""","Marina del Rey, CA, USA",mcpcmp
"""been""","Seligman, AZ, USA",mcpcmp
"""been""","Silver City, NV, USA",mcpcmp
"""been""","Reno, NV, USA",mcpcmp
"""been""","Ruby Valley, NV, USA",mcpcmp
"""been""","Anacortes, WA, USA",mcpcmp
"""been""","Markleeville, CA, USA",mcpcmp
"""been""","Grass Valley, CA, USA",mcpcmp
"""been""","Chino, CA, USA",mcpcmp
"""been""","Martell, CA, USA",mcpcmp
"""been""","Anchor Point, AK, USA",mcpcmp
"""been""","Seldovia, AK, USA",mcpcmp
"""been""","Chino Hills, CA, USA",mcpcmp
"""been""","Chowchilla, CA, USA",mcpcmp
"""been""","Glendora, CA, USA",mcpcmp
"""been""","Madera, CA, USA",mcpcmp
"""been""","Glendale, CA, USA",mcpcmp
"""been""","Minneapolis, MN, USA",mcpcmp
"""been""","Hella, Iceland",mcpcmp
"""been""","Hvolsvollur, Iceland",mcpcmp
"""been""","North Las Vegas, NV, USA",mcpcmp
"""been""","Ash Fork, AZ, USA",mcpcmp
"""been""","Aberdeen, WA, USA",mcpcmp
"""been""","Malibu, CA, USA",mcpcmp
"""been""","Apache Junction, AZ, USA",mcpcmp
"""been""","Fayetteville, AR, USA",mcpcmp
"""been""","Goleta, CA, USA",mcpcmp
"""been""","Manteca, CA, USA",mcpcmp
"""been""","Lotus, CA, USA",mcpcmp
"""been""","Arlington, VA, USA",mcpcmp
"""been""","Minden, NV, USA",mcpcmp
"""been""","North Platte, NE, USA",mcpcmp
"""been""","Cultus Lake, British Columbia, Canada",mcpcmp
"""been""","Nimmo Islet, British Columbia, Canada",mcpcmp
"""been""","McDermitt, NV, USA",mcpcmp
"""been""","Mesquite, NV, USA",mcpcmp
"""been""","Georgetown, CA, USA",mcpcmp
"""been""","Safford, AZ, USA",mcpcmp
"""been""","St. Petersburg, FL, USA",mcpcmp
"""been""","Hermosillo, Mexico",mcpcmp
"""been""","Gilroy, CA, USA",mcpcmp
"""been""","Pioneer, CA, USA",mcpcmp
"""been""","Pismo Beach, CA, USA",mcpcmp
"""been""","Laughlin, NV, USA",mcpcmp
"""been""","Las Vegas, NV, USA",mcpcmp
"""been""","Garberville, CA, USA",mcpcmp
"""been""","Prescott, AZ, USA",mcpcmp
"""been""","Fremont, CA, USA",mcpcmp
"""been""","Los Banos, CA, USA",mcpcmp
"""been""","Placerville, CA, USA",mcpcmp
"""been""","Fresno, CA, USA",mcpcmp
"""been""","Quartzsite, AZ, USA",mcpcmp
"""been""","Los Angeles, CA, USA",mcpcmp
"""been""","Prescott Valley, AZ, USA",mcpcmp
"""been""","North Saanich, British Columbia, Canada",mcpcmp
"""been""","Los Gatos, CA, USA",mcpcmp
"""been""","Loleta, CA, USA",mcpcmp
"""been""","Phoenix, AZ, USA",mcpcmp
"""been""","Henderson, NV, USA",mcpcmp
"""been""","Hawthorne, NV, USA",mcpcmp
"""been""","Incline Village, NV, USA",mcpcmp
"""been""","Jackpot, NV, USA",mcpcmp
"""been""","Bluff, UT, USA",mcpcmp
"""been""","Pine Grove, CA, USA",mcpcmp
"""been""","Loma Linda, CA, USA",mcpcmp
"""been""","Lompoc, CA, USA",mcpcmp
"""been""","Alexandria, VA, USA",mcpcmp
"""been""","Fortuna, CA, USA",mcpcmp
"""been""","Lone Pine, CA, USA",mcpcmp
"""been""","Long Beach, CA, USA",mcpcmp
"""been""","Goldfield, NV, USA",mcpcmp
"""been""","Los Mochis, Mexico",mcpcmp
"""been""","Fernley, NV, USA",mcpcmp
"""been""","Fallon, NV, USA",mcpcmp
"""been""","Genoa, NV, USA",mcpcmp
"""been""","Golconda, NV, USA",mcpcmp
"""been""","Tualatin, OR, USA",mcpcmp
"""been""","Fort Worth, TX, USA",mcpcmp
"""been""","Petaluma, CA, USA",mcpcmp
"""been""","Lockeford, CA, USA",mcpcmp
"""been""","Tualitin, OR, USA",mcpcmp
"""been""","Yuma, AZ, USA",mcpcmp
"""been""","Hornbrook, CA, USA",mcpcmp
"""been""","Keflavik, Iceland",mcpcmp
"""been""","Winslow, AZ, USA",mcpcmp
"""been""","Morgan Hill, CA, USA",mcpcmp
"""been""","Roseville, CA, USA",mcpcmp
"""been""","Morro Bay, CA, USA",mcpcmp
"""been""","Homewood, CA, USA",mcpcmp
"""been""","Moss Landing, CA, USA",mcpcmp
"""been""","Long Island City, NY, USA",mcpcmp
"""been""","Oakland, OR, USA",mcpcmp
"""been""","Warm Springs, NV, USA",mcpcmp
"""been""","Oregon City, OR, USA",mcpcmp
"""been""","Tsawwassen, British Columbia, Canada",mcpcmp
"""been""","Window Rock, AZ, USA",mcpcmp
"""been""","Oceanside, OR, USA",mcpcmp
"""been""","Akranes, Iceland",mcpcmp
"""been""","Riverbank, CA, USA",mcpcmp
"""been""","Monterey, CA, USA",mcpcmp
"""been""","Wickenburg, AZ, USA",mcpcmp
"""been""","Otter Rock, OR, USA",mcpcmp
"""been""","Phoenix, OR, USA",mcpcmp
"""been""","Monrovia, CA, USA",mcpcmp
"""been""","Albany, NY, USA",mcpcmp
"""been""","Modesto, CA, USA",mcpcmp
"""been""","Mokelumne Hill, CA, USA",mcpcmp
"""been""","Mojave, CA, USA",mcpcmp
"""been""","Meziadin Junction, British Columbia, Canada",mcpcmp
"""been""","Port Orford, OR, USA",mcpcmp
"""been""","Lead, SD, USA",mcpcmp
"""been""","Vik, Iceland",mcpcmp
"""been""","Portland, OR, USA",mcpcmp
"""been""","Red Bluff, CA, USA",mcpcmp
"""been""","Reykjavik, Iceland",mcpcmp
"""been""","Redlands, CA, USA",mcpcmp
"""been""","Redding, CA, USA",mcpcmp
"""been""","Redway, CA, USA",mcpcmp
"""been""","Redwood City, CA, USA",mcpcmp
"""been""","Springfield, MO, USA",mcpcmp
"""been""","Saltery Bay, British Columbia, Canada",mcpcmp
"""been""","Reedsport, OR, USA",mcpcmp
"""been""","Merced, CA, USA",mcpcmp
"""been""","Mi Wuk Village, CA, USA",mcpcmp
"""been""","Rancho Cucamonga, CA, USA",mcpcmp
"""been""","Washougal, WA, USA",mcpcmp
"""been""","Rancho Mirage, CA, USA",mcpcmp
"""been""","Rancho Murieta, CA, USA",mcpcmp
"""been""","Lexington, MA, USA",mcpcmp
"""been""","Ester, AK, USA",mcpcmp
"""been""","Rockaway Beach, OR, USA",mcpcmp
"""been""","Concord, MA, USA",mcpcmp
"""been""","Rogue River, OR, USA",mcpcmp
"""been""","Camp Verde, AZ, USA",mcpcmp
"""been""","Barstow, CA, USA",mcpcmp
"""been""","Roseburg, OR, USA",mcpcmp
"""been""","Rufus, OR, USA",mcpcmp
"""been""","Fort Wainwright, AK, USA",mcpcmp
"""been""","Gakona, AK, USA",mcpcmp
"""been""","Rail Road Flat, CA, USA",mcpcmp
"""been""","Laugarvatn, Iceland",mcpcmp
"""been""","Selfoss, Iceland",mcpcmp
"""been""","Ashcroft, British Columbia, Canada",mcpcmp
"""been""","Shelter Cove, CA, USA",mcpcmp
"""been""","Thingvellir, Iceland",mcpcmp
"""been""","Sandy, OR, USA",mcpcmp
"""been""","Salem, OR, USA",mcpcmp
"""been""","Saint Helens, OR, USA",mcpcmp
"""been""","Keystone, SD, USA",mcpcmp
"""been""","Paris, AR, USA",mcpcmp
"""been""","Eagle, AK, USA",mcpcmp
"""been""","Eagle River, AK, USA",mcpcmp
"""been""","McLeese Lake, British Columbia, Canada",mcpcmp
"""been""","Yacolt, WA, USA",mcpcmp
"""been""","Saanich, British Columbia, Canada",mcpcmp
"""been""","Niagara Falls, NY, USA",mcpcmp
"""been""","Cave Junction, OR, USA",mcpcmp
"""been""","Salt Lake City, UT, USA",mcpcmp
"""been""","Port Angeles, WA, USA",mcpcmp
"""been""","Hazelton, British Columbia, Canada",mcpcmp
"""been""","Skalholt, Iceland",mcpcmp
"""been""","Douglas, AK, USA",mcpcmp
"""been""","Ashland, OR, USA",mcpcmp
"""been""","Porterville, CA, USA",mcpcmp
"""been""","Cooper Landing, AK, USA",mcpcmp
"""been""","New Hazelton, British Columbia, Canada",mcpcmp
"""been""","Pomona, CA, USA",mcpcmp
"""been""","Pollock Pines, CA, USA",mcpcmp
"""been""","Delta Junction, AK, USA",mcpcmp
"""been""","Pueblo of Acoma, NM, USA",mcpcmp
"""been""","Albuquerque, NM, USA",mcpcmp
"""been""","Springfield, OR, USA",mcpcmp
"""been""","Silverton, OR, USA",mcpcmp
"""been""","Fredonia, AZ, USA",mcpcmp
"""been""","Pojoaque, NM, USA",mcpcmp
"""been""","Plymouth, CA, USA",mcpcmp
"""been""","Chitina, AK, USA",mcpcmp
"""been""","Indian, AK, USA",mcpcmp
"""been""","Moses Lake, WA, USA",mcpcmp
"""been""","Teslin, Yukon, Canada",mcpcmp
"""been""","Crescent City, CA, USA",mcpcmp
"""been""","Talent, OR, USA",mcpcmp
"""been""","Pouce Coupe, British Columbia, Canada",mcpcmp
"""been""","Chicken, AK, USA",mcpcmp
"""been""","Biggs Junction, OR, USA",mcpcmp
"""been""","Arkoma, OK, USA",mcpcmp
"""been""","Mukilteo, WA, USA",mcpcmp
"""been""","Chickaloon, AK, USA",mcpcmp
"""been""","Tucson, AZ, USA",mcpcmp
"""been""","Burley, ID, USA",mcpcmp
"""been""","Tillamook, OR, USA",mcpcmp
"""been""","Salem, MA, USA",mcpcmp
"""been""","Boise, ID, USA",mcpcmp
"""been""","The Dalles, OR, USA",mcpcmp
"""been""","Quathiaski Cove, British Columbia, Canada",mcpcmp
"""been""","Tigard, OR, USA",mcpcmp
"""been""","Santa Fe, NM, USA",mcpcmp
"""been""","Newcomb, NM, USA",mcpcmp
"""been""","Cantwell, AK, USA",mcpcmp
"""been""","Mexicali, Mexico",mcpcmp
"""been""","Three Rivers, CA, USA",mcpcmp
"""been""","Sitka, AK, USA",mcpcmp
"""been""","Aztec, NM, USA",mcpcmp
"""been""","Walker, CA, USA",mcpcmp
"""been""","Gardiner, MT, USA",mcpcmp
"""been""","Turlock, CA, USA",mcpcmp
"""been""","Olympia, WA, USA",mcpcmp
"""been""","Buffalo, NY, USA",mcpcmp
"""been""","Flagstaff, AZ, USA",mcpcmp
"""been""","Tulare, CA, USA",mcpcmp
"""been""","Tuolumne, CA, USA",mcpcmp
"""been""","Truckee, CA, USA",mcpcmp
"""been""","Trinidad, CA, USA",mcpcmp
"""been""","Sikanni Chief, British Columbia, Canada",mcpcmp
"""been""","Laramie, WY, USA",mcpcmp
"""been""","Boston, MA, USA",mcpcmp
"""been""","Bodega Bay, CA, USA",mcpcmp
"""been""","Topaz, CA, USA",mcpcmp
"""been""","Virginia City, NV, USA",mcpcmp
"""been""","Wells, NV, USA",mcpcmp
"""been""","Wellington, NV, USA",mcpcmp
"""been""","Winnemucca, NV, USA",mcpcmp
"""been""","West Wendover, NV, USA",mcpcmp
"""been""","Zephyr Cove, NV, USA",mcpcmp
"""been""","Fort Liard, Northwest Territories, Canada",mcpcmp
"""been""","Yerington, NV, USA",mcpcmp
"""been""","Lourdes, France",mcpcmp
"""been""","Toulouse, France",mcpcmp
"""been""","Salmon, ID, USA",mcpcmp
"""been""","South Bend, IN, USA",mcpcmp
"""been""","Pasco, WA, USA",mcpcmp
"""been""","Thousand Palms, CA, USA",mcpcmp
"""been""","Blythe, CA, USA",mcpcmp
"""been""","Chinle, AZ, USA",mcpcmp
"""been""","Sandpoint, ID, USA",mcpcmp
"""been""","Yale, British Columbia, Canada",mcpcmp
"""been""","Copper Center, AK, USA",mcpcmp
"""been""","Verdi, NV, USA",mcpcmp
"""been""","Rupert, ID, USA",mcpcmp
"""been""","Bishop, CA, USA",mcpcmp
"""been""","Central Point, OR, USA",mcpcmp
"""been""","Sparks, NV, USA",mcpcmp
"""been""","Smith, NV, USA",mcpcmp
"""been""","Stateline, NV, USA",mcpcmp
"""been""","West Yellowstone, MT, USA",mcpcmp
"""been""","Warmsprings, MT, USA",mcpcmp
"""been""","Tonopah, NV, USA",mcpcmp
"""been""","Sun Valley, NV, USA",mcpcmp
"""been""","Provo, UT, USA",mcpcmp
"""been""","Chemult, OR, USA",mcpcmp
"""been""","Charleston, OR, USA",mcpcmp
"""been""","Vanderhoof, British Columbia, Canada",mcpcmp
"""been""","Rigby, ID, USA",mcpcmp
"""been""","Temecula, CA, USA",mcpcmp
"""been""","Big Pine, CA, USA",mcpcmp
"""been""","Cedar City, UT, USA",mcpcmp
"""been""","Port Townsend, WA, USA",mcpcmp
"""been""","New York City, NY, USA",mcpcmp
"""been""","Ventura, CA, USA",mcpcmp
"""been""","Santa Nella, CA, USA",mcpcmp
"""been""","Ponta Delgada, Portugal",mcpcmp
"""been""","Cottage Grove, OR, USA",mcpcmp
"""been""","Coos Bay, OR, USA",mcpcmp
"""been""","San Miguel, CA, USA",mcpcmp
"""been""","Richmond, VA, USA",mcpcmp
"""been""","Williams, CA, USA",mcpcmp
"""been""","Cathedral City, CA, USA",mcpcmp
"""been""","Willits, CA, USA",mcpcmp
"""been""","Castroville, CA, USA",mcpcmp
"""been""","Cambridge, MA, USA",mcpcmp
"""been""","Cayucos, CA, USA",mcpcmp
"""been""","San Rafael, CA, USA",mcpcmp
"""been""","Independence, CA, USA",mcpcmp
"""been""","Atlanta, GA, USA",mcpcmp
"""been""","Lakeview, OR, USA",mcpcmp
"""been""","Lolo, MT, USA",mcpcmp
"""been""","Heber City, UT, USA",mcpcmp
"""been""","San Simeon, CA, USA",mcpcmp
"""been""","Lincoln City, OR, USA",mcpcmp
"""been""","Carmel Valley, CA, USA",mcpcmp
"""been""","Kissimmee, FL, USA",mcpcmp
"""been""","Bainbridge Island, WA, USA",mcpcmp
"""been""","Carmel, CA, USA",mcpcmp
"""been""","Palmer, AK, USA",mcpcmp
"""been""","San Jose, CA, USA",mcpcmp
"""been""","Paxson, AK, USA",mcpcmp
"""been""","San Luis Obispo, CA, USA",mcpcmp
"""been""","Whittier, CA, USA",mcpcmp
"""been""","Ellis, ID, USA",mcpcmp
"""been""","Utica, NY, USA",mcpcmp
"""been""","70 Mile House, British Columbia, Canada",mcpcmp
"""been""","Taylor, British Columbia, Canada",mcpcmp
"""been""","Tagish, Yukon, Canada",mcpcmp
"""been""","Muncho Lake, British Columbia, Canada",mcpcmp
"""been""","Carlsbad, CA, USA",mcpcmp
"""been""","Hope Valley, CA, USA",mcpcmp
"""been""","Madras, OR, USA",mcpcmp
"""been""","Chadron, NE, USA",mcpcmp
"""been""","Collegeville, CA, USA",mcpcmp
"""been""","Fatima, Portugal",mcpcmp
"""been""","Cape Canaveral, FL, USA",mcpcmp
"""been""","Lisbon, Portugal",mcpcmp
"""been""","Mapleton, OR, USA",mcpcmp
"""been""","Maryhill, WA, USA",mcpcmp
"""been""","West Hollywood, CA, USA",mcpcmp
"""been""","Ninilchik, AK, USA",mcpcmp
"""been""","Atlin, British Columbia, Canada",mcpcmp
"""been""","West Covina, CA, USA",mcpcmp
"""been""","San Fernando, CA, USA",mcpcmp
"""been""","Lac La Hache, British Columbia, Canada",mcpcmp
"""been""","North Pole, AK, USA",mcpcmp
"""been""","Capitola, CA, USA",mcpcmp
"""been""","San Dimas, CA, USA",mcpcmp
"""been""","Cheyenne, WY, USA",mcpcmp
"""been""","Casper, WY, USA",mcpcmp
"""been""","Bellingham, WA, USA",mcpcmp
"""been""","McMinnville, OR, USA",mcpcmp
"""been""","Medford, OR, USA",mcpcmp
"""been""","Rochester, NY, USA",mcpcmp
"""been""","Kalispell, MT, USA",mcpcmp
"""been""","Watsonville, CA, USA",mcpcmp
"""been""","Cody, WY, USA",mcpcmp
"""been""","Camino, CA, USA",mcpcmp
"""been""","Weimar, CA, USA",mcpcmp
"""been""","Foresthill, CA, USA",mcpcmp
"""been""","Nenana, AK, USA",mcpcmp
"""been""","Salinas, CA, USA",mcpcmp
"""been""","Campo Seco, CA, USA",mcpcmp
"""been""","Moose Pass, AK, USA",mcpcmp
"""been""","Kanab, UT, USA",mcpcmp
"""been""","Fontana, CA, USA",mcpcmp
"""been""","Milwaukie, OR, USA",mcpcmp
"""been""","San Andreas, CA, USA",mcpcmp
"""been""","San Bernardino, CA, USA",mcpcmp
"""been""","Visalia, CA, USA",mcpcmp
"""been""","Lehi, UT, USA",mcpcmp
"""been""","Nogales, AZ, USA",mcpcmp
"""been""","Firebaugh, CA, USA",mcpcmp
"""been""","Fish Camp, CA, USA",mcpcmp
"""been""","Volcano, CA, USA",mcpcmp
"""been""","Logan, UT, USA",mcpcmp
"""been""","Myrtle Creek, OR, USA",mcpcmp
"""been""","Mount Angel, OR, USA",mcpcmp
"""been""","Cambria, CA, USA",mcpcmp
"""been""","Netarts, OR, USA",mcpcmp
"""been""","Coeur d'Alene, ID, USA",mcpcmp
"""been""","Fallen Leaf, CA, USA",mcpcmp
