tag,place,user
"""been""","Nuevo Vallarta, Mexico",michaelbQ3546UR
"""been""","La Romana, Dominican Republic",michaelbQ3546UR
"""been""","Grand Case, St Martin \u002F St Maarten",michaelbQ3546UR
"""been""","Juan Dolio, Dominican Republic",michaelbQ3546UR
"""been""","Boca Chica, Dominican Republic",michaelbQ3546UR
"""been""","Simpson Bay, St Martin \u002F St Maarten",michaelbQ3546UR
"""been""","Sitges, Spain",michaelbQ3546UR
"""been""","Sardinal, Costa Rica",michaelbQ3546UR
"""want""","St Martin \u002F St Maarten, Caribbean",michaelbQ3546UR
"""been""","Philipsburg, St Martin \u002F St Maarten",michaelbQ3546UR
"""been""","Nimes, France",michaelbQ3546UR
"""been""","Maho, St Martin \u002F St Maarten",michaelbQ3546UR
"""want""","Cancun, Mexico",michaelbQ3546UR
"""been""","West Hollywood, CA, USA",michaelbQ3546UR
"""been""","Paris, France",michaelbQ3546UR
"""been""","Dijon, France",michaelbQ3546UR
"""been""","Guayacanes, Dominican Republic",michaelbQ3546UR
"""been""","Los Angeles, CA, USA",michaelbQ3546UR
"""been""","Puerto Vallarta, Mexico",michaelbQ3546UR
"""been""","Toronto, Ontario, Canada",michaelbQ3546UR
