tag,place,user
"""been""","Kansas City, KS, USA",michelleshanksbrown
"""been""","Cape Canaveral, FL, USA",michelleshanksbrown
"""been""","Ontario, CA, USA",michelleshanksbrown
"""been""","San Antonio, TX, USA",michelleshanksbrown
"""been""","San Francisco, CA, USA",michelleshanksbrown
"""been""","Orlando, FL, USA",michelleshanksbrown
"""been""","Huntington Beach, CA, USA",michelleshanksbrown
"""been""","Kansas City, MO, USA",michelleshanksbrown
"""been""","Los Angeles, CA, USA",michelleshanksbrown
"""been""","Phoenix, AZ, USA",michelleshanksbrown
"""been""","Buena Park, CA, USA",michelleshanksbrown
