tag,place,user
"""been""","Mesquite, NV, USA",mikeconnors1
"""been""","Henderson, NV, USA",mikeconnors1
"""been""","Hurricane, UT, USA",mikeconnors1
"""been""","Yermo, CA, USA",mikeconnors1
"""been""","Oatman, AZ, USA",mikeconnors1
"""been""","La Quinta, CA, USA",mikeconnors1
"""been""","Indian Wells, CA, USA",mikeconnors1
"""been""","Palm Springs, CA, USA",mikeconnors1
"""been""","Long Beach, CA, USA",mikeconnors1
"""been""","Palm Desert, CA, USA",mikeconnors1
"""been""","San Diego, CA, USA",mikeconnors1
"""been""","Amargosa Valley, NV, USA",mikeconnors1
"""been""","Las Vegas, NV, USA",mikeconnors1
"""been""","Overton, NV, USA",mikeconnors1
"""been""","Blue Diamond, NV, USA",mikeconnors1
"""been""","Punta de Mita, Mexico",mikeconnors1
"""been""","Carlsbad, CA, USA",mikeconnors1
"""been""","Big Bear City, CA, USA",mikeconnors1
"""been""","Fawnskin, CA, USA",mikeconnors1
"""been""","Santa Barbara, CA, USA",mikeconnors1
"""been""","Seal Beach, CA, USA",mikeconnors1
"""been""","Coronado, CA, USA",mikeconnors1
"""been""","Baker, CA, USA",mikeconnors1
"""been""","Death Valley Junction, CA, USA",mikeconnors1
"""been""","Santa Clarita, CA, USA",mikeconnors1
"""been""","Huntington Beach, CA, USA",mikeconnors1
"""been""","Big Bear Lake, CA, USA",mikeconnors1
"""been""","St. George, UT, USA",mikeconnors1
"""been""","Los Angeles, CA, USA",mikeconnors1
"""been""","Zion National Park, UT, USA",mikeconnors1
"""been""","Willow Beach, AZ, USA",mikeconnors1
