tag,place,user
"""been""","Blue Ridge, GA, USA",mjpphd
"""been""","Sandestin, FL, USA",mjpphd
"""been""","Newton, MA, USA",mjpphd
"""been""","McCaysville, GA, USA",mjpphd
"""been""","Chattanooga, TN, USA",mjpphd
"""been""","Decatur, GA, USA",mjpphd
"""been""","Delray Beach, FL, USA",mjpphd
"""been""","Norcross, GA, USA",mjpphd
"""been""","Miramar Beach, FL, USA",mjpphd
"""been""","Lugo, Italy",mjpphd
"""been""","Asheville, NC, USA",mjpphd
"""been""","Johns Creek, GA, USA",mjpphd
"""been""","Rancho Mirage, CA, USA",mjpphd
"""been""","Roseville, CA, USA",mjpphd
"""been""","Alpharetta, GA, USA",mjpphd
"""been""","Gardiner, MT, USA",mjpphd
"""been""","Santa Fe, NM, USA",mjpphd
"""been""","Virginia Beach, VA, USA",mjpphd
"""been""","Mebane, NC, USA",mjpphd
"""been""","Boca Raton, FL, USA",mjpphd
"""been""","Oviedo, FL, USA",mjpphd
"""been""","Ball Ground, GA, USA",mjpphd
"""been""","La Fortuna de San Carlos, Costa Rica",mjpphd
"""been""","Los Angeles, CA, USA",mjpphd
"""been""","Kannapolis, NC, USA",mjpphd
"""been""","Chester, VA, USA",mjpphd
"""been""","Dunwoody, GA, USA",mjpphd
"""been""","Gaffney, SC, USA",mjpphd
"""been""","Chesapeake, VA, USA",mjpphd
"""been""","Pasadena, CA, USA",mjpphd
"""been""","Peachtree Corners, GA, USA",mjpphd
"""been""","Sandy Springs, GA, USA",mjpphd
"""been""","Stockholm, Sweden",mjpphd
"""been""","Marietta, GA, USA",mjpphd
"""been""","Manuel Antonio, Costa Rica",mjpphd
"""been""","Rome, Italy",mjpphd
"""been""","Montevarchi, Italy",mjpphd
"""been""","Venice, Italy",mjpphd
"""been""","Taos, NM, USA",mjpphd
"""been""","Flat Rock, NC, USA",mjpphd
"""been""","Hendersonville, NC, USA",mjpphd
"""been""","Savannah, GA, USA",mjpphd
"""been""","Albuquerque, NM, USA",mjpphd
"""been""","Palm Desert, CA, USA",mjpphd
"""been""","Ravenna, Italy",mjpphd
"""been""","Palm Springs, CA, USA",mjpphd
"""been""","Roanoke, VA, USA",mjpphd
"""been""","Staunton, VA, USA",mjpphd
"""been""","Grand Teton National Park, WY, USA",mjpphd
"""been""","Christiansburg, VA, USA",mjpphd
"""been""","Greenville, SC, USA",mjpphd
"""been""","Huntsville, AL, USA",mjpphd
"""been""","Santa Elena, Costa Rica",mjpphd
"""been""","Roswell, GA, USA",mjpphd
"""been""","Fort Bragg, CA, USA",mjpphd
"""been""","Jackson, WY, USA",mjpphd
"""been""","Huatulco, Mexico",mjpphd
"""been""","Harrisonburg, VA, USA",mjpphd
"""been""","Richmond, VA, USA",mjpphd
"""been""","Chamblee, GA, USA",mjpphd
"""been""","Clinton, NJ, USA",mjpphd
"""been""","Atlanta, GA, USA",mjpphd
