tag,place,user
"""been""","Hermosa Beach, CA, USA",moel_teithiwr
"""been""","Bassano Del Grappa, Italy",moel_teithiwr
"""been""","Versailles, KY, USA",moel_teithiwr
"""been""","Halls Gap, Australia",moel_teithiwr
"""been""","Fairmont, WV, USA",moel_teithiwr
"""been""","Frankfort, KY, USA",moel_teithiwr
"""been""","Dent, UK",moel_teithiwr
"""want""","Ronda, Spain",moel_teithiwr
"""been""","Lavers Hill, Australia",moel_teithiwr
"""been""","Hillsville, VA, USA",moel_teithiwr
"""been""","Indio, CA, USA",moel_teithiwr
"""been""","Boone, NC, USA",moel_teithiwr
"""been""","Alexandria, VA, USA",moel_teithiwr
"""been""","Sevierville, TN, USA",moel_teithiwr
"""been""","Rolling Hills Estates, CA, USA",moel_teithiwr
"""been""","Strasburg, VA, USA",moel_teithiwr
"""been""","Phoenix, AZ, USA",moel_teithiwr
"""been""","Wieden, Germany",moel_teithiwr
"""been""","Sedona, AZ, USA",moel_teithiwr
"""been""","Saratoga, WY, USA",moel_teithiwr
"""been""","Forest, VA, USA",moel_teithiwr
"""been""","Staunton, VA, USA",moel_teithiwr
"""been""","Santa Monica, CA, USA",moel_teithiwr
"""been""","Zell (Mosel), Germany",moel_teithiwr
"""been""","San Diego, CA, USA",moel_teithiwr
"""been""","Waynesboro, VA, USA",moel_teithiwr
"""been""","Pinedale, WY, USA",moel_teithiwr
"""been""","Tucson, AZ, USA",moel_teithiwr
"""been""","Greenwood Village, CO, USA",moel_teithiwr
"""been""","Frostburg, MD, USA",moel_teithiwr
"""been""","Lynchburg, VA, USA",moel_teithiwr
"""been""","Pasadena, CA, USA",moel_teithiwr
"""been""","Oceanside, CA, USA",moel_teithiwr
"""been""","Gardiner, OR, USA",moel_teithiwr
"""been""","Los Angeles, CA, USA",moel_teithiwr
"""been""","La Jolla, CA, USA",moel_teithiwr
"""been""","Hawthorne, CA, USA",moel_teithiwr
"""been""","Prescott, AZ, USA",moel_teithiwr
"""been""","Mount Lemmon, AZ, USA",moel_teithiwr
"""been""","Warburton, Australia",moel_teithiwr
