tag,place,user
"""been""","Green Bay, WI, USA",mscud1
"""been""","Big Sky, MT, USA",mscud1
"""been""","El Cajon, CA, USA",mscud1
"""been""","Murrells Inlet, SC, USA",mscud1
"""been""","El Centro, CA, USA",mscud1
"""been""","Girdwood, AK, USA",mscud1
"""been""","Anna Maria, FL, USA",mscud1
"""been""","Dover, NH, USA",mscud1
"""been""","Brattleboro, VT, USA",mscud1
"""been""","Worcester, MA, USA",mscud1
"""been""","Hoffman Estates, IL, USA",mscud1
"""been""","Toronto, Ontario, Canada",mscud1
"""been""","Bozeman, MT, USA",mscud1
"""been""","Big Pine Key, FL, USA",mscud1
"""been""","Dahlonega, GA, USA",mscud1
"""been""","Amarillo, TX, USA",mscud1
"""been""","Florence, Italy",mscud1
"""been"",""fave""","Mesa Verde National Park, CO, USA",mscud1
"""been""","Livorno, Italy",mscud1
"""been""","La Jolla, CA, USA",mscud1
"""been""","Telluride, CO, USA",mscud1
"""been""","La Mesa, CA, USA",mscud1
"""been""","Pisa, Italy",mscud1
"""been"",""fave""","Siesta Key, FL, USA",mscud1
"""been""","Orlando, FL, USA",mscud1
"""been""","Nashua, NH, USA",mscud1
"""been""","Concord, NH, USA",mscud1
"""been""","Waimea, HI, USA",mscud1
"""been""","Holmes Beach, FL, USA",mscud1
"""been""","Julian, CA, USA",mscud1
"""been"",""fave""","Grand Canyon National Park, AZ, USA",mscud1
"""been""","Grand Teton National Park, WY, USA",mscud1
"""been""","St. Petersburg, FL, USA",mscud1
"""been""","Washington DC, DC, USA",mscud1
"""been""","Gila Bend, AZ, USA",mscud1
"""been""","Portland, OR, USA",mscud1
"""been""","Birmingham, AL, USA",mscud1
"""been""","Sedona, AZ, USA",mscud1
"""been""","Malibu, CA, USA",mscud1
"""been""","Woburn, MA, USA",mscud1
"""been""","Manteca, CA, USA",mscud1
"""been""","Manchester, NH, USA",mscud1
"""been""","Sarasota, FL, USA",mscud1
"""been""","Rome, Italy",mscud1
"""been""","Kansas City, MO, USA",mscud1
"""been""","Bodega Bay, CA, USA",mscud1
"""been""","Sausalito, CA, USA",mscud1
"""been""","Afton, WY, USA",mscud1
"""been""","Toledo, OH, USA",mscud1
"""been""","Borrego Springs, CA, USA",mscud1
"""been""","Idaho Falls, ID, USA",mscud1
"""been""","Normal, IL, USA",mscud1
"""been""","Longboat Key, FL, USA",mscud1
"""been""","New Haven, CT, USA",mscud1
"""been""","Pine Valley, CA, USA",mscud1
"""been""","Napa, CA, USA",mscud1
"""been""","Inglewood, CA, USA",mscud1
"""been""","Venice, FL, USA",mscud1
"""been""","San Gimignano, Italy",mscud1
"""been"",""fave""","Siena, Italy",mscud1
"""been""","Saratoga Springs, NY, USA",mscud1
"""been""","Philadelphia, PA, USA",mscud1
"""been""","Saint Louis, MO, USA",mscud1
"""been""","Cottonwood, AZ, USA",mscud1
"""been""","Sugar Land, TX, USA",mscud1
"""been""","Los Angeles, CA, USA",mscud1
"""been""","Louisville, KY, USA",mscud1
"""been""","Jacumba, CA, USA",mscud1
"""been""","Chicago, IL, USA",mscud1
"""been""","Rutland, VT, USA",mscud1
"""been""","Bellingham, WA, USA",mscud1
"""been""","Federal Way, WA, USA",mscud1
"""been""","Keene, NH, USA",mscud1
"""been""","Waimanalo, HI, USA",mscud1
"""been""","Las Vegas, NV, USA",mscud1
"""been""","Bethesda, MD, USA",mscud1
"""been""","Wichita, KS, USA",mscud1
"""been""","Yuma, AZ, USA",mscud1
"""been""","Winterhaven, CA, USA",mscud1
"""been""","Pittsburgh, PA, USA",mscud1
"""been""","Santa Barbara, CA, USA",mscud1
"""been""","Overland Park, KS, USA",mscud1
"""been""","Appleton, WI, USA",mscud1
"""been""","Atlanta, GA, USA",mscud1
"""been""","San Simeon, CA, USA",mscud1
"""been""","Midland, TX, USA",mscud1
"""been""","Holtville, CA, USA",mscud1
"""been""","Dover, DE, USA",mscud1
"""been""","Pebble Beach, CA, USA",mscud1
"""been""","Morro Bay, CA, USA",mscud1
"""been""","Memphis, TN, USA",mscud1
"""been"",""fave""","Lanikai, HI, USA",mscud1
"""been"",""fave""","Sunset Beach, HI, USA",mscud1
"""been""","Clearwater, FL, USA",mscud1
"""been""","Santa Monica, CA, USA",mscud1
"""been""","Mountain View, CA, USA",mscud1
"""been""","Santa Cruz, CA, USA",mscud1
"""been""","Haleiwa, HI, USA",mscud1
"""been""","Livermore, CA, USA",mscud1
"""been""","Sandy, UT, USA",mscud1
"""been""","Boulder City, NV, USA",mscud1
"""been""","Akron, OH, USA",mscud1
"""been""","Anchorage, AK, USA",mscud1
"""been""","Omaha, NE, USA",mscud1
"""been""","New York City, NY, USA",mscud1
"""been""","Roscoe, NY, USA",mscud1
"""been""","Carlsbad, CA, USA",mscud1
"""been""","Carmel, CA, USA",mscud1
"""been""","San Juan Capistrano, CA, USA",mscud1
"""been""","San Leandro, CA, USA",mscud1
"""been""","Denver, CO, USA",mscud1
"""been""","Poulsbo, WA, USA",mscud1
"""been""","Marathon, FL, USA",mscud1
"""been""","Paris, France",mscud1
"""been""","Pacific Grove, CA, USA",mscud1
"""been""","Cardiff-by-the-Sea, CA, USA",mscud1
"""been""","Seattle, WA, USA",mscud1
"""been""","Pacifica, CA, USA",mscud1
"""been""","Odessa, TX, USA",mscud1
"""been""","Mojave, CA, USA",mscud1
"""been""","Stamford, CT, USA",mscud1
"""been""","Cincinnati, OH, USA",mscud1
"""been""","San Diego, CA, USA",mscud1
"""been"",""fave""","Big Sur, CA, USA",mscud1
"""been""","Athens, GA, USA",mscud1
"""been""","Portsmouth, NH, USA",mscud1
"""been""","Williams, AZ, USA",mscud1
"""been""","Lacey, WA, USA",mscud1
"""been"",""want""","Berkeley, CA, USA",mscud1
"""been""","Colchester, VT, USA",mscud1
"""been""","San Luis Obispo, CA, USA",mscud1
"""been""","Cape Coral, FL, USA",mscud1
"""been""","Boston, MA, USA",mscud1
"""been""","Topeka, KS, USA",mscud1
"""been""","Carson City, NV, USA",mscud1
"""been""","Monterey, CA, USA",mscud1
"""been""","Honolulu, HI, USA",mscud1
"""been""","Cooperstown, NY, USA",mscud1
"""been""","Lexington, KY, USA",mscud1
"""been""","St. Helena, CA, USA",mscud1
"""been""","Colorado Springs, CO, USA",mscud1
"""been""","Nenana, AK, USA",mscud1
"""been""","Walnut Creek, CA, USA",mscud1
"""been""","Cambria, CA, USA",mscud1
"""been""","Montpelier, ID, USA",mscud1
"""been""","Cortez, CO, USA",mscud1
"""been""","Madison, WI, USA",mscud1
"""want""","Flagstaff, AZ, USA",mscud1
"""been""","Grand Island, NE, USA",mscud1
"""been""","Stockton, CA, USA",mscud1
"""been""","San Clemente, CA, USA",mscud1
"""been""","Del Mar, CA, USA",mscud1
"""been"",""want""","Key West, FL, USA",mscud1
"""been""","Knoxville, TN, USA",mscud1
"""been""","Myakka City, FL, USA",mscud1
"""been""","Bakersfield, CA, USA",mscud1
"""been""","Dana Point, CA, USA",mscud1
"""been""","Montpelier, VT, USA",mscud1
"""been"",""fave""","Moab, UT, USA",mscud1
"""been""","Burlington, VT, USA",mscud1
"""been""","Charlotte, NC, USA",mscud1
"""been""","Hartford, CT, USA",mscud1
"""been""","Coronado, CA, USA",mscud1
"""been""","Solana Beach, CA, USA",mscud1
"""been"",""fave""","San Francisco, CA, USA",mscud1
"""been""","Lewiston, ID, USA",mscud1
"""been""","Yosemite National Park, CA, USA",mscud1
"""been""","Olive Branch, MS, USA",mscud1
"""been""","Oakhurst, CA, USA",mscud1
"""been""","La Grange, KY, USA",mscud1
"""been""","Columbus, OH, USA",mscud1
"""been""","Fish Camp, CA, USA",mscud1
"""been""","Antioch, CA, USA",mscud1
"""been""","Killington, VT, USA",mscud1
"""been""","Tampa, FL, USA",mscud1
"""been""","Sonoma, CA, USA",mscud1
"""been""","Oakland, CA, USA",mscud1
"""been""","Miami, FL, USA",mscud1
"""been""","Hilton Head, SC, USA",mscud1
"""been""","Brooklyn, NY, USA",mscud1
"""been""","Fairbanks, AK, USA",mscud1
"""been"",""fave""","Rosia, Italy",mscud1
"""been""","Oceanside, CA, USA",mscud1
"""been""","Ocotillo, CA, USA",mscud1
"""been""","Nashville, TN, USA",mscud1
"""been""","Kingman, AZ, USA",mscud1
"""been""","Monument, CO, USA",mscud1
"""been""","Teec Nos Pos, AZ, USA",mscud1
"""been""","Mount Vernon, WA, USA",mscud1
"""been""","Frisco, CO, USA",mscud1
"""been""","Laguna Beach, CA, USA",mscud1
"""been""","Half Moon Bay, CA, USA",mscud1
"""been""","Lake Placid, NY, USA",mscud1
"""been""","Ogden, UT, USA",mscud1
"""been""","Sequoia and Kings Canyon National Park, CA, USA",mscud1
"""been""","Jackson, WY, USA",mscud1
"""been""","Grand Junction, CO, USA",mscud1
"""been""","Georgetown, SC, USA",mscud1
"""been""","Concord, CA, USA",mscud1
"""been""","Panama City Beach, FL, USA",mscud1
"""been""","Montreal, Quebec, Canada",mscud1
"""been""","Salt Lake City, UT, USA",mscud1
"""been""","Atlantic City, NJ, USA",mscud1
"""been""","Escondido, CA, USA",mscud1
"""been""","Breckenridge, CO, USA",mscud1
"""been""","Bedford, TX, USA",mscud1
"""been""","Toms River, NJ, USA",mscud1
"""been""","Lake George, NY, USA",mscud1
