tag,place,user
"""been"",""want"",""fave""","Charleston, SC, USA",mtodd54
"""been""","Springfield, MO, USA",mtodd54
"""been"",""want""","Madrid, Spain",mtodd54
"""been""","Bucharest, Romania",mtodd54
"""been""","Anaheim, CA, USA",mtodd54
"""been""","Roanoke, VA, USA",mtodd54
"""been""","Dubai, United Arab Emirates",mtodd54
"""been""","Jackson, MS, USA",mtodd54
"""been""","Truckee, CA, USA",mtodd54
"""been""","Jacksonville Beach, FL, USA",mtodd54
"""been""","Newport News, VA, USA",mtodd54
"""been""","South San Francisco, CA, USA",mtodd54
"""been""","Oceanside, CA, USA",mtodd54
"""been""","Chicago, IL, USA",mtodd54
"""been"",""want""","Charlotte, NC, USA",mtodd54
"""want""","Bern, Switzerland",mtodd54
"""been""","Springfield, MA, USA",mtodd54
"""been""","Minneapolis, MN, USA",mtodd54
"""been""","Biloxi, MS, USA",mtodd54
"""want""","Geneva, Switzerland",mtodd54
"""been""","Kansas City, MO, USA",mtodd54
"""been"",""fave""","Brasov, Romania",mtodd54
"""been""","Columbia, MO, USA",mtodd54
"""been""","Manhattan, KS, USA",mtodd54
"""been"",""fave""","Valencia, Spain",mtodd54
"""want""","Columbia, SC, USA",mtodd54
"""been"",""fave""","Los Angeles, CA, USA",mtodd54
"""been""","Miami, FL, USA",mtodd54
"""been""","Fresno, CA, USA",mtodd54
"""been""","Tampa, FL, USA",mtodd54
"""been""","Keystone, CO, USA",mtodd54
"""been""","Austin, TX, USA",mtodd54
"""been""","Dallas, TX, USA",mtodd54
"""been""","Houston, TX, USA",mtodd54
"""been""","Primm, NV, USA",mtodd54
"""been""","Surfside Beach, SC, USA",mtodd54
"""want""","Wilmington, NC, USA",mtodd54
"""want""","Lucerne, Switzerland",mtodd54
"""been""","Lisbon, Portugal",mtodd54
"""been""","Reno, NV, USA",mtodd54
"""been""","Flagstaff, AZ, USA",mtodd54
"""been""","San Diego, CA, USA",mtodd54
"""been""","Wheeling, WV, USA",mtodd54
"""been""","Virginia Beach, VA, USA",mtodd54
"""been""","Huntsville, AL, USA",mtodd54
"""been""","Burbank, CA, USA",mtodd54
"""been""","Gulf Shores, AL, USA",mtodd54
"""been"",""want"",""fave""","Myrtle Beach, SC, USA",mtodd54
"""been""","Murrells Inlet, SC, USA",mtodd54
"""been""","Phoenix, AZ, USA",mtodd54
"""been""","Cocoa Beach, FL, USA",mtodd54
"""been""","Akron, OH, USA",mtodd54
"""been""","Florence, SC, USA",mtodd54
"""want""","Caen, France",mtodd54
"""been""","Charleston, WV, USA",mtodd54
"""been""","Sacramento, CA, USA",mtodd54
"""been""","Topeka, KS, USA",mtodd54
"""been""","Atlantic City, NJ, USA",mtodd54
"""been""","Boston, MA, USA",mtodd54
"""been""","Big Sur, CA, USA",mtodd54
"""been"",""fave""","Asheville, NC, USA",mtodd54
"""been""","Boulder City, NV, USA",mtodd54
"""been""","Detroit, MI, USA",mtodd54
"""been""","Beverly Hills, CA, USA",mtodd54
"""been""","Golden, CO, USA",mtodd54
"""been""","Wichita, KS, USA",mtodd54
"""been""","Breckenridge, CO, USA",mtodd54
"""been""","Boulder, CO, USA",mtodd54
"""been""","Encinitas, CA, USA",mtodd54
"""been""","West Chester, PA, USA",mtodd54
"""been""","Canton, OH, USA",mtodd54
"""been""","Black Hawk, CO, USA",mtodd54
"""been""","Nassau, Bahamas",mtodd54
"""been""","Pebble Beach, CA, USA",mtodd54
"""been""","Todos Santos, Mexico",mtodd54
"""been""","Branson, MO, USA",mtodd54
"""been""","Neuilly-sur-Seine, France",mtodd54
"""been""","Ocean City, MD, USA",mtodd54
"""been""","Seattle, WA, USA",mtodd54
"""been""","Lake Ozark, MO, USA",mtodd54
"""been""","Brattleboro, VT, USA",mtodd54
"""been""","Cincinnati, OH, USA",mtodd54
"""been""","Weehawken, NJ, USA",mtodd54
"""been""","Milwaukee, WI, USA",mtodd54
"""been""","North Myrtle Beach, SC, USA",mtodd54
"""been""","Overland Park, KS, USA",mtodd54
"""been""","Tempe, AZ, USA",mtodd54
"""been""","Kingman, AZ, USA",mtodd54
"""been""","Vail, CO, USA",mtodd54
"""been""","Waco, TX, USA",mtodd54
"""been""","Beaver Creek, CO, USA",mtodd54
"""been""","Greenwich, CT, USA",mtodd54
"""been""","Tyler, TX, USA",mtodd54
"""been""","North Miami Beach, FL, USA",mtodd54
"""been""","Porto, Portugal",mtodd54
"""been""","Fort Worth, TX, USA",mtodd54
"""been""","Corpus Christi, TX, USA",mtodd54
"""been""","Cleveland, OH, USA",mtodd54
"""been""","Monterey, CA, USA",mtodd54
"""been"",""fave""","Jacksonville, FL, USA",mtodd54
"""been""","Hoboken, NJ, USA",mtodd54
"""been""","Little Rock, AR, USA",mtodd54
"""been""","Omaha, NE, USA",mtodd54
"""been""","New York City, NY, USA",mtodd54
"""been""","Freeport, Bahamas",mtodd54
"""been""","Lawrence, KS, USA",mtodd54
"""want""","Pawleys Island, SC, USA",mtodd54
"""been""","Carlsbad, CA, USA",mtodd54
"""been""","Memphis, TN, USA",mtodd54
"""been""","Gulfport, MS, USA",mtodd54
"""been"",""fave""","La Jolla, CA, USA",mtodd54
"""been""","Siesta Key, FL, USA",mtodd54
"""been""","Orlando, FL, USA",mtodd54
"""been""","Fort Collins, CO, USA",mtodd54
"""been""","Denver, CO, USA",mtodd54
"""been""","Holladay, UT, USA",mtodd54
"""been""","Pittsburgh, PA, USA",mtodd54
"""been""","Sparks, NV, USA",mtodd54
"""been"",""fave""","Melbourne, Australia",mtodd54
"""been""","Nashville, TN, USA",mtodd54
"""been"",""fave""","Brisbane, Australia",mtodd54
"""been""","Manitou Springs, CO, USA",mtodd54
"""been""","Baltimore, MD, USA",mtodd54
"""been""","Atlanta, GA, USA",mtodd54
"""been"",""fave""","Sydney, Australia",mtodd54
"""been""","West Hollywood, CA, USA",mtodd54
"""been""","Sao Paulo, Brazil",mtodd54
"""been""","Scottsdale, AZ, USA",mtodd54
"""been""","Stockton, CA, USA",mtodd54
"""been"",""fave""","South Lake Tahoe, CA, USA",mtodd54
"""been""","Oklahoma City, OK, USA",mtodd54
"""been""","Cripple Creek, CO, USA",mtodd54
"""been""","Fort Lauderdale, FL, USA",mtodd54
"""been""","Glendale, AZ, USA",mtodd54
"""been""","Del Mar, CA, USA",mtodd54
"""been""","Snowmass Village, CO, USA",mtodd54
"""been""","Chattanooga, TN, USA",mtodd54
"""been""","Galveston, TX, USA",mtodd54
"""been""","Brooklyn, NY, USA",mtodd54
"""been""","Laughlin, NV, USA",mtodd54
"""been""","Estes Park, CO, USA",mtodd54
"""been""","Las Vegas, NV, USA",mtodd54
"""want""","Zurich, Switzerland",mtodd54
"""been"",""fave""","Paris, France",mtodd54
"""been""","Dayton, OH, USA",mtodd54
"""been""","Jersey City, NJ, USA",mtodd54
"""been""","San Juan, Puerto Rico",mtodd54
"""been""","Osage Beach, MO, USA",mtodd54
"""been""","London, UK",mtodd54
"""been""","Culver City, CA, USA",mtodd54
"""been""","Plano, TX, USA",mtodd54
"""been""","Aspen, CO, USA",mtodd54
"""been""","Daytona Beach, FL, USA",mtodd54
"""been""","Kansas City, KS, USA",mtodd54
"""been""","Eureka Springs, AR, USA",mtodd54
"""been""","Morgantown, WV, USA",mtodd54
"""been""","Portland, OR, USA",mtodd54
"""been""","Colorado Springs, CO, USA",mtodd54
"""been""","Birmingham, AL, USA",mtodd54
"""been""","Cabo San Lucas, Mexico",mtodd54
"""been""","San Jose del Cabo, Mexico",mtodd54
"""been""","Tuscaloosa, AL, USA",mtodd54
"""been""","San Antonio, TX, USA",mtodd54
"""been""","Washington DC, DC, USA",mtodd54
"""been""","Philadelphia, MS, USA",mtodd54
"""been""","Aurora, CO, USA",mtodd54
"""been""","Saint Louis, MO, USA",mtodd54
"""been""","Stockholm, Sweden",mtodd54
"""been""","Mesquite, NV, USA",mtodd54
"""been""","Tucson, AZ, USA",mtodd54
"""been""","Philadelphia, PA, USA",mtodd54
