tag,place,user
"""been""","Myrtle Beach, SC, USA",murjoe
"""been""","Green Bay, WI, USA",murjoe
"""been""","Billings, MT, USA",murjoe
"""been""","Dublin, Ireland",murjoe
"""been""","Bend, OR, USA",murjoe
"""been""","Marina del Rey, CA, USA",murjoe
"""been""","Saint-Remy-de-Provence, France",murjoe
"""been""","Salem, OR, USA",murjoe
"""been"",""fave""","Santorini, Greece",murjoe
"""been""","Seoul, South Korea",murjoe
"""been""","Virginia Beach, VA, USA",murjoe
"""been"",""fave""","Barcelona, Spain",murjoe
"""been""","Lausanne, Switzerland",murjoe
"""been""","Scottsdale, AZ, USA",murjoe
"""been""","Sedona, AZ, USA",murjoe
"""been""","Yangon (Rangoon), Myanmar",murjoe
"""been""","Tijuana, Mexico",murjoe
"""been""","Marseille, France",murjoe
"""been""","Seaside, OR, USA",murjoe
"""been""","Natchez, MS, USA",murjoe
"""been""","Reno, NV, USA",murjoe
"""been""","Mobile, AL, USA",murjoe
"""been""","La Jolla, CA, USA",murjoe
"""been""","Big Sur, CA, USA",murjoe
"""been""","Norfolk, VA, USA",murjoe
"""been""","Bermuda, Caribbean",murjoe
"""been""","Newport, OR, USA",murjoe
"""been""","Detroit, MI, USA",murjoe
"""been""","Copenhagen, Denmark",murjoe
"""been"",""want""","Nashville, TN, USA",murjoe
"""been""","Raleigh, NC, USA",murjoe
"""been""","Savannah, GA, USA",murjoe
"""been""","Half Moon Bay, CA, USA",murjoe
"""been""","Beppu, Japan",murjoe
"""been""","Albuquerque, NM, USA",murjoe
"""been""","Nice, France",murjoe
"""been""","Cloverdale, CA, USA",murjoe
"""been""","Laguna Beach, CA, USA",murjoe
"""been"",""fave""","Sasebo, Japan",murjoe
"""been""","Quezon City, Philippines",murjoe
"""been""","SeaTac, WA, USA",murjoe
"""been""","La Quinta, CA, USA",murjoe
"""been""","Amarillo, TX, USA",murjoe
"""been""","Makati, Philippines",murjoe
"""been""","Kuala Lumpur, Malaysia",murjoe
"""been""","Manila, Philippines",murjoe
"""been""","Pasay, Philippines",murjoe
"""been""","Park City, UT, USA",murjoe
"""been""","Jacksonville, FL, USA",murjoe
"""been""","Escondido, CA, USA",murjoe
"""been""","Salt Lake City, UT, USA",murjoe
"""been""","Cleveland, OH, USA",murjoe
"""been""","Nagasaki, Japan",murjoe
"""been""","Cannes, France",murjoe
"""been""","Athens, Greece",murjoe
"""been""","Fukuoka, Japan",murjoe
"""been""","Boulder, CO, USA",murjoe
"""been"",""fave""","Baguio, Philippines",murjoe
"""been""","Osaka, Japan",murjoe
"""been""","Sapporo, Japan",murjoe
"""been""","Hyannis, MA, USA",murjoe
"""been""","Hiroshima, Japan",murjoe
"""been""","Port Angeles, WA, USA",murjoe
"""been""","Atlantic City, NJ, USA",murjoe
"""been""","Kaohsiung, Taiwan",murjoe
"""been"",""want""","Huntsville, AL, USA",murjoe
"""been""","Corona del Mar, CA, USA",murjoe
"""been"",""want"",""fave""","San Francisco, CA, USA",murjoe
"""been"",""fave""","San Antonio, TX, USA",murjoe
"""been""","Panama City Beach, FL, USA",murjoe
"""been""","Ketchikan, AK, USA",murjoe
"""been"",""want""","Healdsburg, CA, USA",murjoe
"""been""","Oklahoma City, OK, USA",murjoe
"""been"",""want""","Eureka, CA, USA",murjoe
"""been""","Kanazawa, Japan",murjoe
"""been""","Buena Park, CA, USA",murjoe
